,0
GO:0007411,15
GO:0006355,13
GO:0006979,12
GO:0006357,10
GO:0000122,10
GO:0030308,9
GO:0030307,9
GO:0042594,8
GO:0045893,8
GO:0006468,8
GO:0007424,8
GO:0007259,8
GO:0016575,8
GO:0035556,8
GO:0046627,8
GO:0009408,7
GO:0030718,7
GO:0016192,7
GO:0060395,7
GO:0008284,7
GO:0045454,7
GO:0051726,7
GO:0006750,7
GO:0055088,7
GO:1903688,7
GO:0008340,7
GO:0034599,6
GO:0008285,6
GO:0061077,6
GO:0043066,6
GO:0032924,6
GO:0030707,6
GO:0048010,6
GO:0050832,6
GO:0000422,5
GO:0008286,5
GO:0042981,5
GO:0035096,5
GO:0046622,5
GO:0006897,5
GO:0007476,5
GO:0042593,5
GO:0030509,5
GO:0016458,5
GO:0040014,4
GO:0048149,4
GO:0006342,4
GO:0010821,4
GO:0035206,4
GO:0045792,4
GO:0010508,4
GO:0055114,4
GO:0045944,4
GO:0040018,4
GO:0007623,4
GO:0048542,4
GO:0048167,3
GO:0006914,3
GO:0048477,3
GO:2000331,2
GO:0045793,2
GO:0048813,2
GO:0010506,2
GO:0042632,2
GO:0007616,1
GO:0045892,1
GO:0009267,1
