,0
GO:0016126,22
GO:0046329,21
GO:0007430,21
GO:0045887,21
GO:0007349,20
GO:0008284,20
GO:0016485,20
GO:0042994,20
GO:0010737,20
GO:0008345,20
GO:0007205,20
GO:0046843,20
GO:0051823,20
GO:1901052,20
GO:0048100,20
GO:0038202,20
GO:0043553,19
GO:0014065,19
GO:0072347,19
GO:1903688,19
GO:0035542,19
GO:0098730,19
GO:1904799,19
GO:0007283,19
GO:0033227,19
GO:0098921,19
GO:0010898,19
GO:0006879,19
GO:0008104,19
GO:0000077,19
GO:0006457,19
GO:0000349,19
GO:0120009,19
GO:0042775,19
GO:0035171,19
GO:0050807,19
GO:0006111,19
GO:0008258,19
GO:0032418,19
GO:0042048,18
GO:0007481,18
GO:0031507,18
GO:0072332,18
GO:2000737,18
GO:0016571,18
GO:0010468,18
GO:0007569,18
GO:0030330,18
GO:0008586,18
GO:0070932,18
GO:2001229,18
GO:0048738,18
GO:0016318,18
GO:0060250,18
GO:0046528,18
GO:0006641,18
GO:0090256,18
GO:0009744,18
GO:0046621,18
GO:0006334,18
GO:0043484,18
GO:0007268,18
GO:0051124,18
GO:0060180,18
GO:0032979,17
GO:0007110,17
GO:0006171,17
GO:0007210,17
GO:0070346,17
GO:0008360,17
GO:0040008,17
GO:0048636,17
GO:0048640,17
GO:0033500,17
GO:0010507,17
GO:0042760,17
GO:0019896,17
GO:0046498,17
GO:0035205,17
GO:0000122,17
GO:0010862,17
GO:0006098,17
GO:0006749,17
GO:0009060,17
GO:0007480,17
GO:1901054,17
GO:0007442,17
GO:0045494,17
GO:0019731,17
GO:0000188,17
GO:0009996,17
GO:0016476,17
GO:0007350,17
GO:0045478,17
GO:0007605,17
GO:0035970,17
GO:0007093,17
GO:0031061,17
GO:0001661,17
GO:0071423,17
GO:0007435,17
GO:0007615,17
GO:0035263,17
GO:0009058,17
GO:0006357,17
GO:1990845,17
GO:0032981,17
GO:0006282,17
GO:0035316,17
GO:0036099,17
GO:0016348,17
GO:0071462,17
GO:0048675,17
GO:0035999,17
GO:0035177,17
GO:0035621,17
GO:0031589,17
GO:0061541,17
GO:0009651,16
GO:0040014,16
GO:0006739,16
GO:0035180,16
GO:0051091,16
GO:0007260,16
GO:0002164,16
GO:0034773,16
GO:0035229,16
GO:0007112,16
GO:0045088,16
GO:0061101,16
GO:0071722,16
GO:0061060,16
GO:1903003,16
GO:1990248,16
GO:0035212,16
GO:0007448,16
GO:0007622,16
GO:0007282,16
GO:0036498,16
GO:0007561,16
GO:0007088,16
GO:0035006,16
GO:1990542,16
GO:0010629,16
GO:0030261,16
GO:0006662,16
GO:0070933,16
GO:0007591,16
GO:0001558,16
GO:0071230,16
GO:0042307,16
GO:0043652,16
GO:0007631,16
GO:0006402,16
GO:0051898,16
GO:0060856,16
GO:0046856,16
GO:0007425,16
GO:0045615,16
GO:0002052,16
GO:0007411,16
GO:0042127,16
GO:0009047,16
GO:0042776,16
GO:0007007,16
GO:0033554,16
GO:0016340,16
GO:0021551,16
GO:0044719,16
GO:0042752,16
GO:0022008,16
GO:0018992,16
GO:0032456,16
GO:0000422,16
GO:0070781,16
GO:0006468,16
GO:0001706,16
GO:0048489,16
GO:0008045,16
GO:0043066,16
GO:0070059,16
GO:0035264,16
GO:0071363,16
GO:1902956,16
GO:0034058,16
GO:0007285,16
GO:0060323,16
GO:0007475,16
GO:0006897,16
GO:0007218,16
GO:2000736,16
GO:0007602,16
GO:0030721,16
GO:0034614,16
GO:0071329,16
GO:0060391,16
GO:0006995,16
GO:0045931,16
GO:0042493,16
GO:0071711,15
GO:0035313,15
GO:0014016,15
GO:0042744,15
GO:0007258,15
GO:0042771,15
GO:0001666,15
GO:1901888,15
GO:0010941,15
GO:0046533,15
GO:0060785,15
GO:0035010,15
GO:0008333,15
GO:0014067,15
GO:0048490,15
GO:0009438,15
GO:0046688,15
GO:0017148,15
GO:0030727,15
GO:0045947,15
GO:0097352,15
GO:0006887,15
GO:0006654,15
GO:0090062,15
GO:0035206,15
GO:0071900,15
GO:0061077,15
GO:0007033,15
GO:0006122,15
GO:0042136,15
GO:0035099,15
GO:0060857,15
GO:0016226,15
GO:0008277,15
GO:0032095,15
GO:0005977,15
GO:0006997,15
GO:0001736,15
GO:0035204,15
GO:0030725,15
GO:0045998,15
GO:0071333,15
GO:0008361,15
GO:0016246,15
GO:0016339,15
GO:0090278,15
GO:0010039,15
GO:0007296,15
GO:0009913,15
GO:0045727,15
GO:0042594,15
GO:0007409,15
GO:0007346,15
GO:0007275,15
GO:0007399,15
GO:0009792,15
GO:0031441,15
GO:0014068,15
GO:0007031,15
GO:0033674,15
GO:0034968,15
GO:2000373,15
GO:0045433,15
GO:0036092,15
GO:0016182,15
GO:0007420,15
GO:0048615,15
GO:0007613,15
GO:0010888,15
GO:0007458,15
GO:0031669,15
GO:0045819,15
GO:0042331,15
GO:0043697,15
GO:0008544,15
GO:0010821,15
GO:0035224,15
GO:0048076,15
GO:0097250,15
GO:0010506,15
GO:0000209,15
GO:0001715,15
GO:0006412,15
GO:0009190,15
GO:0035065,15
GO:0035072,15
GO:0038083,15
GO:0035202,15
GO:0016239,15
GO:1902692,15
GO:0048477,15
GO:0035075,15
GO:0000281,15
GO:0035188,15
GO:0006072,15
GO:0008535,15
GO:0046844,15
GO:0051301,15
GO:0046328,15
GO:0046331,15
GO:0000724,15
GO:0001315,15
GO:0061965,15
GO:0009408,15
GO:0006911,15
GO:0045464,15
GO:0007455,15
GO:0008057,15
GO:0048542,15
GO:0007291,15
GO:0009115,15
GO:0045792,15
GO:0006650,15
GO:0035335,15
GO:0036098,15
GO:0006622,15
GO:2001023,14
GO:0007301,14
GO:0034983,14
GO:0006914,14
GO:0006730,14
GO:0050911,14
GO:0051642,14
GO:0042756,14
GO:0032880,14
GO:0008406,14
GO:0009267,14
GO:0016236,14
GO:0007265,14
GO:0090129,14
GO:0031937,14
GO:0015986,14
GO:0033627,14
GO:0018283,14
GO:0007216,14
GO:0031104,14
GO:0030010,14
GO:0007276,14
GO:0046529,14
GO:0032876,14
GO:0007489,14
GO:0006744,14
GO:0008103,14
GO:0007444,14
GO:0016197,14
GO:0035332,14
GO:0001708,14
GO:2000738,14
GO:0006470,14
GO:0061723,14
GO:0031935,14
GO:0006491,14
GO:0050773,14
GO:0006511,14
GO:0048680,14
GO:0022407,14
GO:0015729,14
GO:0043568,14
GO:0006325,14
GO:0061057,14
GO:0003333,14
GO:0060548,14
GO:0000002,14
GO:0031396,14
GO:0035331,14
GO:0045571,14
GO:0015990,14
GO:0008219,14
GO:0032024,14
GO:0008150,14
GO:0006096,14
GO:2000177,14
GO:0006661,14
GO:0010940,14
GO:0097156,14
GO:0046339,14
GO:0042023,14
GO:0008053,14
GO:0016203,14
GO:0051276,14
GO:0007352,14
GO:0045317,14
GO:0006726,14
GO:0006895,14
GO:0043065,14
GO:0010037,14
GO:0042632,14
GO:0061352,14
GO:0007179,14
GO:0019240,14
GO:0006006,14
GO:0042417,14
GO:0042386,14
GO:0007584,14
GO:0000302,14
GO:0006979,14
GO:0006955,14
GO:0000165,14
GO:0007378,14
GO:0061964,14
GO:0042149,14
GO:0035019,14
GO:0030730,14
GO:1902350,14
GO:0032504,14
GO:0035290,14
GO:0070814,14
GO:0031060,14
GO:0061327,14
GO:0070868,14
GO:0006355,14
GO:0035167,14
GO:0010508,14
GO:0030713,14
GO:0001751,14
GO:0010043,14
GO:0035214,14
GO:1904801,14
GO:0007526,14
GO:0055081,14
GO:0035309,14
GO:0007472,14
GO:0045475,14
GO:0035168,14
GO:0046620,14
GO:0046627,14
GO:0071158,14
GO:0007259,14
GO:2000253,14
GO:1900111,14
GO:0001889,14
GO:0007111,14
GO:0006633,14
GO:0048870,14
GO:0006593,14
GO:0035053,14
GO:0055059,14
GO:0008585,14
GO:1904457,14
GO:0007281,14
GO:0010884,14
GO:0043524,14
GO:0016042,14
GO:0008302,14
GO:0006875,14
GO:0030509,14
GO:0045214,14
GO:2000765,14
GO:1904263,14
GO:0061724,14
GO:0030866,14
GO:0031453,14
GO:0032291,14
GO:0051897,14
GO:0008286,14
GO:0007040,14
GO:0007626,14
GO:0007446,14
GO:0045476,14
GO:0010002,14
GO:0050778,14
GO:0050912,14
GO:0034613,14
GO:0007494,14
GO:0009888,14
GO:0042595,14
GO:0032924,14
GO:0060799,14
GO:0045927,14
GO:0007298,14
GO:0008088,14
GO:0008362,14
GO:0034620,14
GO:0006848,14
GO:0010889,14
GO:0045022,14
GO:0007468,14
GO:0098656,14
GO:0043045,14
GO:0046653,13
GO:0019510,13
GO:0007507,13
GO:0035156,13
GO:0048142,13
GO:0051289,13
GO:0045333,13
GO:1901416,13
GO:0045197,13
GO:0090141,13
GO:0030382,13
GO:0051607,13
GO:0030838,13
GO:0006513,13
GO:0000266,13
GO:0003031,13
GO:0061709,13
GO:0017145,13
GO:0042332,13
GO:0016311,13
GO:0060389,13
GO:0048169,13
GO:0006264,13
GO:0042691,13
GO:1900264,13
GO:0046928,13
GO:0048172,13
GO:0045850,13
GO:0035002,13
GO:0031062,13
GO:0060729,13
GO:0030433,13
GO:0007549,13
GO:0045818,13
GO:0046662,13
GO:0035725,13
GO:0042690,13
GO:0010998,13
GO:0048639,13
GO:0006121,13
GO:0035220,13
GO:0008348,13
GO:0043966,13
GO:0035094,13
GO:0007294,13
GO:0001709,13
GO:0045595,13
GO:0019346,13
GO:0010877,13
GO:0019343,13
GO:0051252,13
GO:0007560,13
GO:0008049,13
GO:1905536,13
GO:0043069,13
GO:0055089,13
GO:0019722,13
GO:0070983,13
GO:0009256,13
GO:0016079,13
GO:0007431,13
GO:0007417,13
GO:0003007,13
GO:0007160,13
GO:0051646,13
GO:0006930,13
GO:0038001,13
GO:0048072,13
GO:0042542,13
GO:0048167,13
GO:0042078,13
GO:0072593,13
GO:0042742,13
GO:0042026,13
GO:0048285,13
GO:0046907,13
GO:0008582,13
GO:0055085,13
GO:0040010,13
GO:0010212,13
GO:0009411,13
GO:0009314,13
GO:0019222,13
GO:0006974,13
GO:0006915,13
GO:0034446,13
GO:0016185,13
GO:0071422,13
GO:0043087,13
GO:0042066,13
GO:0006904,13
GO:0048803,13
GO:0009631,13
GO:0061025,13
GO:0007314,13
GO:0030488,13
GO:0032868,13
GO:0043491,13
GO:0006629,13
GO:0006728,13
GO:0045089,13
GO:0070050,13
GO:0042450,13
GO:0035076,13
GO:0106046,13
GO:0002230,13
GO:0000723,13
GO:0040040,13
GO:0097272,13
GO:0045892,13
GO:0035073,13
GO:0043457,13
GO:1904515,13
GO:0000916,13
GO:0006665,13
GO:0043547,13
GO:0098943,13
GO:0060967,13
GO:0007303,13
GO:0006623,13
GO:2000130,13
GO:0051495,13
GO:0034599,13
GO:0034198,13
GO:0016241,13
GO:1900408,13
GO:0048813,13
GO:0045944,13
GO:0071480,13
GO:0007614,13
GO:0042060,13
GO:0003374,13
GO:0045664,13
GO:1903364,13
GO:0035096,13
GO:0001578,13
GO:0032494,13
GO:0048682,13
GO:0010883,13
GO:0006497,13
GO:0001934,12
GO:0007498,12
GO:0050667,12
GO:0046628,12
GO:0035080,12
GO:0006265,12
GO:0006896,12
GO:0007317,12
GO:0031508,12
GO:0032007,12
GO:0005978,12
GO:0048149,12
GO:0046854,12
GO:0032446,12
GO:1903061,12
GO:0006952,12
GO:0007379,12
GO:0040015,12
GO:0030308,12
GO:0070129,12
GO:0035627,12
GO:0051729,12
GO:0000083,12
GO:0043052,12
GO:0016059,12
GO:0055069,12
GO:0030707,12
GO:0006383,12
GO:0015746,12
GO:0015744,12
GO:0051085,12
GO:0055115,12
GO:0071902,12
GO:0019827,12
GO:0002082,12
GO:0009887,12
GO:0016575,12
GO:0046855,12
GO:1903801,12
GO:0051895,12
GO:0009415,12
GO:0051056,12
GO:0045886,12
GO:0019216,12
GO:0016573,12
GO:0030431,12
GO:0010897,12
GO:0007443,12
GO:0042593,12
GO:0045745,12
GO:0030536,12
GO:0001510,12
GO:0008340,12
GO:0050803,12
GO:0060395,12
GO:0001306,12
GO:0032869,12
GO:0035556,12
GO:0005980,12
GO:0005975,12
GO:0007304,12
GO:0072375,12
GO:0043951,12
GO:1902669,12
GO:0036530,12
GO:0035158,12
GO:1900073,12
GO:0007617,12
GO:0007488,12
GO:0050808,12
GO:0045893,12
GO:0046168,12
GO:0016199,12
GO:0008285,12
GO:0071222,12
GO:0090328,12
GO:0006414,12
GO:0007365,12
GO:0050843,12
GO:0006206,12
GO:0006525,12
GO:0040034,12
GO:0040003,12
GO:0060031,12
GO:0035193,12
GO:0007632,12
GO:0030510,12
GO:0002168,12
GO:0035071,12
GO:0010259,12
GO:0018990,12
GO:0016322,12
GO:0001933,12
GO:0016457,12
GO:0030513,12
GO:0035435,12
GO:0071361,12
GO:0007419,12
GO:0048067,12
GO:0051654,12
GO:0048312,12
GO:0040009,12
GO:0070896,12
GO:0047497,12
GO:1990928,12
GO:0006919,12
GO:0009306,12
GO:0007229,12
GO:0010389,12
GO:0034551,12
GO:0006108,12
GO:0072175,12
GO:0035017,12
GO:0019236,12
GO:0008630,12
GO:0050909,12
GO:0043653,12
GO:0007220,12
GO:0035160,12
GO:0035001,12
GO:1903706,12
GO:0030718,12
GO:0006727,12
GO:0016192,12
GO:0051567,12
GO:0035186,12
GO:0045762,12
GO:0045087,12
