,0
GO:0007186,13
GO:0006915,10
GO:0006281,9
GO:0000122,8
GO:0030154,8
GO:0043525,7
GO:0007275,7
GO:0045444,7
GO:0043410,7
GO:0016310,7
GO:0001934,7
GO:0007568,7
GO:0051726,7
GO:0007005,7
GO:0000723,7
GO:0008286,6
GO:0001836,6
GO:0006979,6
GO:0071407,6
GO:0001701,6
GO:0006357,6
GO:0007049,6
GO:0010468,6
GO:0000077,6
GO:0070374,6
GO:0032869,6
GO:0000187,6
GO:0046326,6
GO:0043066,6
GO:0045600,5
GO:0042127,5
GO:0008284,5
GO:0006978,5
GO:0040018,5
GO:0001525,5
GO:0048009,5
GO:0007189,5
GO:0008630,5
GO:0007165,5
GO:0007050,5
GO:0042981,5
GO:0008285,5
GO:0007623,5
GO:0008283,5
GO:0043524,5
GO:0071480,5
GO:0006974,5
GO:0045944,5
GO:0006303,4
GO:0007507,4
GO:0010628,4
GO:0045893,4
GO:0043161,4
GO:0007283,4
GO:0051897,4
GO:0032922,4
GO:0016567,4
GO:0042593,4
GO:0042771,4
GO:0007204,4
GO:0045766,4
GO:0055114,4
GO:0031397,4
GO:0043065,4
GO:0048146,4
GO:0006468,3
GO:0010629,3
GO:0018105,3
GO:0045892,3
GO:0007399,3
GO:0050731,3
GO:0006355,3
GO:0030335,3
GO:0008340,3
GO:0006289,2
GO:0035264,2
GO:0071356,2
GO:0006302,2
