,0
GO:0050960,24
GO:0010460,22
GO:1904457,22
GO:0072359,21
GO:2000286,21
GO:0001937,21
GO:0045995,21
GO:0070935,20
GO:0010800,20
GO:0030010,20
GO:0060411,20
GO:0030838,20
GO:0010041,20
GO:0051279,20
GO:0060267,20
GO:0060024,20
GO:0006094,20
GO:0009749,20
GO:0071375,20
GO:0000712,19
GO:0061739,19
GO:0033032,19
GO:0071549,19
GO:0060850,19
GO:0090102,19
GO:0044337,19
GO:0006303,19
GO:0035265,19
GO:1905461,19
GO:0071380,19
GO:0048545,19
GO:0060509,19
GO:0055117,19
GO:0019065,19
GO:0051897,19
GO:0007195,19
GO:0090026,19
GO:1901380,19
GO:0042158,19
GO:2000678,19
GO:0051946,19
GO:0014063,19
GO:0001783,19
GO:0097252,19
GO:0071494,19
GO:0043200,19
GO:0043393,19
GO:0036289,19
GO:0043068,19
GO:0090096,19
GO:0042744,19
GO:0090322,18
GO:1904586,18
GO:1901485,18
GO:0033993,18
GO:0007625,18
GO:0034976,18
GO:0006090,18
GO:0051321,18
GO:0030968,18
GO:0000422,18
GO:0007200,18
GO:0071711,18
GO:0000715,18
GO:0003179,18
GO:1990144,18
GO:0051496,18
GO:1901627,18
GO:0060314,18
GO:0042593,18
GO:1902083,18
GO:0090238,18
GO:1990253,18
GO:2000134,18
GO:1903704,18
GO:0035023,18
GO:0006940,18
GO:0008306,18
GO:0007266,18
GO:0001756,18
GO:0034316,18
GO:0014834,18
GO:0043627,18
GO:0021542,18
GO:0002902,18
GO:0070059,18
GO:1904075,18
GO:2000300,18
GO:1904707,18
GO:2001136,18
GO:0030502,18
GO:0051281,18
GO:0048714,18
GO:0048286,18
GO:0007186,18
GO:1904234,18
GO:1904580,18
GO:0000019,18
GO:1902237,18
GO:1990966,18
GO:0006744,18
GO:0040016,18
GO:1905775,18
GO:0007193,18
GO:0060133,18
GO:0031644,18
GO:0034501,18
GO:0050715,17
GO:0043009,17
GO:0030592,17
GO:0019068,17
GO:1902176,17
GO:0009267,17
GO:0035067,17
GO:0042157,17
GO:0045807,17
GO:0033484,17
GO:0021988,17
GO:2000234,17
GO:1902951,17
GO:0042789,17
GO:0048666,17
GO:1903599,17
GO:0006641,17
GO:0006890,17
GO:0051260,17
GO:2000620,17
GO:2000617,17
GO:0085020,17
GO:1904237,17
GO:0006814,17
GO:0099072,17
GO:0070358,17
GO:0045598,17
GO:0046321,17
GO:0009612,17
GO:0051573,17
GO:0007129,17
GO:0048341,17
GO:2000147,17
GO:0060253,17
GO:0001991,17
GO:1905564,17
GO:0045190,17
GO:0010165,17
GO:0002204,17
GO:0032204,17
GO:0034504,17
GO:0030073,17
GO:2000252,17
GO:0034612,17
GO:1904385,17
GO:0051898,17
GO:0046328,17
GO:0032467,17
GO:0071156,17
GO:1904646,17
GO:0002028,17
GO:0060252,17
GO:0043536,17
GO:0055072,17
GO:0014896,17
GO:0009416,17
GO:0031667,17
GO:0045927,17
GO:0031508,17
GO:0006342,17
GO:0001655,17
GO:0032868,17
GO:0048009,17
GO:0007166,17
GO:0000462,17
GO:0042775,17
GO:2000730,17
GO:0090335,17
GO:0002218,17
GO:1903071,17
GO:1990542,17
GO:1904024,17
GO:0043504,17
GO:0031497,17
GO:0048146,17
GO:0007179,17
GO:0006914,17
GO:0002687,17
GO:1904030,17
GO:1905179,17
GO:0071897,17
GO:0006278,17
GO:0001841,17
GO:0007005,17
GO:1905839,17
GO:0032211,17
GO:0071218,17
GO:0070534,17
GO:0006515,17
GO:0031940,17
GO:2000120,17
GO:0001302,17
GO:0019543,17
GO:0072428,17
GO:1903238,17
GO:0001701,17
GO:1902445,17
GO:2000651,17
GO:1904056,17
GO:1903984,17
GO:0010243,17
GO:0008156,17
GO:0048681,17
GO:0007566,17
GO:0032986,17
GO:0097009,17
GO:1901738,17
GO:1904213,17
GO:0050771,17
GO:0072434,17
GO:0031929,17
GO:0090394,17
GO:0043281,17
GO:0048147,17
GO:2000074,17
GO:0035024,17
GO:1903998,17
GO:1902224,17
GO:0001774,17
GO:0001666,17
GO:0010975,17
GO:0032956,17
GO:0060292,17
GO:0006606,17
GO:0071846,17
GO:0030950,17
GO:0048771,17
GO:0016032,17
GO:2000619,17
GO:0060266,17
GO:1901741,17
GO:0010628,17
GO:0050804,17
GO:0021854,17
GO:0048632,17
GO:0097473,17
GO:0010867,17
GO:0045141,17
GO:0034505,17
GO:0042634,17
GO:0060271,17
GO:0006264,16
GO:0042325,16
GO:0045785,16
GO:0070192,16
GO:0042130,16
GO:0048732,16
GO:0035973,16
GO:2000277,16
GO:0050873,16
GO:0055088,16
GO:0030182,16
GO:0030433,16
GO:0030177,16
GO:0031848,16
GO:0010831,16
GO:0070836,16
GO:0071560,16
GO:0006808,16
GO:0030327,16
GO:0006195,16
GO:0002358,16
GO:0010592,16
GO:2001238,16
GO:2000381,16
GO:0043616,16
GO:0001736,16
GO:0001501,16
GO:0001836,16
GO:0072717,16
GO:0071300,16
GO:0070243,16
GO:0031065,16
GO:0010666,16
GO:1905843,16
GO:1902806,16
GO:1904354,16
GO:1904751,16
GO:0007249,16
GO:0038061,16
GO:0014909,16
GO:0071500,16
GO:0140052,16
GO:0051000,16
GO:0071230,16
GO:0006283,16
GO:0051365,16
GO:0060351,16
GO:0021549,16
GO:0071880,16
GO:0007169,16
GO:0090037,16
GO:0006811,16
GO:0070371,16
GO:0060510,16
GO:0032695,16
GO:0051450,16
GO:0050679,16
GO:0040015,16
GO:0032878,16
GO:0006417,16
GO:0090307,16
GO:0045662,16
GO:0006740,16
GO:0042531,16
GO:0021762,16
GO:0031396,16
GO:0071174,16
GO:0035556,16
GO:0060586,16
GO:0050727,16
GO:0046010,16
GO:0090314,16
GO:0030104,16
GO:0032873,16
GO:0090080,16
GO:0070374,16
GO:0060073,16
GO:0097746,16
GO:0051926,16
GO:0031284,16
GO:0019883,16
GO:0001542,16
GO:0006139,16
GO:0016055,16
GO:0006362,16
GO:0006366,16
GO:0010224,16
GO:0006260,16
GO:1904178,16
GO:0007517,16
GO:0006998,16
GO:0008152,16
GO:0090275,16
GO:1904672,16
GO:0032000,16
GO:0031000,16
GO:0045429,16
GO:1903944,16
GO:0097062,16
GO:0030643,16
GO:1901985,16
GO:0045987,16
GO:0044027,16
GO:1902262,16
GO:0060011,16
GO:0007161,16
GO:0016570,16
GO:0008608,16
GO:0051016,16
GO:1900223,16
GO:1900221,16
GO:0061002,16
GO:0071257,16
GO:0045766,16
GO:0051028,16
GO:0006875,16
GO:0034141,16
GO:0090209,16
GO:0032286,16
GO:1900029,16
GO:2000060,16
GO:0032364,16
GO:0043537,16
GO:0048870,16
GO:0045333,16
GO:1903002,16
GO:0019752,16
GO:0086001,16
GO:1905505,16
GO:0046486,16
GO:0010656,16
GO:0061078,16
GO:0016601,16
GO:0001818,16
GO:0060134,16
GO:1905855,16
GO:0048678,16
GO:0051896,16
GO:0071356,16
GO:0048873,16
GO:0051865,16
GO:0051574,16
GO:0030193,16
GO:2000481,16
GO:0019933,16
GO:2000042,16
GO:0006869,16
GO:0014068,16
GO:0006357,16
GO:1903427,16
GO:1900113,16
GO:1904355,16
GO:0035987,16
GO:1904179,16
GO:0045019,16
GO:0001960,16
GO:2001269,16
GO:1903518,16
GO:0034384,16
GO:0048662,16
GO:0000132,16
GO:0035641,16
GO:2000463,16
GO:0033326,16
GO:0006259,16
GO:0045665,16
GO:0061158,16
GO:0042982,16
GO:0001525,16
GO:0060056,16
GO:0001570,16
GO:0032088,16
GO:0016447,15
GO:0050954,15
GO:1990535,15
GO:0071318,15
GO:2001202,15
GO:0075044,15
GO:0043949,15
GO:0000052,15
GO:0034220,15
GO:0016042,15
GO:0006865,15
GO:0035457,15
GO:0051782,15
GO:0090071,15
GO:0090343,15
GO:0042297,15
GO:0051973,15
GO:1901857,15
GO:0002903,15
GO:1903862,15
GO:0005975,15
GO:1901594,15
GO:0007029,15
GO:1904668,15
GO:0032270,15
GO:0007512,15
GO:0006813,15
GO:2000111,15
