,0
GO:0006397,17
GO:0016579,17
GO:0006886,17
GO:0030154,17
GO:0018991,16
GO:0040010,16
GO:0007635,16
GO:0030150,15
GO:0043053,15
GO:0006897,15
GO:0006355,15
GO:0036498,15
GO:0007165,15
GO:0045944,15
GO:0007281,15
GO:0010629,14
GO:0007268,14
GO:0016310,14
GO:0050830,14
GO:0006413,14
GO:0015031,14
GO:0005975,13
GO:0006281,13
GO:0006412,13
GO:0055085,13
GO:0016567,13
GO:0008340,13
GO:0035556,13
GO:0006508,13
GO:0009792,13
GO:0046662,13
GO:0045087,13
GO:0040034,13
GO:0007005,13
GO:0040025,12
GO:0006357,12
GO:0006260,12
GO:0007186,12
GO:0016192,12
GO:0009408,12
GO:0006122,12
GO:0040017,12
GO:0042048,12
GO:0040027,12
GO:0008406,12
GO:0006811,12
GO:0006979,12
GO:0006099,12
GO:0006914,11
GO:1903998,11
GO:0000003,11
GO:0000045,11
GO:0006096,11
GO:0043065,11
GO:0051321,11
GO:0018108,11
GO:0040011,11
GO:0061066,11
GO:0051301,11
GO:0010468,11
GO:0010628,11
GO:0000122,11
GO:0030334,11
GO:0006511,11
GO:0030536,11
GO:0055114,11
GO:1902600,11
GO:1905515,10
GO:0048477,10
GO:0006418,10
GO:0032259,10
GO:0006629,10
GO:0040018,10
GO:0008104,10
GO:0006120,10
GO:0040040,10
GO:0006935,10
GO:0008355,10
GO:0006457,10
GO:0061065,9
GO:0006631,9
GO:0010286,9
GO:0006468,9
GO:0006633,9
GO:0015986,9
GO:0006396,9
GO:0001708,9
GO:0040028,9
GO:0007188,8
GO:0018105,8
GO:0043051,8
GO:0006972,8
GO:0035335,8
GO:0042659,8
GO:0040024,7
GO:0110039,7
GO:0006974,7
GO:0007049,7
GO:0030968,7
GO:0006915,7
GO:0006325,7
GO:0007179,7
GO:0040026,7
GO:0006470,6
GO:0007275,6
GO:0060271,5
GO:0040014,5
GO:0007399,5
GO:0050829,5
GO:0002119,4
GO:0043052,3
