,0
GO:0032968,23
GO:0051085,23
GO:0014019,22
GO:0006348,22
GO:1900195,22
GO:0071244,22
GO:0061771,21
GO:0007015,21
GO:0042632,21
GO:0045321,21
GO:0006734,21
GO:0008033,21
GO:0071038,21
GO:0040011,21
GO:0034626,21
GO:2000377,21
GO:0070816,21
GO:0016579,20
GO:0007528,20
GO:0006888,20
GO:0032793,20
GO:0006631,20
GO:0016075,20
GO:0007191,20
GO:0044805,20
GO:1905488,20
GO:1901216,20
GO:0046620,20
GO:0038203,20
GO:0060456,20
GO:0042048,20
GO:0030261,20
GO:0030522,20
GO:0015937,20
GO:0009267,20
GO:1903133,20
GO:1905868,20
GO:0051865,20
GO:0007005,20
GO:0045595,20
GO:0006468,20
GO:0048665,20
GO:0009052,20
GO:0006569,20
GO:0042395,20
GO:0048337,20
GO:1904000,19
GO:0006986,19
GO:0000212,19
GO:0006556,19
GO:0006914,19
GO:0046685,19
GO:0015031,19
GO:0008643,19
GO:0051983,19
GO:0098664,19
GO:1905941,19
GO:0002064,19
GO:0007040,19
GO:0006183,19
GO:0040013,19
GO:0007258,19
GO:0007254,19
GO:0045901,19
GO:0061789,19
GO:0006511,19
GO:0097499,19
GO:0043488,19
GO:0046626,19
GO:0110032,19
GO:0006082,19
GO:0015807,19
GO:0006857,19
GO:0097428,19
GO:0036092,19
GO:0099161,19
GO:0006284,19
GO:0090065,19
GO:0050667,19
GO:0019344,19
GO:0055059,19
GO:0043277,19
GO:0007399,19
GO:1902751,19
GO:0019805,19
GO:0009996,19
GO:0060178,19
GO:0050709,19
GO:0036258,19
GO:0006997,18
GO:0042078,18
GO:0051610,18
GO:0035095,18
GO:0018342,18
GO:1903506,18
GO:0070301,18
GO:0034620,18
GO:0035672,18
GO:0080144,18
GO:0016567,18
GO:0000188,18
GO:0035725,18
GO:0031581,18
GO:0043162,18
GO:0090326,18
GO:1905808,18
GO:1905803,18
GO:0045737,18
GO:1902742,18
GO:0032508,18
GO:0071481,18
GO:0031647,18
GO:0006122,18
GO:0010954,18
GO:0007179,18
GO:0061065,18
GO:0051896,18
GO:0030513,18
GO:0050877,18
GO:0071468,18
GO:0032509,18
GO:0000186,18
GO:0045773,18
GO:0040032,18
GO:0090472,18
GO:0009099,18
GO:0006970,18
GO:0006418,18
GO:0006096,18
GO:0071049,18
GO:0007606,18
GO:0007549,18
GO:0009880,18
GO:0043328,18
GO:0090307,18
GO:0010035,18
GO:0045604,18
GO:0046854,18
GO:0048015,18
GO:0010621,18
GO:0090038,18
GO:0008152,18
GO:0006412,18
GO:0032781,18
GO:0009306,18
GO:0035329,18
GO:0006486,18
GO:0071168,18
GO:0050907,18
GO:0034608,18
GO:0045454,18
GO:0051568,18
GO:0007130,18
GO:0055002,18
GO:0010508,18
GO:0016331,18
GO:1901215,18
GO:1904659,18
GO:0006816,18
GO:0022401,18
GO:0030334,18
GO:0045292,18
GO:0048546,18
