,0
GO:0008150,19
GO:0008033,17
GO:0006336,16
GO:0071555,16
GO:0006289,16
GO:0010255,16
GO:0051666,16
GO:0034551,16
GO:0000183,16
GO:0018105,16
GO:0006298,15
GO:0042026,15
GO:0007034,15
GO:0018345,15
GO:0000447,15
GO:0006508,15
GO:0000132,15
GO:1904263,15
GO:0006886,15
GO:0000002,15
GO:0006310,15
GO:0006893,15
GO:0034605,14
GO:0016925,14
GO:0006808,14
GO:0016236,14
GO:0016560,14
GO:0000086,14
GO:0016126,14
GO:1904669,14
GO:0032968,14
GO:0006629,14
GO:0000462,14
GO:2000222,14
GO:0045899,14
GO:0006457,14
GO:0046854,14
GO:0044805,13
GO:0042147,13
GO:0000122,13
GO:0015937,13
GO:0042273,13
GO:0007124,13
GO:0035269,13
GO:0032147,13
GO:0006486,13
GO:0009435,13
GO:0000722,13
GO:0030466,13
GO:0006906,13
GO:0031939,13
GO:0034755,13
GO:0006342,13
GO:0010971,13
GO:0006656,13
GO:0019344,13
GO:0015986,13
GO:0035066,13
GO:0042144,13
GO:0000028,13
GO:0031505,13
GO:0007165,13
GO:0016558,13
GO:0030242,13
GO:0006368,13
GO:0009086,13
GO:0007031,13
GO:0006417,13
GO:0031573,12
GO:0048278,12
GO:0032543,12
GO:0000724,12
GO:0000730,12
GO:0008654,12
GO:0006312,12
GO:0006631,12
GO:0030970,12
GO:0001403,12
GO:0042254,12
GO:0006995,12
GO:0007118,12
GO:0044804,12
GO:0006355,12
GO:0061186,12
GO:0006364,12
GO:0000398,12
GO:0042744,12
GO:0030437,12
GO:0050790,12
GO:0016226,12
GO:0046513,12
GO:0008652,12
GO:0006506,12
GO:0006744,12
GO:0051594,12
GO:0006397,12
GO:0006887,12
GO:0006325,12
GO:0035999,12
GO:0045454,12
GO:0006412,11
GO:0045324,11
GO:0032259,11
GO:0042149,11
GO:0016192,11
GO:0051568,11
GO:0000209,11
GO:0000011,11
GO:0043161,11
GO:0018107,11
GO:0006414,11
GO:0045116,11
GO:0009060,11
GO:0006879,11
GO:0006501,11
GO:0000710,11
GO:0042138,11
GO:0046856,11
GO:0016239,11
GO:0000422,11
GO:0046855,11
GO:0000723,11
GO:0055114,11
GO:0045944,11
GO:0006348,11
GO:0006986,11
GO:0000079,11
GO:0032508,11
GO:0006468,11
GO:0043433,11
GO:0051017,11
GO:0006097,11
GO:0045332,11
GO:0006487,11
GO:0006817,11
GO:0061408,11
GO:0006801,11
GO:0032258,11
GO:0043085,11
GO:0007049,11
GO:0006974,11
GO:0051321,11
GO:0006696,10
GO:0015031,10
GO:0000083,10
GO:0051301,10
GO:0098869,10
GO:0007265,10
GO:0000729,10
GO:0006261,10
GO:0006623,10
GO:0015867,10
GO:0006888,10
GO:0000147,10
GO:0032979,10
GO:0006281,10
GO:0034316,10
GO:0000184,10
GO:0090305,10
GO:0006099,10
GO:0032511,10
GO:0002181,10
GO:0006189,10
GO:0006515,10
GO:0017148,10
GO:0006890,10
GO:0006265,10
GO:0046777,10
GO:0009085,10
GO:0055085,10
GO:0030163,10
GO:0006102,10
GO:0016310,10
GO:0051028,10
GO:0000055,10
GO:0015918,10
GO:0006493,9
GO:0000463,9
GO:0000372,9
GO:0006474,9
GO:0030148,9
GO:0006896,9
GO:0043044,9
GO:2000251,9
GO:0006612,9
GO:0070681,9
GO:0030011,9
GO:0006897,9
GO:0006865,9
GO:0007007,9
GO:0007015,9
GO:0030010,9
GO:0000727,9
GO:0006302,9
GO:0030435,9
GO:0006096,9
GO:0051085,9
GO:0010737,9
GO:0006338,9
GO:0007059,9
GO:0006915,9
GO:0005975,9
GO:0007005,9
GO:0000001,9
GO:0008152,9
GO:0035556,9
GO:0007064,9
GO:0006270,9
GO:0006260,9
GO:0000278,9
GO:0051726,9
GO:0007089,9
GO:0060237,9
GO:0006914,9
GO:0006730,9
GO:0009113,9
GO:0006413,9
GO:0043486,8
GO:0006624,8
GO:0006470,8
GO:0019878,8
GO:0000077,8
GO:0034727,8
GO:0008298,8
GO:0034599,8
GO:0033617,8
GO:0045333,8
GO:0006406,8
GO:0043248,8
GO:0016567,8
GO:0034497,8
GO:1990116,8
GO:0016575,8
GO:0001302,8
GO:0016579,8
GO:0006351,8
GO:0006811,8
GO:0000045,8
GO:0006094,7
GO:0008361,7
GO:0006164,7
GO:0006357,7
GO:0002098,7
GO:0070086,7
GO:0045721,7
GO:0006116,7
GO:0007035,7
GO:0061709,7
GO:0006303,7
GO:0006511,7
GO:0007131,7
GO:0000027,7
GO:0010507,7
GO:0006122,6
GO:0000196,6
GO:0032880,6
GO:0006869,6
GO:0016573,6
GO:0006895,6
GO:0061188,6
GO:1902600,5
GO:0031930,5
GO:0030433,5
GO:0000266,5
GO:0043254,5
GO:0006333,2
