,0
GO:0006499,22
GO:0061606,21
GO:0043101,21
GO:0051301,21
GO:0045936,21
GO:0006520,21
GO:0010998,20
GO:0006915,20
GO:0010995,20
GO:0023014,20
GO:0042989,20
GO:0070843,20
GO:2000582,20
GO:0008053,20
GO:1903501,20
GO:0000301,20
GO:0010607,19
GO:1990426,19
GO:0016540,19
GO:1903475,19
GO:0006868,19
GO:0019344,19
GO:0046653,19
GO:1902475,19
GO:0044783,19
GO:0019266,19
GO:0000055,19
GO:1904184,19
GO:0044772,19
GO:0043103,19
GO:0006102,19
GO:0015802,19
GO:0009408,19
GO:0006314,19
GO:0006887,19
GO:0031134,19
GO:0034551,19
GO:0034982,19
GO:0034316,19
GO:0015819,18
GO:0045901,18
GO:0070131,18
GO:0006067,18
GO:0006097,18
GO:0034652,18
GO:0009251,18
GO:0044237,18
GO:2001042,18
GO:0006397,18
GO:0030953,18
GO:0034727,18
GO:0015847,18
GO:0035690,18
GO:0006974,18
GO:0007130,18
GO:0015828,18
GO:0009190,18
GO:0006448,18
GO:0030437,18
GO:0032264,18
GO:0032445,18
GO:0009052,18
GO:0006083,18
GO:0018230,18
GO:0000920,18
GO:0070829,18
GO:0046087,18
GO:0030974,18
GO:1903646,18
GO:0042766,18
GO:0000727,18
GO:0006020,18
GO:0015856,18
GO:0022904,18
GO:0000079,18
GO:0000753,18
GO:0006167,18
GO:0006662,18
GO:0006268,18
GO:0006675,18
GO:0043951,18
GO:0061408,18
GO:0042254,18
GO:0016572,17
GO:0000750,17
GO:0000425,17
GO:0051156,17
GO:0006696,17
GO:0034613,17
GO:0090155,17
GO:0019318,17
GO:0045010,17
GO:0034389,17
GO:0046356,17
GO:0051603,17
GO:1900430,17
GO:0046461,17
GO:0000117,17
GO:0034221,17
GO:0034599,17
GO:0000160,17
GO:0006335,17
GO:0016233,17
GO:0000724,17
GO:0006571,17
GO:0006277,17
GO:0007034,17
GO:0006216,17
GO:0045454,17
GO:0006633,17
GO:0035335,17
GO:2000219,17
GO:0000320,17
GO:0060733,17
GO:0015940,17
GO:0000321,17
GO:0072511,17
GO:1901987,17
GO:0032874,17
GO:0046040,17
GO:1902270,17
GO:1990264,17
GO:0007095,17
GO:1903710,17
GO:0010791,17
GO:0043086,17
GO:0071934,17
GO:0019236,17
GO:0106034,17
GO:0016539,17
GO:0044267,17
GO:0006891,17
GO:0019521,17
GO:0070407,17
GO:0048478,17
GO:1903341,17
GO:0006890,17
GO:0035694,17
GO:0000957,17
GO:0006103,17
GO:0010621,17
GO:0017196,17
GO:0000372,17
GO:0008033,17
GO:0070899,17
GO:0006656,17
GO:0006897,17
GO:0120009,17
GO:2000786,17
GO:0006556,17
GO:0042391,17
GO:0006470,17
GO:0016485,17
GO:0072344,17
GO:0009082,17
GO:0045903,17
GO:1904482,17
GO:1903364,17
GO:0071474,17
GO:0044262,17
GO:0008104,17
GO:0006825,17
GO:0006006,17
GO:0002098,17
GO:0030388,17
GO:0007264,17
GO:0055114,17
GO:0006273,17
GO:0000266,17
GO:0046034,17
GO:0015886,17
GO:0051177,17
GO:0035556,17
GO:0033314,17
GO:1901684,16
GO:0002181,16
GO:0070086,16
GO:1904902,16
GO:0006501,16
GO:0009132,16
GO:0045910,16
GO:0006415,16
GO:0006141,16
GO:0006450,16
GO:0097502,16
GO:0046337,16
GO:0034729,16
GO:2000251,16
GO:1901494,16
GO:0006751,16
GO:0030970,16
GO:0055072,16
GO:0006139,16
GO:0034629,16
GO:0019483,16
GO:0034427,16
GO:0072671,16
GO:0000725,16
GO:0045727,16
GO:0009088,16
GO:0032956,16
GO:0007033,16
GO:0030010,16
GO:0070124,16
GO:0007188,16
GO:0061091,16
GO:0006357,16
GO:0042797,16
GO:0031124,16
GO:0000706,16
GO:0010947,16
GO:0006623,16
GO:0071930,16
GO:0044387,16
GO:0071255,16
GO:2000769,16
GO:0000917,16
GO:0060271,16
GO:0031532,16
GO:0051443,16
GO:0034502,16
GO:0090342,16
GO:0090579,16
GO:0051028,16
GO:0030433,16
GO:0005993,16
GO:0045324,16
GO:0042908,16
GO:0001558,16
GO:0006493,16
GO:0050667,16
GO:0010737,16
GO:0045132,16
GO:0043488,16
GO:0000733,16
GO:0016567,16
GO:0043458,16
GO:0006464,16
GO:0000001,16
GO:0000955,16
GO:0005977,16
GO:0035434,16
GO:0006878,16
GO:0000963,16
GO:0070475,16
GO:0000398,16
GO:0032780,16
GO:0035970,16
GO:0016197,16
GO:0006488,16
GO:0071459,16
GO:1900027,16
GO:0019363,16
GO:0046323,16
GO:0016973,16
GO:0070072,16
GO:0006797,16
GO:0001319,16
GO:0016126,16
GO:0000188,16
GO:0016579,16
GO:0006121,16
GO:0015823,16
GO:0070154,16
GO:0051312,16
GO:0000730,16
GO:0000435,16
GO:0044396,16
GO:0031936,16
GO:0019441,16
GO:0035404,16
GO:0030001,16
GO:0051014,16
GO:0000749,16
GO:0043335,16
GO:0032078,16
GO:0055085,16
GO:0015723,15
GO:0006901,15
GO:2000220,15
GO:0051438,15
GO:0000373,15
GO:0006749,15
GO:0009168,15
GO:0035247,15
GO:0006465,15
GO:0009448,15
GO:0034501,15
GO:0010498,15
GO:0006264,15
GO:0051096,15
GO:0045104,15
GO:0031497,15
GO:0006997,15
GO:0008152,15
GO:0046677,15
GO:1902426,15
GO:0035725,15
GO:0006635,15
GO:0006625,15
GO:2000369,15
GO:0000023,15
GO:0030100,15
GO:0000470,15
GO:1904262,15
GO:0018063,15
GO:0006122,15
GO:0044773,15
GO:0097320,15
GO:0070873,15
GO:0006356,15
GO:0019722,15
GO:0035977,15
GO:0006338,15
GO:0071497,15
GO:0015813,15
GO:0036474,15
GO:0098781,15
GO:0016050,15
GO:0006355,15
GO:0045116,15
GO:0051292,15
GO:0043967,15
GO:0009847,15
GO:0006754,15
GO:0019752,15
GO:0043653,15
GO:0046514,15
GO:0042759,15
GO:0016192,15
GO:0033108,15
GO:0010499,15
GO:0045185,15
GO:0060261,15
GO:0045899,15
GO:1901799,15
GO:0030435,15
GO:0043007,15
GO:2000601,15
GO:1990116,15
GO:0042307,15
GO:0006282,15
GO:2000104,15
GO:2000616,15
GO:0048278,15
GO:0006893,15
GO:0010452,15
GO:0045141,15
GO:0000735,15
GO:0042144,15
GO:0006694,15
GO:0106074,15
GO:0042255,15
GO:0008202,15
GO:0032218,15
GO:0043624,15
GO:0008645,15
GO:0071406,15
GO:0036149,15
GO:0071630,15
GO:0097201,15
GO:0015866,15
GO:0009116,15
GO:0071931,15
GO:0043549,15
GO:0030174,15
GO:0055088,15
GO:0019343,15
GO:0031647,15
GO:2000679,15
GO:0009443,15
GO:0072530,15
GO:0015871,15
GO:0033215,15
GO:0017198,15
GO:0060211,15
GO:0001933,15
GO:0006515,15
GO:0019427,15
GO:0051037,15
GO:0070262,15
GO:0051403,15
GO:0000161,15
GO:0042176,15
GO:0007165,15
GO:0120151,15
GO:0007021,15
GO:0061187,15
GO:1905786,15
GO:0006166,15
GO:0006354,15
GO:0045835,15
GO:1902906,15
GO:0032456,15
GO:1990166,15
GO:0000413,15
GO:0000032,15
GO:0051568,15
GO:0031398,15
GO:0006163,15
GO:0022900,15
GO:0000448,15
GO:0044805,15
GO:1990683,15
GO:0035405,15
GO:0000463,15
GO:0034260,15
GO:0015914,15
GO:0006072,15
GO:0034058,15
GO:0000433,15
GO:0015937,15
GO:0007032,15
GO:1904802,15
GO:0032120,15
GO:0030476,15
GO:0016125,15
GO:0006265,15
GO:1904828,15
GO:0090153,15
GO:0060963,15
GO:0019568,15
GO:0045893,15
GO:1905339,15
GO:2001208,15
GO:0031930,15
GO:0034605,15
GO:0000002,15
GO:0015801,15
GO:0090338,15
GO:0050821,15
GO:0045861,15
GO:0044804,15
GO:0009272,15
GO:0051515,15
GO:0000272,15
GO:1990986,15
GO:0006259,15
GO:0001510,15
GO:0000103,15
GO:0060237,15
GO:0010507,15
GO:1904877,15
GO:0031571,15
GO:0006272,15
GO:0007190,15
GO:0006348,15
GO:0006090,15
GO:0048015,15
GO:0000947,15
GO:0090606,15
GO:0034976,15
GO:0046835,15
GO:0016310,15
GO:0006760,15
GO:0061647,15
GO:0031452,15
GO:0007124,15
GO:0006013,15
GO:0070370,15
GO:0098704,14
GO:0006873,14
GO:0000296,14
GO:0019379,14
GO:0015761,14
GO:1900049,14
GO:0006546,14
GO:0070198,14
GO:0031507,14
GO:0097043,14
GO:0006574,14
GO:1902280,14
GO:0033554,14
GO:0001100,14
GO:0010520,14
GO:0070481,14
GO:0031321,14
GO:1990414,14
GO:0006469,14
GO:0061410,14
GO:0071712,14
GO:0009263,14
GO:0090154,14
GO:0043547,14
GO:0006106,14
GO:0051039,14
GO:0043577,14
GO:0031453,14
GO:0000752,14
GO:1903452,14
GO:0070478,14
GO:0042276,14
GO:0031505,14
GO:0007015,14
GO:0006479,14
GO:0071786,14
GO:0006360,14
GO:0051276,14
GO:0019941,14
GO:1901195,14
GO:0018107,14
GO:0043001,14
GO:0000723,14
GO:1990619,14
GO:0031954,14
GO:0031292,14
GO:0061987,14
GO:0045842,14
GO:0042546,14
GO:2000060,14
GO:0032995,14
GO:0042407,14
GO:0031047,14
GO:0000447,14
GO:0002926,14
GO:0045128,14
GO:0001732,14
GO:0006979,14
GO:0010525,14
GO:0006865,14
GO:0006189,14
GO:0007266,14
GO:0030031,14
GO:2001278,14
GO:0015706,14
GO:0006821,14
GO:0006269,14
GO:0036003,14
GO:0006073,14
GO:0034085,14
GO:0006598,14
GO:0006417,14
GO:0032258,14
GO:0010526,14
GO:0051444,14
GO:0006086,14
GO:0019919,14
GO:0030908,14
GO:0001932,14
GO:0030643,14
GO:0010738,14
GO:0046854,14
GO:2000001,14
GO:0035435,14
GO:0044249,14
GO:0031167,14
GO:0000028,14
GO:0033157,14
GO:2000221,14
GO:0031106,14
GO:1901857,14
GO:0009396,14
GO:0046100,14
GO:0016052,14
GO:0031496,14
GO:0046177,14
GO:0030036,14
GO:0051666,14
GO:0006096,14
GO:0006359,14
GO:0042761,14
GO:0044271,14
GO:0051639,14
GO:0032465,14
GO:0009306,14
GO:0006275,14
GO:0007094,14
GO:0000165,14
GO:0001402,14
GO:0006468,14
GO:0000972,14
GO:0010468,14
GO:0010973,14
GO:2000815,14
GO:0071028,14
GO:0006629,14
GO:1900186,14
GO:0043968,14
GO:0072488,14
GO:0034411,14
GO:0097080,14
GO:0006260,14
GO:0046907,14
GO:0019413,14
GO:0034514,14
GO:0030491,14
GO:0030148,14
GO:0006015,14
GO:0097428,14
GO:0009165,14
GO:0001300,14
GO:0097466,14
GO:0006303,14
GO:0046688,14
GO:0007064,14
GO:1905153,14
GO:0016241,14
GO:0044090,14
GO:1905037,14
GO:0061739,14
GO:0019346,14
GO:2000042,14
