"organism","populationSize","mutationProbability","crossoverProbability","Fold","GMean","Best GMean AGMO","ratioReduction"
"fly","100","0.2","0.5","1","-67.94","83.33","-0.5383895131086143"
"fly","100","0.2","0.5","3","-59.3","92.58","-0.5252808988764045"
"fly","100","0.2","0.5","2","-66.3","95.35","-0.5720973782771536"
"fly","100","0.2","0.5","4","-74.11999999999999","92.58","-0.5720973782771536"
"fly","100","0.2","0.5","0","-56.330000000000005","100.0","-0.5337078651685393"
"fly","100","0.2","0.5","5","-64.55","84.52","-0.5720973782771536"
"fly","100","0.2","0.5","7","-79.06","88.27000000000001","-0.5421348314606742"
"fly","100","0.2","0.5","6","-75.0","95.35","-0.5533707865168539"
"fly","100","0.2","0.5","8","-40.82","90.45","-0.5421348314606742"
"fly","100","0.2","0.5","9","-53.03","91.29","-0.5889513108614233"
"mouse","100","0.2","0.9","3","-73.85000000000001","58.550000000000004","-0.5413105413105413"
"mouse","100","0.2","0.9","4","-43.3","58.550000000000004","-0.5313390313390314"
"mouse","100","0.2","0.9","2","-47.14","100.0","-0.5479582146248813"
"mouse","100","0.2","0.9","1","-54.010000000000005","67.08","-0.5555555555555556"
"mouse","100","0.2","0.9","0","-64.55","77.46","-0.5327635327635327"
"mouse","100","0.2","0.9","5","-47.14","86.6","-0.5579297245963912"
"mouse","100","0.2","0.9","7","-40.82","75.59","-0.5441595441595442"
"mouse","100","0.2","0.9","9","-37.8","82.80999999999999","-0.533713200379867"
"mouse","100","0.2","0.9","8","-37.8","100.0","-0.5612535612535613"
"mouse","100","0.2","0.9","6","-70.71","93.54","-0.523741690408357"
"worm","100","0.2","0.9","2","-54.620000000000005","73.19","-0.5289139633286318"
"worm","100","0.2","0.9","4","-53.55","74.72999999999999","-0.5345557122708039"
"worm","100","0.2","0.9","1","-43.55","75.32","-0.5204513399153737"
"worm","100","0.2","0.9","3","-58.709999999999994","74.59","-0.5232722143864598"
"worm","100","0.2","0.9","0","-55.36","75.51","-0.5310296191819464"
"worm","100","0.2","0.9","7","-34.36","78.45","-0.5380818053596615"
"worm","100","0.2","0.9","6","-64.45","71.61","-0.5169252468265162"
"worm","100","0.2","0.9","8","-60.49","72.06","-0.5521861777150917"
"worm","100","0.2","0.9","5","-49.47","76.75","-0.5267983074753173"
"worm","100","0.2","0.9","9","-55.410000000000004","77.03","-0.53737658674189"
"yeast","100","0.2","0.5","0","-0.0","95.41","-0.5003274394237066"
"yeast","100","0.2","0.5","2","-55.95","70.26","-0.5415848068107401"
"yeast","100","0.2","0.5","4","-37.12","86.6","-0.5442043222003929"
"yeast","100","0.2","0.5","1","-49.39","71.71","-0.5396201702685003"
"yeast","100","0.2","0.5","3","-48.84","87.09","-0.5448592010478062"
"yeast","100","0.2","0.5","5","-0.0","77.46","-0.535690897184021"
"yeast","100","0.2","0.5","8","-56.71000000000001","63.24999999999999","-0.5690897184020957"
"yeast","100","0.2","0.5","6","-57.08","85.28","-0.5422396856581533"
"yeast","100","0.2","0.5","7","-0.0","74.38","-0.5396201702685003"
"yeast","100","0.2","0.5","9","-0.0","88.86","-0.5376555337262606"
