"organism","populationSize","mutationProbability","crossoverProbability","Fold","GMean","Best GMean AGMO","ratioReduction"
"fly","100","0,2","0,5","0","32,519999999999996","65,47","0,5805243445692884"
"fly","100","0,2","0,5","2","34,77","50,96000000000001","0,5814606741573034"
"fly","100","0,2","0,5","1","56,330000000000005","40,82","0,6020599250936329"
"fly","100","0,2","0,5","4","51,35999999999999","84,52","0,5786516853932584"
"fly","100","0,2","0,5","3","36,309999999999995","59,21999999999999","0,5430711610486891"
"fly","100","0,2","0,5","5","33,85","75,59","0,5224719101123596"
"fly","100","0,2","0,5","6","0,0","59,21999999999999","0,548689138576779"
"fly","100","0,2","0,5","7","33,85","80,58","0,5749063670411985"
"fly","100","0,2","0,5","8","0,0","53,449999999999996","0,5926966292134831"
"fly","100","0,2","0,5","9","55,900000000000006","70,71","0,5720973782771536"
"mouse","100","0,2","0,9","0","70,71","63,24999999999999","0,563627730294397"
"mouse","100","0,2","0,9","3","52,22","63,24999999999999","0,5584045584045584"
"mouse","100","0,2","0,9","1","64,55","77,46","0,5707502374169041"
"mouse","100","0,2","0,9","2","39,44","63,24999999999999","0,5622032288698955"
"mouse","100","0,2","0,9","4","54,010000000000005","77,46","0,5289648622981956"
"mouse","100","0,2","0,9","9","0,0","44,72","0,5740740740740741"
"mouse","100","0,2","0,9","7","50,0","77,46","0,570275403608737"
"mouse","100","0,2","0,9","5","0,0","86,6","0,5764482431149098"
"mouse","100","0,2","0,9","6","50,0","86,6","0,563627730294397"
"mouse","100","0,2","0,9","8","34,5","63,24999999999999","0,5693257359924027"
"worm","100","0,2","0,9","1","40,82","60,9","0,5260930888575458"
"worm","100","0,2","0,9","4","36,25","63,21","0,5084626234132581"
"worm","100","0,2","0,9","2","51,2","61,96","0,5176304654442877"
"worm","100","0,2","0,9","3","43,95","68,65","0,5317348377997179"
"worm","100","0,2","0,9","0","46,37","66,33","0,5232722143864598"
"worm","100","0,2","0,9","5","49,47","52,92","0,5507757404795487"
"worm","100","0,2","0,9","9","34,699999999999996","58,29","0,5289139633286318"
"worm","100","0,2","0,9","6","56,38999999999999","64,44","0,538787023977433"
"worm","100","0,2","0,9","8","39,09","59,45","0,5133991537376587"
"worm","100","0,2","0,9","7","28,77","69,39","0,5105782792665726"
"yeast","100","0,2","0,5","1","0,0","0,0","0,5887360838244925"
"yeast","100","0,2","0,5","0","44,2","70,26","0,5769482645710543"
"yeast","100","0,2","0,5","2","0,0","0,0","0,5867714472822528"
"yeast","100","0,2","0,5","4","0,0","50,0","0,5789129011132941"
"yeast","100","0,2","0,5","3","0,0","62,83","0,5821872953503602"
"yeast","100","0,2","0,5","5","0,0","44,43","0,5487884741322855"
"yeast","100","0,2","0,5","7","0,0","0,0","0,5952848722986247"
"yeast","100","0,2","0,5","8","0,0","0,0","0,5861165684348395"
"yeast","100","0,2","0,5","6","57,74","44,72","0,5848068107400131"
"yeast","100","0,2","0,5","9","0,0","44,72","0,5762933857236411"
