organism,populationSize,mutationProbability,crossoverProbability,Fold,GMean,Best GMean AG,ratioReduction,,,,,,,,,,,,,,,,
fly,,,,0,"43,850",,,,,,,,,, ,,,,,,,, 
fly,,,,1,"65,780",,,,,,,,,, ,,,,,,,,
fly,,,,2,"60,220",,,,,,,,,, ,,,,,,,, 
fly,,,,3,"55,470",,,,,,,,,, ,,,,,,,, 
fly,,,,4,"62,020",,,,,,,,,, ,,,,,,,, 
fly,,,,5,"57,740",,,,,,,,,, ,,,,,,,,
fly,,,,6,"72,170",,,,,,,,,, ,,,,,,,, 
fly,,,,7,"57,740",,,,,,,,,, ,,,,,,,, 
fly,,,,8,"33,850",,,,,,,,,, ,,,,,,,, 
fly,,,,9,"64,550",,,,,,,,,,,,,,,,,,
mouse,,,,0,"64,550",,,,,,,,,,,,,,,,,,
mouse,,,,1,"61,240",,,,,,,,,,,,,,,,,,
mouse,,,,2,"59,630",,,,,,,,,,,,,,,,,,
mouse,,,,3,"73,850",,,,,,,,,,,,,,,,,,
mouse,,,,4,"50,000",,,,,,,,,,,,,,,,,,
mouse,,,,5,"51,640",,,,,,,,,,,,,,,,,,
mouse,,,,6,"70,710",,,,,,,,,,,,,,,,,,
mouse,,,,7,"37,270",,,,,,,,,,,,,,,,,,
mouse,,,,8,"37,800",,,,,,,,,,,,,,,,,,
mouse,,,,9,"53,450",,,,,,,,,,,,,,,,,,
worm,,,,0,"55,730",,,,,,,,,,,,,,,,,,
worm,,,,1,"62,150",,,,,,,,,,,,,,,,,,
worm,,,,2,"65,180",,,,,,,,,,,,,,,,,,
worm,,,,3,"66,450",,,,,,,,,,,,,,,,,,
worm,,,,4,"53,550",,,,,,,,,,,,,,,,,,
worm,,,,5,"57,040",,,,,,,,,,,,,,,,,,
worm,,,,6,"58,290",,,,,,,,,,,,,,,,,,
worm,,,,7,"43,190",,,,,,,,,,,,,,,,,,
worm,,,,8,"58,480",,,,,,,,,,,,,,,,,,
worm,,,,9,"66,590",,,,,,,,,,,,,,,,,,
yeast,,,,0,"75,660",,,,,,,,,,,,,,,,,,
yeast,,,,1,"0,000",,,,,,,,,,,,,,,,,,
yeast,,,,2,"45,980",,,,,,,,,,,,,,,,,,
yeast,,,,3,"68,650",,,,,,,,,,,,,,,,,,
yeast,,,,4,"52,490",,,,,,,,,,,,,,,,,,
yeast,,,,5,"55,730",,,,,,,,,,,,,,,,,,
yeast,,,,6,"57,740",,,,,,,,,,,,,,,,,,
yeast,,,,7,"0,000",,,,,,,,,,,,,,,,,,
yeast,,,,8,"69,870",,,,,,,,,,,,,,,,,,
yeast,,,,9,"0,000",,,,,,,,,,,,,,,,,,
