"organism","populationSize","mutationProbability","crossoverProbability","Fold","GMean","Best GMean AGMO","ratioReduction"
"fly","100","0,2","0,5","3","34,77","68,38","0,5627340823970037"
"fly","100","0,2","0,5","0","65,03999999999999","84,52","0,5440074906367042"
"fly","100","0,2","0,5","1","62,019999999999996","70,71","0,5571161048689138"
"fly","100","0,2","0,5","4","46,88","75,59","0,6067415730337079"
"fly","100","0,2","0,5","2","34,77","84,52","0,599250936329588"
"fly","100","0,2","0,5","5","45,64","84,52","0,5430711610486891"
"fly","100","0,2","0,5","7","47,870000000000005","75,59","0,550561797752809"
"fly","100","0,2","0,5","6","33,85","88,27000000000001","0,5692883895131086"
"fly","100","0,2","0,5","9","54,010000000000005","70,71","0,600187265917603"
"fly","100","0,2","0,5","8","0,0","92,58","0,5421348314606742"
"mouse","100","0,2","0,9","3","55,05","0,0","0,5759734093067427"
"mouse","100","0,2","0,9","2","47,14","58,550000000000004","0,5550807217473884"
"mouse","100","0,2","0,9","4","0,0","63,24999999999999","0,5688509021842355"
"mouse","100","0,2","0,9","1","64,55","77,46","0,567426400759734"
"mouse","100","0,2","0,9","0","70,71","63,24999999999999","0,5698005698005698"
"mouse","100","0,2","0,9","5","73,03","70,71","0,5693257359924027"
"mouse","100","0,2","0,9","6","61,24000000000001","70,71","0,5664767331433999"
"mouse","100","0,2","0,9","7","0,0","63,24999999999999","0,5735992402659069"
"mouse","100","0,2","0,9","8","53,449999999999996","0,0","0,577397910731244"
"mouse","100","0,2","0,9","9","0,0","41,4","0,5726495726495726"
"worm","100","0,2","0,9","4","52,35999999999999","63,83","0,5479548660084627"
"worm","100","0,2","0,9","0","44,4","62,08","0,5148095909732017"
"worm","100","0,2","0,9","3","46,989999999999995","68,01","0,5479548660084627"
"worm","100","0,2","0,9","1","39,03","67,36999999999999","0,5324400564174894"
"worm","100","0,2","0,9","2","50,42","68,04","0,5479548660084627"
"worm","100","0,2","0,9","6","39,22","68,72","0,5345557122708039"
"worm","100","0,2","0,9","5","46,21","62,67","0,5112834978843441"
"worm","100","0,2","0,9","8","46,89","61,5","0,5430183356840621"
"worm","100","0,2","0,9","7","27,810000000000002","68,72","0,5366713681241185"
"worm","100","0,2","0,9","9","56,489999999999995","66,67","0,5225669957686883"
"yeast","100","0,2","0,5","4","0,0","50,0","0,5789129011132941"
"yeast","100","0,2","0,5","0","44,46","50,0","0,5690897184020957"
"yeast","100","0,2","0,5","1","0,0","44,72","0,5631958087753766"
"yeast","100","0,2","0,5","2","0,0","0,0","0,5848068107400131"
"yeast","100","0,2","0,5","3","0,0","62,83","0,5553372626064178"
"yeast","100","0,2","0,5","5","57,08","0,0","0,5834970530451866"
"yeast","100","0,2","0,5","7","0,0","44,72","0,5776031434184676"
"yeast","100","0,2","0,5","8","0,0","44,43","0,5527177472167649"
"yeast","100","0,2","0,5","6","0,0","63,24999999999999","0,5284872298624754"
"yeast","100","0,2","0,5","9","0,0","44,72","0,5415848068107401"
