"organism","populationSize","mutationProbability","crossoverProbability","Fold","GMean","Best GMean AGMO","ratioReduction"
"fly","","","","0","41.6","",""
"fly","","","","1","67.94","",""
"fly","","","","2","62.9","",""
"fly","","","","3","51.35999999999999","",""
"fly","","","","4","49.17","",""
"fly","","","","5","58.63","",""
"fly","","","","6","58.63","",""
"fly","","","","7","55.900000000000006","",""
"fly","","","","8","50.0","",""
"fly","","","","9","54.010000000000005","",""
"mouse","","","","0","57.74","",""
"mouse","","","","1","63.24999999999999","",""
"mouse","","","","2","59.63","",""
"mouse","","","","3","51.64","",""
"mouse","","","","4","59.63","",""
"mouse","","","","5","55.779999999999994","",""
"mouse","","","","6","44.72","",""
"mouse","","","","7","38.73","",""
"mouse","","","","8","41.83","",""
"mouse","","","","9","0.0","",""
"worm","","","","0","57.34","",""
"worm","","","","1","40.26","",""
"worm","","","","2","46.18","",""
"worm","","","","3","51.21","",""
"worm","","","","4","56.230000000000004","",""
"worm","","","","5","55.279999999999994","",""
"worm","","","","6","53.339999999999996","",""
"worm","","","","7","54.800000000000004","",""
"worm","","","","8","43.15","",""
"worm","","","","9","45.64","",""
"yeast","","","","0","40.35","",""
"yeast","","","","1","43.13","",""
"yeast","","","","2","0.0","",""
"yeast","","","","3","0.0","",""
"yeast","","","","4","0.0","",""
"yeast","","","","5","0.0","",""
"yeast","","","","6","0.0","",""
"yeast","","","","7","0.0","",""
"yeast","","","","8","44.46","",""
"yeast","","","","9","0.0","",""
