"organism","populationSize","mutationProbability","crossoverProbability","Fold","GMean","Best GMean AGMO","ratioReduction"
"fly","","","","0","33.97","",""
"fly","","","","1","48.04","",""
"fly","","","","2","36.309999999999995","",""
"fly","","","","3","37.8","",""
"fly","","","","4","37.8","",""
"fly","","","","5","47.870000000000005","",""
"fly","","","","6","32.269999999999996","",""
"fly","","","","7","0.0","",""
"fly","","","","8","35.36","",""
"fly","","","","9","58.63","",""
"mouse","","","","0","57.74","",""
"mouse","","","","1","44.72","",""
"mouse","","","","2","63.24999999999999","",""
"mouse","","","","3","59.63","",""
"mouse","","","","4","59.63","",""
"mouse","","","","5","44.72","",""
"mouse","","","","6","44.72","",""
"mouse","","","","7","0.0","",""
"mouse","","","","8","59.160000000000004","",""
"mouse","","","","9","0.0","",""
"worm","","","","0","43.55","",""
"worm","","","","1","30.509999999999998","",""
"worm","","","","2","45.11","",""
"worm","","","","3","40.849999999999994","",""
"worm","","","","4","45.53","",""
"worm","","","","5","46.160000000000004","",""
"worm","","","","6","36.54","",""
"worm","","","","7","54.32","",""
"worm","","","","8","37.169999999999995","",""
"worm","","","","9","36.51","",""
"yeast","","","","0","0.0","",""
"yeast","","","","1","0.0","",""
"yeast","","","","2","0.0","",""
"yeast","","","","3","0.0","",""
"yeast","","","","4","0.0","",""
"yeast","","","","5","44.72","",""
"yeast","","","","6","0.0","",""
"yeast","","","","7","44.72","",""
"yeast","","","","8","44.72","",""
"yeast","","","","9","0.0","",""
