"organism","populationSize","mutationProbability","crossoverProbability","Fold","GMean","Best GMean AGMO","ratioReduction"
"fly","","","","0","41.6","",""
"fly","","","","1","62.019999999999996","",""
"fly","","","","2","57.42","",""
"fly","","","","3","51.35999999999999","",""
"fly","","","","4","73.38","",""
"fly","","","","5","61.24000000000001","",""
"fly","","","","6","43.3","",""
"fly","","","","7","45.64","",""
"fly","","","","8","43.3","",""
"fly","","","","9","67.7","",""
"mouse","","","","0","61.24000000000001","",""
"mouse","","","","1","42.16","",""
"mouse","","","","2","55.779999999999994","",""
"mouse","","","","3","55.779999999999994","",""
"mouse","","","","4","47.14","",""
"mouse","","","","5","55.779999999999994","",""
"mouse","","","","6","59.160000000000004","",""
"mouse","","","","7","61.24000000000001","",""
"mouse","","","","8","54.769999999999996","",""
"mouse","","","","9","35.36","",""
"worm","","","","0","52.35999999999999","",""
"worm","","","","1","44.4","",""
"worm","","","","2","58.97","",""
"worm","","","","3","52.849999999999994","",""
"worm","","","","4","39.39","",""
"worm","","","","5","48.39","",""
"worm","","","","6","55.17999999999999","",""
"worm","","","","7","55.7","",""
"worm","","","","8","52.56999999999999","",""
"worm","","","","9","52.27","",""
"yeast","","","","0","0.0","",""
"yeast","","","","1","75.64","",""
"yeast","","","","2","61.760000000000005","",""
"yeast","","","","3","0.0","",""
"yeast","","","","4","44.2","",""
"yeast","","","","5","76.55","",""
"yeast","","","","6","43.93","",""
"yeast","","","","7","43.93","",""
"yeast","","","","8","43.669999999999995","",""
"yeast","","","","9","43.4","",""
