"organism","populationSize","mutationProbability","crossoverProbability","Fold","GMean","Best GMean AGMO","ratioReduction"
"fly","100","0.2","0.5","0","-45.989999999999995","65.47","-0.6341463414634146"
"fly","100","0.2","0.5","4","-36.309999999999995","65.47","-0.4796747967479675"
"fly","100","0.2","0.5","1","-32.519999999999996","53.449999999999996","-0.7398373983739838"
"fly","100","0.2","0.5","3","-49.17","75.59","-0.7398373983739838"
"fly","100","0.2","0.5","2","-0.0","37.8","-0.7560975609756098"
"fly","100","0.2","0.5","5","-33.85","53.449999999999996","-0.7317073170731707"
"fly","100","0.2","0.5","7","-35.36","65.47","-0.7642276422764228"
"fly","100","0.2","0.5","8","-0.0","75.59","-0.5934959349593496"
"fly","100","0.2","0.5","9","-58.63","84.52","-0.7073170731707317"
"fly","100","0.2","0.5","6","-30.620000000000005","80.92","-0.6747967479674797"
"mouse","100","0.2","0.9","1","-63.24999999999999","44.72","-0.7419354838709677"
"mouse","100","0.2","0.9","0","-70.71","77.46","-0.5860215053763441"
"mouse","100","0.2","0.9","3","-55.779999999999994","63.24999999999999","-0.7258064516129032"
"mouse","100","0.2","0.9","2","-0.0","0.0","-0.7526881720430108"
"mouse","100","0.2","0.9","4","-42.16","44.72","-0.6881720430107527"
"mouse","100","0.2","0.9","5","-42.16","89.44","-0.7150537634408602"
"mouse","100","0.2","0.9","8","-44.72","0.0","-0.7419354838709677"
"mouse","100","0.2","0.9","7","-41.83","63.24999999999999","-0.7365591397849462"
"mouse","100","0.2","0.9","6","-44.72","44.72","-0.7526881720430108"
"mouse","100","0.2","0.9","9","-0.0","100.0","-0.6451612903225806"
"worm","100","0.2","0.9","3","-26.06","65.12","-0.5957446808510638"
"worm","100","0.2","0.9","0","-47.46","57.78","-0.6553191489361702"
"worm","100","0.2","0.9","1","-48.42","59.08","-0.5191489361702127"
"worm","100","0.2","0.9","2","-58.97","65.12","-0.5574468085106383"
"worm","100","0.2","0.9","4","-31.919999999999998","60.0","-0.6127659574468085"
"worm","100","0.2","0.9","6","-32.46","48.54","-0.6680851063829787"
"worm","100","0.2","0.9","5","-32.73","56.57","-0.625531914893617"
"worm","100","0.2","0.9","9","-46.550000000000004","67.32000000000001","-0.5361702127659574"
"worm","100","0.2","0.9","8","-25.15","50.92","-0.6"
"worm","100","0.2","0.9","7","-43.96","48.54","-0.6808510638297872"
"yeast","100","0.2","0.5","3","-0.0","70.71","-0.6441717791411042"
"yeast","100","0.2","0.5","1","-62.51","50.0","-0.6871165644171779"
"yeast","100","0.2","0.5","4","-0.0","50.0","-0.6717791411042945"
"yeast","100","0.2","0.5","2","-0.0","50.0","-0.6288343558282209"
"yeast","100","0.2","0.5","0","-0.0","50.0","-0.6349693251533742"
"yeast","100","0.2","0.5","6","-0.0","70.71","-0.6533742331288344"
"yeast","100","0.2","0.5","8","-44.72","0.0","-0.6871165644171779"
"yeast","100","0.2","0.5","5","-0.0","49.68","-0.6533742331288344"
"yeast","100","0.2","0.5","7","-0.0","49.35","-0.6380368098159509"
"yeast","100","0.2","0.5","9","-0.0","50.0","-0.6687116564417178"
