"organism","populationSize","mutationProbability","crossoverProbability","Fold","GMean","Best GMean AGMO","ratioReduction"
"fly","100","0.2","0.5","3","-37.8","37.8","-0.8372093023255814"
"fly","100","0.2","0.5","1","-0.0","37.8","-0.8255813953488372"
"fly","100","0.2","0.5","4","-0.0","37.8","-0.813953488372093"
"fly","100","0.2","0.5","0","-0.0","37.8","-0.813953488372093"
"fly","100","0.2","0.5","2","-0.0","0.0","-0.8372093023255814"
"fly","100","0.2","0.5","6","-0.0","0.0","-0.872093023255814"
"fly","100","0.2","0.5","5","-0.0","53.449999999999996","-0.8604651162790697"
"fly","100","0.2","0.5","7","-0.0","37.8","-0.813953488372093"
"fly","100","0.2","0.5","8","-0.0","37.8","-0.8372093023255814"
"fly","100","0.2","0.5","9","-50.0","53.449999999999996","-0.7906976744186046"
"mouse","100","0.2","0.9","4","-0.0","0.0","-0.781021897810219"
"mouse","100","0.2","0.9","3","-0.0","44.72","-0.7591240875912408"
"mouse","100","0.2","0.9","1","-0.0","0.0","-0.7883211678832117"
"mouse","100","0.2","0.9","0","-0.0","44.72","-0.8029197080291971"
"mouse","100","0.2","0.9","2","-0.0","0.0","-0.7737226277372263"
"mouse","100","0.2","0.9","5","-0.0","63.24999999999999","-0.7591240875912408"
"mouse","100","0.2","0.9","8","-0.0","0.0","-0.7883211678832117"
"mouse","100","0.2","0.9","7","-0.0","0.0","-0.8029197080291971"
"mouse","100","0.2","0.9","6","-0.0","44.72","-0.781021897810219"
"mouse","100","0.2","0.9","9","-0.0","0.0","-0.7956204379562044"
"worm","100","0.2","0.9","1","-0.0","51.449999999999996","-0.5885416666666666"
"worm","100","0.2","0.9","4","-44.75","48.54","-0.5677083333333334"
"worm","100","0.2","0.9","3","-41.21","58.34","-0.625"
"worm","100","0.2","0.9","0","-31.069999999999997","56.05","-0.6145833333333334"
"worm","100","0.2","0.9","2","-50.739999999999995","51.94","-0.609375"
"worm","100","0.2","0.9","5","-26.06","39.269999999999996","-0.578125"
"worm","100","0.2","0.9","9","-31.619999999999997","51.41","-0.6666666666666666"
"worm","100","0.2","0.9","6","-26.279999999999998","50.449999999999996","-0.5"
"worm","100","0.2","0.9","8","-32.190000000000005","46.68","-0.6041666666666666"
"worm","100","0.2","0.9","7","-40.849999999999994","43.9","-0.6302083333333334"
"yeast","100","0.2","0.5","1","-0.0","0.0","-0.6992481203007519"
"yeast","100","0.2","0.5","0","-0.0","0.0","-0.7030075187969925"
"yeast","100","0.2","0.5","4","-0.0","49.68","-0.6954887218045113"
"yeast","100","0.2","0.5","2","-0.0","0.0","-0.6954887218045113"
"yeast","100","0.2","0.5","3","-0.0","0.0","-0.6954887218045113"
"yeast","100","0.2","0.5","5","-0.0","0.0","-0.7180451127819549"
"yeast","100","0.2","0.5","6","-0.0","49.68","-0.6804511278195489"
"yeast","100","0.2","0.5","9","-0.0","0.0","-0.7105263157894737"
"yeast","100","0.2","0.5","8","-0.0","0.0","-0.7030075187969925"
"yeast","100","0.2","0.5","7","-0.0","0.0","-0.6992481203007519"
