"organism","populationSize","mutationProbability","crossoverProbability","Fold","GMean","Best GMean AGMO","ratioReduction"
"fly","100","0.2","0.5","4","-48.04","59.760000000000005","-0.7910447761194029"
"fly","100","0.2","0.5","3","-34.77","76.38000000000001","-0.6865671641791045"
"fly","100","0.2","0.5","0","-0.0","70.71","-0.6417910447761194"
"fly","100","0.2","0.5","1","-70.71","81.65","-0.6417910447761194"
"fly","100","0.2","0.5","2","-36.309999999999995","81.65","-0.7164179104477612"
"fly","100","0.2","0.5","6","-0.0","75.59","-0.8208955223880597"
"fly","100","0.2","0.5","5","-0.0","64.55","-0.7164179104477612"
"fly","100","0.2","0.5","7","-35.36","65.47","-0.835820895522388"
"fly","100","0.2","0.5","8","-35.36","70.71","-0.7611940298507462"
"fly","100","0.2","0.5","9","-67.7","86.6","-0.6268656716417911"
"mouse","100","0.2","0.9","1","-36.51","54.769999999999996","-0.8333333333333334"
"mouse","100","0.2","0.9","3","-33.33","70.71","-0.6862745098039216"
"mouse","100","0.2","0.9","4","-0.0","61.24000000000001","-0.7352941176470589"
"mouse","100","0.2","0.9","0","-40.82","79.06","-0.7450980392156863"
"mouse","100","0.2","0.9","2","-33.33","70.71","-0.7941176470588235"
"mouse","100","0.2","0.9","5","-0.0","89.44","-0.7254901960784313"
"mouse","100","0.2","0.9","6","-0.0","72.46000000000001","-0.7058823529411765"
"mouse","100","0.2","0.9","7","-44.72","54.769999999999996","-0.7549019607843137"
"mouse","100","0.2","0.9","8","-31.619999999999997","61.24000000000001","-0.7254901960784313"
"mouse","100","0.2","0.9","9","-0.0","89.44","-0.7745098039215687"
"worm","100","0.2","0.9","3","-31.080000000000002","63.24999999999999","-0.569620253164557"
"worm","100","0.2","0.9","4","-26.279999999999998","66.06","-0.5632911392405063"
"worm","100","0.2","0.9","2","-47.89","68.76","-0.5"
"worm","100","0.2","0.9","1","-28.16","69.28","-0.4810126582278481"
"worm","100","0.2","0.9","0","-39.75","64.5","-0.5886075949367089"
"worm","100","0.2","0.9","5","-37.49","66.06","-0.5316455696202531"
"worm","100","0.2","0.9","6","-18.9","68.12","-0.5949367088607594"
"worm","100","0.2","0.9","8","-25.840000000000003","57.24","-0.4936708860759494"
"worm","100","0.2","0.9","7","-39.31","66.06","-0.5632911392405063"
"worm","100","0.2","0.9","9","-48.3","68.08999999999999","-0.47468354430379744"
"yeast","100","0.2","0.5","3","-0.0","83.21","-0.558252427184466"
"yeast","100","0.2","0.5","0","-57.4","86.6","-0.6116504854368932"
"yeast","100","0.2","0.5","1","-62.129999999999995","81.65","-0.5485436893203883"
"yeast","100","0.2","0.5","4","-0.0","76.79","-0.5485436893203883"
"yeast","100","0.2","0.5","2","-43.93","80.86","-0.558252427184466"
"yeast","100","0.2","0.5","7","-0.0","83.97","-0.5631067961165048"
"yeast","100","0.2","0.5","8","-44.72","83.97","-0.5436893203883495"
"yeast","100","0.2","0.5","5","-44.72","71.61","-0.5436893203883495"
"yeast","100","0.2","0.5","6","-0.0","75.96000000000001","-0.5485436893203883"
"yeast","100","0.2","0.5","9","-0.0","76.79","-0.5048543689320388"
