,Dataset,Rank,Normal,T(3),T(4),T(5),T(6),T(7),T(8),T(9),T(10)
0,fly,1,GO:0035080,GO:0000165,GO:0010628,GO:0007411,GO:0007411,GO:0007411,GO:0007411,GO:0007411,GO:0006914
1,fly,2,GO:0006108,GO:0042542,GO:0034058,GO:0032007,GO:0042981,GO:0030707,GO:0006355,GO:0006355,GO:0055088
2,fly,3,GO:0035316,GO:0007218,GO:0007165,GO:0006468,GO:0007424,GO:0060395,GO:0030308,GO:0000422,GO:0032924
3,fly,4,GO:2000253,GO:0010629,GO:0016567,GO:0048542,GO:0000122,GO:0009267,GO:0000422,GO:0007616,GO:0048010
4,fly,5,GO:0045333,GO:0030036,GO:0006726,GO:0036099,GO:0000045,GO:0007259,GO:0030307,GO:0016458,GO:0046627
5,fly,6,GO:0002168,GO:0071276,GO:0003007,GO:0048072,GO:0042632,GO:0035556,GO:0006979,GO:0007623,GO:0034599
6,fly,7,GO:0061025,GO:0008361,GO:0042742,GO:0007220,GO:0035206,GO:0009408,GO:0006357,GO:0030509,GO:0045944
7,fly,8,GO:0045614,GO:0007391,GO:0045793,GO:0006897,GO:0006979,GO:0007616,GO:0010506,GO:0010506,GO:0006357
8,fly,9,GO:0042048,GO:0045886,GO:0002052,GO:0014065,GO:0000422,GO:0048813,GO:0030707,GO:0055114,GO:0000122
9,fly,10,GO:1903801,GO:0035069,GO:0051898,GO:0035069,GO:0007476,GO:0006355,GO:0045454,GO:0032924,GO:0009408
10,mouse,1,GO:0031999,GO:0032007,GO:0006954,GO:0010765,GO:0045669,GO:0050731,GO:0006289,GO:0007005,GO:0007005
11,mouse,2,GO:0043403,GO:0050679,GO:0043491,GO:0031175,GO:0045893,GO:0006289,GO:0043066,GO:0007165,GO:0008286
12,mouse,3,GO:0010838,GO:0038083,GO:0007005,GO:0032868,GO:0046326,GO:0042771,GO:0007399,GO:0006355,GO:0006468
13,mouse,4,GO:0021983,GO:0008543,GO:0010629,GO:0032922,GO:0006978,GO:0007507,GO:0007283,GO:0071480,GO:0040018
