,Dataset,Rank,Normal,T(3),T(4),T(5),T(6),T(7),T(8),T(9),T(10)
0,fly,1,GO:0046500,GO:0006749,GO:0051898,GO:0006357,GO:0046622,GO:0006979,GO:0000122,GO:0000122,GO:0006979
1,fly,2,GO:0007283,GO:0046627,GO:0040014,GO:0090141,GO:0016458,GO:0000122,GO:0006357,GO:0006357,GO:0008340
2,fly,3,GO:0043066,GO:0007210,GO:0003007,GO:0008340,GO:0006355,GO:0035556,GO:0006468,GO:0032924,GO:0032924
3,fly,4,GO:0046653,GO:0010506,GO:0006357,GO:0007623,GO:0045944,GO:0016575,GO:0006355,GO:0006355,GO:0000122
4,fly,5,GO:0045823,GO:0008049,GO:0030968,GO:0008344,GO:0006750,GO:0006355,GO:0035556,GO:0007411,GO:0006468
5,fly,6,GO:0006072,GO:0045887,GO:0007411,GO:0042060,GO:0001745,GO:0007424,GO:0008340,GO:0007623,GO:0006357
6,fly,7,GO:0008055,GO:0006342,GO:0006355,GO:0048542,GO:0035556,GO:0007259,GO:0006979,GO:0034599,GO:0045793
7,fly,8,GO:0019222,GO:0006355,GO:0016192,GO:0048477,GO:0055114,GO:0042632,GO:0045454,GO:0009267,GO:0034599
8,fly,9,GO:0055085,GO:0009617,GO:0043066,GO:0030536,GO:0006357,GO:0045792,GO:0008285,GO:0006468,GO:0048477
9,fly,10,GO:0055115,GO:0030509,GO:0007424,GO:1904262,GO:0007623,GO:0006342,GO:0055088,GO:0007616,GO:0045944
10,mouse,1,GO:1901984,GO:0000165,GO:0048661,GO:0010765,GO:0043524,GO:0007283,GO:0000122,GO:0000122,GO:0000122
11,mouse,2,GO:0045862,GO:0030324,GO:0071481,GO:0007568,GO:0006355,GO:0070932,GO:0007568,GO:0043524,GO:0001701
12,mouse,3,GO:0048705,GO:0002053,GO:0007420,GO:0006914,GO:0071479,GO:0032868,GO:0006281,GO:0000187,GO:0006979
13,mouse,4,GO:0032430,GO:0008544,GO:0045907,GO:0042752,GO:0043491,GO:0008284,GO:0008284,GO:0032869,GO:0032922
14,mouse,5,GO:0060766,GO:0043536,GO:0006281,GO:0045893,GO:2001235,GO:0001525,GO:0018105,GO:0071480,GO:0010628
15,mouse,6,GO:0061000,GO:0001701,GO:0008283,GO:0046326,GO:0007204,GO:0006974,GO:0007623,GO:0051897,GO:0008284
16,mouse,7,GO:0060314,GO:0071549,GO:0071456,GO:0016310,GO:0016567,GO:0007189,GO:0045444,GO:0006355,GO:0008285
17,mouse,8,GO:1901030,GO:2000378,GO:0016477,GO:0070374,GO:0032868,GO:0006281,GO:0001836,GO:0008284,GO:0001934
18,mouse,9,GO:0045945,GO:0006301,GO:0030879,GO:0006357,GO:0001836,GO:0071456,GO:0001934,GO:0007005,GO:0007005
19,mouse,10,GO:0006978,GO:2000379,GO:0051301,GO:0071481,GO:0001974,GO:0051897,GO:0010468,GO:0007189,GO:0007275
20,worm,1,GO:0016573,GO:0044804,GO:0000187,GO:0051301,GO:0007017,GO:0042048,GO:0007165,GO:0007281,GO:0006412
21,worm,2,GO:0007097,GO:0007179,GO:0040025,GO:0006413,GO:0006413,GO:0006120,GO:0050830,GO:0040027,GO:0006413
22,worm,3,GO:0006256,GO:0007501,GO:0006412,GO:0007268,GO:0040017,GO:0006412,GO:0015986,GO:0030154,GO:0030536
23,worm,4,GO:0007611,GO:0030154,GO:0055114,GO:0010629,GO:0006338,GO:0040011,GO:0006633,GO:0006355,GO:0007165
24,worm,5,GO:0006098,GO:0009267,GO:0061065,GO:0000226,GO:0006915,GO:0007169,GO:0006412,GO:0006412,GO:0000003
25,worm,6,GO:0008088,GO:0006289,GO:0007165,GO:0070588,GO:0030154,GO:0015986,GO:0007281,GO:0007005,GO:0006260
26,worm,7,GO:0061433,GO:0040028,GO:0007268,GO:0036498,GO:0006811,GO:0006414,GO:0007635,GO:0032259,GO:0006935
27,worm,8,GO:0007005,GO:0006633,GO:0034514,GO:0006457,GO:0045087,GO:0006396,GO:0007268,GO:0006979,GO:0016579
28,worm,9,GO:0008610,GO:0006457,GO:1990834,GO:0006357,GO:0030536,GO:0040027,GO:0008355,GO:0001708,GO:0006629
29,worm,10,GO:0006002,GO:0006508,GO:0042048,GO:0000723,GO:0008340,GO:0007179,GO:0055114,GO:0040010,GO:0045087
30,yeast,1,GO:0015833,GO:0006083,GO:0006986,GO:0006325,GO:0000196,GO:0008654,GO:0008150,GO:0008150,GO:0008150
31,yeast,2,GO:0043570,GO:0006895,GO:0000001,GO:0006623,GO:0008150,GO:0006879,GO:0051726,GO:0034497,GO:0006325
32,yeast,3,GO:0008298,GO:0032958,GO:0030970,GO:0042908,GO:0007265,GO:0006623,GO:0032511,GO:0000422,GO:0032543
33,yeast,4,GO:0031098,GO:0002181,GO:0000448,GO:0006310,GO:0000028,GO:0008150,GO:0006457,GO:0002098,GO:0007165
34,yeast,5,GO:0000920,GO:0090615,GO:0034976,GO:0006487,GO:0000083,GO:0000122,GO:0006623,GO:0046513,GO:0000422
35,yeast,6,GO:2001209,GO:0031204,GO:0031930,GO:0000183,GO:0016567,GO:0061408,GO:0032543,GO:0000184,GO:0032258
36,yeast,7,GO:1902616,GO:0006633,GO:0070814,GO:0008150,GO:0006624,GO:0006696,GO:0006744,GO:0006486,GO:0006397
37,yeast,8,GO:0106035,GO:0006407,GO:0034620,GO:0008654,GO:0016575,GO:0000028,GO:0006897,GO:0000372,GO:0032259
38,yeast,9,GO:0001403,GO:0006415,GO:0006486,GO:0098869,GO:0002181,GO:0031939,GO:0005975,GO:0002181,GO:0000122
39,yeast,10,GO:0043970,GO:0005975,GO:0006506,GO:0000122,GO:0006325,GO:0043254,GO:0006096,GO:0006338,GO:0043161
