,0
GO:0007411,7
GO:0032007,6
GO:0006468,5
GO:0048542,5
GO:0036099,5
GO:0048072,5
GO:0007220,5
GO:0006897,4
GO:0014065,4
GO:0035069,4
GO:0040018,4
GO:0016192,4
GO:0046627,4
GO:2000331,4
GO:0006629,4
GO:0010821,4
GO:0008355,4
GO:0008340,4
GO:0006355,4
GO:0042981,3
GO:0055088,3
GO:0051726,3
GO:0001558,3
GO:0007608,3
GO:0006342,3
GO:2000253,3
GO:0007417,3
GO:0016458,3
GO:0045792,3
GO:0040014,3
GO:0042632,3
GO:0045944,3
GO:0001745,3
GO:0042593,3
GO:0008286,3
GO:0035264,3
GO:0042542,3
GO:0030718,3
GO:0010628,3
GO:0045464,3
GO:0030707,3
GO:0007424,3
GO:0046622,3
GO:0006727,3
GO:0014067,3
GO:0007259,3
GO:0035206,3
GO:0042744,3
GO:0055114,3
GO:0042026,3
GO:0045454,3
GO:0000302,3
GO:0008284,3
GO:0010508,3
GO:0030308,3
GO:0050832,2
GO:0007399,2
GO:0046620,2
GO:0061077,2
GO:0030307,2
GO:0045879,2
GO:0034599,2
GO:0007210,2
GO:0030536,2
GO:0042594,2
GO:0009267,2
GO:0060395,2
GO:0035096,2
GO:0043066,2
GO:0032924,2
GO:0000165,2
GO:0048167,2
GO:0045572,2
GO:0008344,2
GO:0007616,2
GO:0032869,2
GO:0048149,2
GO:0030968,2
GO:0045793,2
GO:0009408,2
GO:0016319,2
GO:0006357,2
GO:0000122,2
GO:0007298,2
GO:0006979,2
GO:0007623,2
GO:0019933,2
GO:0007614,2
GO:0006470,1
GO:0035556,1
GO:0016575,1
GO:0048010,1
GO:0042060,1
GO:0030509,1
GO:0090141,1
GO:0008285,1
GO:0007391,1
GO:0036335,1
GO:0046907,1
GO:0045214,1
GO:0014068,1
GO:1903688,1
GO:0007186,1
GO:0045893,1
GO:0016236,1
GO:0045475,1
GO:0006750,1
GO:1904262,1
GO:0010506,1
GO:0006914,1
GO:0033500,1
GO:0042127,1
GO:0070328,1
GO:0034976,1
GO:0048477,0
GO:0045892,0
GO:0007476,0
GO:0007005,0
GO:0048813,0
GO:0000422,0
GO:0001666,0
GO:0010507,0
GO:0000045,0
