,0
GO:0035080,10
GO:0006108,9
GO:0035316,9
GO:2000253,9
GO:0045333,9
GO:0002168,9
GO:0061025,9
GO:0045614,9
GO:0042048,8
GO:1903801,8
GO:0006915,8
GO:0009411,8
GO:1902956,8
GO:0070814,8
GO:0000723,8
GO:0030866,8
GO:0070374,8
GO:0006397,8
GO:0006568,8
GO:0098921,8
GO:0035224,8
GO:0015729,8
GO:0016311,8
GO:0009786,8
GO:0006122,8
GO:0035212,8
GO:0031396,8
GO:0035883,8
GO:0010310,7
GO:0006090,7
GO:0022416,7
GO:0051607,7
GO:0055089,7
GO:0008049,7
GO:0051898,7
GO:0003344,7
GO:0042450,7
GO:0043966,7
GO:0044805,7
GO:0048682,7
GO:0042690,7
GO:0010038,7
GO:0035331,7
GO:0007276,7
GO:1901888,7
GO:0016239,7
GO:0007614,7
GO:0007613,7
GO:1900073,7
GO:0120009,7
GO:0008355,7
GO:0010506,7
GO:1990834,7
GO:0061724,7
GO:0030718,7
GO:0035069,7
GO:0048803,7
GO:0048149,7
GO:0048505,7
GO:0042325,7
GO:0031507,7
GO:0045944,7
GO:0006727,7
GO:0006879,7
GO:0010043,7
GO:0051793,7
GO:0035435,7
GO:0046928,7
GO:0015709,7
GO:0006897,7
GO:0042127,7
GO:0043697,7
GO:0032981,7
GO:0019430,7
GO:1903146,7
GO:0042417,7
GO:0046528,7
GO:0042321,7
GO:0035171,7
GO:0001736,7
GO:0009190,7
GO:0071222,7
GO:0007591,7
GO:0007458,7
GO:0043045,7
GO:0071481,7
GO:0035542,7
GO:0007032,7
GO:0048542,7
GO:0046844,7
GO:0003007,7
GO:0042026,6
GO:0016318,6
GO:0019722,6
GO:0051056,6
GO:0042595,6
GO:0030838,6
GO:0030510,6
GO:0048738,6
GO:0006895,6
GO:0000226,6
GO:0005980,6
GO:0061352,6
GO:1904799,6
GO:0048636,6
GO:0010898,6
GO:0035168,6
GO:0040014,6
GO:0046627,6
GO:0061045,6
GO:0007560,6
GO:0001715,6
GO:0008348,6
GO:0040034,6
GO:0030178,6
GO:0000916,6
GO:0007030,6
GO:0060395,6
GO:0032924,6
GO:0006896,6
GO:0006014,6
GO:0045197,6
GO:1904457,6
GO:0090141,6
GO:0035072,6
GO:0048078,6
GO:0015746,6
GO:1904262,6
GO:0009792,6
GO:0035556,6
GO:0006464,6
GO:0008359,6
GO:0032436,6
GO:0035332,6
GO:0022407,6
GO:0016126,6
GO:0008053,6
GO:0016485,6
GO:0010629,6
GO:0030261,6
GO:0003031,6
GO:0007611,6
GO:0007005,6
GO:0034968,6
GO:0050684,6
GO:0048172,6
GO:0046716,6
GO:1901416,6
GO:0031670,6
GO:0007632,6
GO:0097250,6
GO:0046628,6
GO:0048142,6
GO:0019731,6
GO:0007444,6
GO:0010468,6
GO:2000738,6
GO:1903003,6
GO:0072332,6
GO:0045787,6
GO:0010507,6
GO:0035099,6
GO:0007455,6
GO:0043410,6
GO:0060180,6
GO:0031508,6
GO:0019343,6
GO:0001894,6
GO:0045947,6
GO:0007377,6
GO:0007391,6
GO:0060856,6
GO:0016339,6
GO:0046856,6
GO:0030336,6
GO:0071329,6
GO:2000765,6
GO:0043087,6
GO:0019236,6
GO:0070896,6
GO:0006974,6
GO:0007405,6
GO:0035205,6
GO:0007346,6
GO:0014016,6
GO:0030330,6
GO:0040010,6
GO:0042246,6
GO:0042771,6
GO:0060537,6
GO:0005978,6
GO:0061709,6
GO:0045022,6
GO:0042136,6
GO:0047497,6
GO:0055088,6
GO:0042493,6
GO:0097352,6
GO:0001654,6
GO:0048076,6
GO:0008104,6
GO:0007623,6
GO:0007298,6
GO:0090062,6
GO:0006096,6
GO:0006402,6
GO:0006468,6
GO:0045089,6
GO:0007205,6
GO:0008045,6
GO:0070059,6
GO:0006085,6
GO:0051642,6
GO:0000281,6
GO:0055093,6
GO:0046653,6
GO:0034727,6
GO:0009435,6
GO:0007435,6
GO:0008286,6
GO:0045214,6
GO:0006508,6
GO:0000724,6
GO:0048640,6
GO:0048736,6
GO:0051495,6
GO:0042593,6
GO:0043491,6
GO:0042756,6
GO:0006501,6
GO:0000349,6
GO:0007295,6
GO:0008284,6
GO:0045433,5
GO:0072593,5
GO:2000373,5
GO:0008069,5
GO:1990248,5
GO:0008582,5
GO:0042744,5
GO:0016360,5
GO:0007448,5
GO:0048167,5
GO:0032508,5
GO:0016573,5
GO:0060857,5
GO:0019991,5
GO:0009058,5
GO:0010737,5
GO:0050804,5
GO:0007476,5
GO:0055114,5
GO:0055059,5
GO:0035011,5
GO:0032291,5
GO:0046823,5
GO:0007443,5
GO:0000278,5
GO:0010940,5
GO:0042052,5
GO:0045762,5
GO:0030725,5
GO:0042752,5
GO:0007468,5
GO:0034613,5
GO:0035160,5
GO:0003333,5
GO:0032880,5
GO:0046855,5
GO:0007210,5
GO:0016477,5
GO:0048681,5
GO:0010259,5
GO:0016203,5
GO:0030708,5
GO:0071902,5
GO:0010628,5
GO:0005975,5
GO:0006665,5
GO:0008219,5
GO:0035627,5
GO:0036092,5
GO:0046328,5
GO:0042691,5
GO:0006282,5
GO:0007010,5
GO:0007616,5
GO:0045615,5
GO:0018992,5
GO:0016348,5
GO:0048169,5
GO:0055115,5
GO:0000578,5
GO:0035970,5
GO:1903364,5
GO:0032446,5
GO:1901799,5
GO:0090070,5
GO:0048477,5
GO:0071243,5
GO:0050688,5
GO:0016242,5
GO:0034551,5
GO:0042776,5
GO:0001578,5
GO:0008535,5
GO:0001889,5
GO:0000050,5
GO:1902600,5
GO:0015986,5
GO:0048666,5
GO:0048749,5
GO:0090140,5
GO:0043652,5
GO:0035006,5
GO:1904778,5
GO:1990542,5
GO:0072347,5
GO:0035010,5
GO:0006497,5
GO:0007282,5
GO:0030727,5
GO:0048680,5
GO:0031104,5
GO:0006914,5
GO:0006995,5
GO:0048190,5
GO:0007395,5
GO:0006383,5
GO:0007294,5
GO:0007280,5
GO:0007088,5
GO:0000077,5
GO:1990845,5
GO:0006264,5
GO:0051646,5
GO:0030010,5
GO:0008637,5
GO:0045818,5
GO:0031061,5
GO:0034058,5
GO:0006342,5
GO:0046907,5
GO:0010821,5
GO:0071907,5
GO:0061060,5
GO:0034976,5
GO:0042060,5
GO:0036093,5
GO:0035335,5
GO:0010389,5
GO:0006265,5
GO:0038001,5
GO:0007254,5
GO:1904263,5
GO:0070932,5
GO:0070933,5
GO:2001229,5
GO:0009115,5
GO:0007370,5
GO:0071422,5
GO:0070734,5
GO:0030968,5
GO:0031441,5
GO:0048010,5
GO:0048096,5
GO:0006650,5
GO:0019896,5
GO:0006525,5
GO:0006206,5
GO:0006144,5
GO:0016226,5
GO:0007220,5
GO:0008057,5
GO:0008333,5
GO:0007608,5
GO:0007265,5
GO:0072175,5
GO:0035222,5
GO:0007584,5
GO:0001661,5
GO:0030948,5
GO:0032007,5
GO:0048312,5
GO:0036098,5
GO:0043547,5
GO:0048082,5
GO:0045570,5
GO:1905446,5
GO:0006635,5
GO:0000165,5
GO:0061723,5
GO:1904504,5
GO:0060031,5
GO:0034614,5
GO:0000302,5
GO:0016042,5
GO:0032456,5
GO:0061320,5
GO:0009631,5
GO:0046339,5
GO:0006517,5
GO:0007602,5
GO:0007216,5
GO:0050832,5
GO:0006457,5
GO:1900407,5
GO:0046688,5
GO:0051896,5
GO:0001933,5
GO:0031669,5
GO:0030509,5
GO:0046834,5
GO:0045494,5
GO:0016056,5
GO:0007110,5
GO:0007111,5
GO:0017126,5
GO:0016458,5
GO:0030488,5
GO:0046620,5
GO:0042023,5
GO:0007304,5
GO:0007313,5
GO:0010862,5
GO:0009950,5
GO:0034599,5
GO:0009052,5
GO:0007617,5
GO:0007615,5
GO:0006728,5
GO:0044058,5
GO:0035214,5
GO:0010941,5
GO:0035215,5
GO:0043069,5
GO:0035217,5
GO:0045931,5
GO:0070345,5
GO:1900111,5
GO:0042594,5
GO:0006006,5
GO:0035188,5
GO:0006979,5
GO:0008544,5
GO:0007291,5
GO:0035073,5
GO:0030707,5
GO:0035002,5
GO:0045793,5
GO:0051091,5
GO:0007379,5
GO:0061964,5
GO:0060291,5
GO:0046777,5
GO:0035071,5
GO:0045476,5
GO:0060729,5
GO:0018990,5
GO:0097009,5
GO:0048133,5
GO:0038002,5
GO:0048100,5
GO:0007626,5
GO:0007015,5
GO:0043065,5
GO:0042775,5
GO:0006814,5
GO:0006848,5
GO:0035167,5
GO:0007218,5
GO:0015744,5
GO:0043457,5
GO:0007419,5
GO:0030720,5
GO:0007422,5
GO:0031060,5
GO:0034059,5
GO:0007480,5
GO:0009653,5
GO:0071462,5
GO:0007275,5
GO:0002052,5
GO:0007399,5
GO:0007390,5
GO:0016571,4
GO:0048285,4
GO:0032095,4
GO:0044804,4
GO:0046168,4
