,0
GO:0010765,7
GO:0031175,6
GO:0032868,6
GO:0032922,6
GO:0000077,5
GO:0006915,5
GO:0042060,5
GO:0006006,5
GO:0032007,5
GO:0008584,5
GO:0032091,5
GO:0043524,5
GO:0050872,4
GO:0042127,4
GO:0071407,4
GO:0031398,4
GO:0007275,4
GO:0032094,4
GO:0034644,4
GO:0048662,4
GO:0051276,4
GO:0007346,4
GO:0008285,4
GO:0031397,4
GO:0097190,4
GO:0009650,4
GO:0043066,4
GO:0040018,4
GO:0045766,4
GO:0050728,4
GO:0007186,4
GO:0006914,4
GO:0019430,4
GO:0006355,4
GO:0008286,4
GO:0045944,4
GO:0006468,4
GO:0070932,4
GO:0045725,4
GO:0051897,4
GO:1990830,3
GO:0006476,3
GO:0006284,3
GO:0030330,3
GO:0007204,3
GO:0055114,3
GO:0051092,3
GO:0042744,3
GO:0006511,3
GO:0014068,3
GO:2001235,3
GO:0042632,3
GO:0120162,3
GO:0070836,3
GO:0006298,3
GO:0060396,3
GO:0042493,3
GO:0031667,3
GO:0042756,3
GO:0006303,3
GO:0007568,3
GO:0034599,3
GO:0001934,3
GO:0014911,3
GO:0045600,3
GO:0009411,3
GO:0051898,3
GO:0071363,3
GO:0000086,3
GO:1901215,3
GO:0070374,3
GO:0007189,3
GO:0008283,3
GO:0006302,3
GO:0035264,3
GO:0016310,3
GO:0010506,3
GO:0007050,3
GO:0001974,3
GO:0002376,3
GO:0000723,3
GO:0042981,3
GO:0043525,3
GO:0035556,3
GO:0006629,3
GO:0006357,3
GO:0006310,3
GO:0033683,2
GO:0043627,2
GO:0030335,2
GO:0009887,2
GO:0018105,2
GO:0007569,2
GO:0006289,2
GO:0007626,2
GO:0010628,2
GO:0032869,2
GO:0006954,2
GO:0010212,2
GO:0009791,2
GO:0048009,2
GO:0071456,2
GO:0001568,2
GO:0001932,2
GO:0043410,2
GO:0043491,2
GO:0006281,2
GO:0046326,2
GO:0046777,2
GO:0003007,2
GO:0034504,2
GO:0045893,2
GO:0045892,2
GO:0043161,2
GO:0051000,2
GO:0007623,2
GO:0016567,2
GO:0033138,2
GO:0045907,2
GO:0007005,2
GO:0008637,2
GO:0007281,2
GO:0006919,2
GO:0071560,2
GO:0001525,2
GO:0000122,2
GO:0001836,2
GO:0006978,2
GO:0097192,2
GO:0042771,2
GO:0048146,2
GO:0071479,2
GO:0001822,2
GO:0090399,2
GO:0071480,2
GO:0071356,2
GO:0045669,2
GO:0006979,2
GO:0030879,2
GO:0045444,2
GO:0042593,2
GO:0000209,1
GO:0001938,1
GO:0045429,1
GO:0010507,1
GO:0051726,1
GO:0030154,1
GO:0048511,1
GO:0048666,1
GO:0010976,1
GO:0010332,1
GO:0006508,1
GO:0007165,1
GO:0006094,1
GO:0043523,1
GO:0048147,1
GO:0007283,1
GO:0006977,1
GO:0051402,1
GO:0000724,1
GO:0045471,1
GO:0001666,1
GO:0050731,1
GO:0008630,1
GO:2000377,1
GO:0071481,1
GO:0043065,1
GO:0010468,1
GO:0001701,1
GO:0048661,1
GO:0071333,1
GO:0010629,1
GO:0042752,0
GO:0051301,0
GO:0008284,0
GO:0006366,0
GO:0006606,0
GO:1901216,0
GO:0000187,0
GO:0008340,0
GO:0007507,0
GO:0007049,0
GO:0006974,0
GO:0050821,0
GO:0007399,0
GO:0043388,0
