,0
GO:0031999,9
GO:0043403,9
GO:0010838,9
GO:0021983,9
GO:2000573,9
GO:0032410,9
GO:0032148,9
GO:0071480,9
GO:1902004,9
GO:0045910,9
GO:0071493,8
GO:0060391,8
GO:0014896,8
GO:0019883,8
GO:1904383,8
GO:1905663,8
GO:0031929,8
GO:1901082,8
GO:1900087,8
GO:0099171,8
GO:0007212,8
GO:0006879,8
GO:2000379,8
GO:0043124,8
GO:0007140,8
GO:0000320,8
GO:0035356,8
GO:0061049,8
GO:0031065,8
GO:0071879,8
GO:0060510,8
GO:2001202,8
GO:0001991,8
GO:1900103,8
GO:1903598,8
GO:0010867,8
GO:0034605,8
GO:0007195,8
GO:0006289,8
GO:0006949,8
GO:0006898,8
GO:2000757,8
GO:0006633,8
GO:2000655,8
GO:0046390,8
GO:0034220,8
GO:0050715,8
GO:0010467,8
GO:0006355,8
GO:0010569,8
GO:2001244,8
GO:0051289,8
GO:1902176,8
GO:2000060,8
GO:0001302,8
GO:0042493,8
GO:0016925,8
GO:0061081,7
GO:0045830,7
GO:0000012,7
GO:0018424,7
GO:0050954,7
GO:1900119,7
GO:0060157,7
GO:1905168,7
GO:0010729,7
GO:0045668,7
GO:0010248,7
GO:0071902,7
GO:0061635,7
GO:0045087,7
GO:0150079,7
GO:0035315,7
GO:0008625,7
GO:0007008,7
GO:1900182,7
GO:0002092,7
GO:0000731,7
GO:0071586,7
GO:0006642,7
GO:0045088,7
GO:1903984,7
GO:0097009,7
GO:0000303,7
GO:0098773,7
GO:0051349,7
GO:0021846,7
GO:0007187,7
GO:1904234,7
GO:0070829,7
GO:0007098,7
GO:0035166,7
GO:0033032,7
GO:0021984,7
GO:0042531,7
GO:0048679,7
GO:0048738,7
GO:2000300,7
GO:0034614,7
GO:0050974,7
GO:0001893,7
GO:0046324,7
GO:0042475,7
GO:0090344,7
GO:0007041,7
GO:0032986,7
GO:0045136,7
GO:0010595,7
GO:0042595,7
GO:0060047,7
GO:0006811,7
GO:1901741,7
GO:1901627,7
GO:0060395,7
GO:0045824,7
GO:0044539,7
GO:0002023,7
GO:1901214,7
GO:0001558,7
GO:0014912,7
GO:0042753,7
GO:0001975,7
GO:0010718,7
GO:0001818,7
GO:0010165,7
GO:0007044,7
GO:0000079,7
GO:0016447,7
GO:0048839,7
GO:0043570,7
GO:0000082,7
GO:0016572,7
GO:0006885,7
GO:1905289,7
GO:0021979,7
GO:0060452,7
GO:0031668,7
GO:0010976,7
GO:1901222,7
GO:0008089,7
GO:0001889,7
GO:0033344,7
GO:1903238,7
GO:1903770,7
GO:0001756,7
GO:0001666,7
GO:0000077,7
GO:0042632,7
GO:0014910,7
GO:0001890,7
GO:0014741,7
GO:0071230,7
GO:0070192,7
GO:0048546,7
GO:0060048,7
GO:0046716,7
GO:0071276,7
GO:1902109,7
GO:0002064,7
GO:0006744,7
GO:0042775,7
GO:0034622,7
GO:0051443,7
GO:0070094,7
GO:1904058,7
GO:0048538,7
GO:2000234,7
GO:2000144,7
GO:2000651,7
GO:0018279,7
GO:0006112,7
GO:0030326,6
GO:0016226,6
GO:0042326,6
GO:0031641,6
GO:0050728,6
GO:0019230,6
GO:0071233,6
GO:0060333,6
GO:0060341,6
GO:1903691,6
GO:0070885,6
GO:0031998,6
GO:0010942,6
GO:0030850,6
GO:1903690,6
GO:0031667,6
GO:0046889,6
GO:0030859,6
GO:0099547,6
GO:0120162,6
GO:0070301,6
GO:0007405,6
GO:0055006,6
GO:0051262,6
GO:0070266,6
GO:0010039,6
GO:0006338,6
GO:0006295,6
GO:0016055,6
GO:0060218,6
GO:0005977,6
GO:0048820,6
GO:0045951,6
GO:1902253,6
GO:1904924,6
GO:0033033,6
GO:0072574,6
GO:0043406,6
GO:0021510,6
GO:0050821,6
GO:2000269,6
GO:1904024,6
GO:1903975,6
GO:0050873,6
GO:0045905,6
GO:0009887,6
GO:0030225,6
GO:2000134,6
GO:2000278,6
GO:0007584,6
GO:0007040,6
GO:0010481,6
GO:0006283,6
GO:0010259,6
GO:0030324,6
GO:0006452,6
GO:2000781,6
GO:0031103,6
GO:0043032,6
GO:0045786,6
GO:0070374,6
GO:0050804,6
GO:0050729,6
GO:0046061,6
GO:0045725,6
GO:0090031,6
GO:0030177,6
GO:0048341,6
GO:0048666,6
GO:0051028,6
GO:0099527,6
GO:0014806,6
GO:0014740,6
GO:0007263,6
GO:0003100,6
GO:0001542,6
GO:0048304,6
GO:0045190,6
GO:0030183,6
GO:1902999,6
GO:0009653,6
GO:0042635,6
GO:0006334,6
GO:0071897,6
GO:0030224,6
GO:0000727,6
GO:1900114,6
GO:0051091,6
GO:0031647,6
GO:1904754,6
GO:0007517,6
GO:0008152,6
GO:1903979,6
GO:0032623,6
GO:2000391,6
GO:0009755,6
GO:0008347,6
GO:0042391,6
GO:2000277,6
GO:2000648,6
GO:0090287,6
GO:1901385,6
GO:0003247,6
GO:0090322,6
GO:0070358,6
GO:0031532,6
GO:0016525,6
GO:0071218,6
GO:0071456,6
GO:0032966,6
GO:2000774,6
GO:0090035,6
GO:0009953,6
GO:0042267,6
GO:0006470,6
GO:0006261,6
GO:2000345,6
GO:0031639,6
GO:0014909,6
GO:0097167,6
GO:0042594,6
GO:0019543,6
GO:0007611,6
GO:0006111,6
GO:0010748,6
GO:0007129,6
GO:0060999,6
GO:0043491,6
GO:0035630,6
GO:0032720,6
GO:0043518,6
GO:0014904,6
GO:0051097,6
GO:0007608,6
GO:0035794,6
GO:0061136,6
GO:0051967,6
GO:0043153,6
GO:0043504,6
GO:1901984,6
GO:0034504,6
GO:0007631,6
GO:2000270,6
GO:2000480,6
GO:2000619,6
GO:0010216,6
GO:0010975,6
GO:0021955,6
GO:0060124,6
GO:0032286,6
GO:0045792,6
GO:0048539,6
GO:0048008,6
GO:0045840,6
GO:0048468,6
GO:0033210,6
GO:0012501,6
GO:2001032,6
GO:0010907,6
GO:0098656,6
GO:0000733,6
GO:0014823,6
GO:1900223,6
GO:0002687,6
GO:0048680,6
GO:0043243,6
GO:0030010,6
GO:0090370,6
GO:0007179,6
GO:0036211,6
GO:0050882,6
GO:1904193,6
GO:1903827,6
GO:0007417,6
GO:0060766,6
GO:0007569,6
GO:2001170,6
GO:0060527,6
GO:0009299,6
GO:0009303,6
GO:0010934,6
GO:0050679,6
GO:0031069,6
GO:0000019,6
GO:1901653,6
GO:2001241,6
GO:0006925,6
GO:0071475,6
GO:0030199,6
GO:0036297,6
GO:0032212,6
GO:0001659,6
GO:0098780,6
GO:0048706,6
GO:0060351,6
GO:0036289,6
GO:0030514,6
GO:0008053,6
GO:0000423,6
GO:0060137,6
GO:0042542,6
GO:2000114,6
GO:0035265,6
GO:0031295,6
GO:0008285,6
GO:0042640,6
GO:0071681,6
GO:0061179,6
GO:0008635,6
GO:1902108,6
GO:0006954,6
GO:0048545,6
GO:1903862,6
GO:0002026,6
GO:2000010,6
GO:0048265,6
GO:0007143,6
GO:1904632,6
GO:0035067,6
GO:0001974,6
GO:0071354,6
GO:0043393,6
GO:0033147,6
GO:0019233,6
GO:0010212,6
GO:0050829,6
GO:0051571,6
GO:1903078,6
GO:0002904,6
GO:0051918,6
GO:0030327,6
GO:0009617,6
GO:0061044,6
GO:0001938,6
GO:0006397,6
GO:0008380,6
GO:0002377,6
GO:0140052,6
GO:0009566,6
GO:0046329,6
GO:0032079,6
GO:0021987,6
GO:0019249,6
GO:0051301,6
GO:0071044,6
GO:0051754,6
GO:0075044,6
GO:0051001,6
GO:0030509,6
GO:0006979,6
GO:0033599,6
GO:1903334,6
GO:0036342,6
GO:0071500,6
GO:0072434,6
GO:0051281,6
GO:0035556,6
GO:0007512,6
GO:0071486,6
GO:0007193,6
GO:0043473,6
GO:0061337,6
GO:0000237,6
GO:0070836,6
GO:0007202,6
GO:0046785,6
GO:0010862,6
GO:0001777,6
GO:0009650,6
GO:1990542,6
GO:0007091,6
GO:0043161,6
GO:0051279,6
GO:0048145,6
GO:1990164,6
GO:0043616,6
GO:2000617,6
GO:0010917,6
GO:1902808,6
GO:0043409,6
GO:1990036,6
GO:0045665,6
GO:0051782,6
GO:0046426,6
GO:0043589,6
GO:1904674,6
GO:0003085,5
GO:0097680,5
GO:1901594,5
GO:2000252,5
GO:1990535,5
GO:0050968,5
GO:0032270,5
GO:0003032,5
GO:1903978,5
GO:0060083,5
GO:0071398,5
GO:0043552,5
GO:1905461,5
GO:0034644,5
GO:0010821,5
GO:0046825,5
GO:0007072,5
GO:0090212,5
GO:0090275,5
GO:0071468,5
GO:0031000,5
GO:0071345,5
GO:0006937,5
GO:1904262,5
GO:0010873,5
GO:0006814,5
GO:0010529,5
GO:0036049,5
GO:0060454,5
GO:1905563,5
GO:0071360,5
GO:0001783,5
GO:0048705,5
GO:0070212,5
GO:1905460,5
GO:0090209,5
GO:0008584,5
GO:0090207,5
GO:0090096,5
GO:0010332,5
GO:0070371,5
GO:0061051,5
GO:0010524,5
GO:0051973,5
GO:0060736,5
GO:0042254,5
GO:0034462,5
GO:0019087,5
GO:0032930,5
GO:0060252,5
GO:0051924,5
GO:0033137,5
GO:0035108,5
GO:0014858,5
GO:0090181,5
GO:0044336,5
GO:0042981,5
GO:0031507,5
GO:0070914,5
GO:0046326,5
GO:0006848,5
GO:0048660,5
GO:0007548,5
GO:2001237,5
GO:0006955,5
GO:0042554,5
GO:0003007,5
GO:0001844,5
GO:0048773,5
GO:1903944,5
GO:1900221,5
GO:0050790,5
GO:0051898,5
GO:0010243,5
GO:0002358,5
GO:0006687,5
GO:0046328,5
GO:0045056,5
GO:0070936,5
GO:0030501,5
GO:0009268,5
GO:0038083,5
GO:0033690,5
GO:0033674,5
GO:0006914,5
GO:0010990,5
GO:0018312,5
GO:0001774,5
GO:0007281,5
GO:0030592,5
GO:0008286,5
GO:0032042,5
GO:0007267,5
GO:0045987,5
GO:0042421,5
GO:0031848,5
GO:0048632,5
GO:0032208,5
GO:0050796,5
GO:0030330,5
GO:0042789,5
GO:0043979,5
GO:0008065,5
GO:0007601,5
GO:0016233,5
GO:0050921,5
GO:0006740,5
GO:0010041,5
GO:0045454,5
GO:0044029,5
GO:2000097,5
GO:0070997,5
GO:0060279,5
GO:0042730,5
GO:1901985,5
GO:2000074,5
GO:2000323,5
GO:1901355,5
GO:0043007,5
GO:0034505,5
GO:0061820,5
GO:0061402,5
GO:0051365,5
GO:0000132,5
GO:0006888,5
GO:2000822,5
GO:0010812,5
GO:0014809,5
GO:0007089,5
GO:0016477,5
GO:0006412,5
GO:0031943,5
GO:0007189,5
GO:0043043,5
GO:0045666,5
GO:0006511,5
GO:0031340,5
GO:0015866,5
GO:0048771,5
GO:1905555,5
GO:1905549,5
GO:1903463,5
GO:0060586,5
GO:0070932,5
GO:0021522,5
GO:0032206,5
GO:0042634,5
GO:0008344,5
GO:0035023,5
GO:0006471,5
GO:0070345,5
GO:1990839,5
GO:0070534,5
GO:0060567,5
GO:0006953,5
GO:0030036,5
GO:0034316,5
GO:0007283,5
GO:0000972,5
GO:2000730,5
GO:0042176,5
GO:0007029,5
GO:0006107,5
GO:1900077,5
GO:0051260,5
GO:0045141,5
GO:0006487,5
GO:0001658,5
GO:0033151,5
GO:0006298,5
GO:0033129,5
GO:0019724,5
GO:0008306,5
GO:0030335,5
GO:0010956,5
GO:0007004,5
GO:0071316,5
GO:0071277,5
GO:0002076,5
GO:1902991,5
GO:0090102,5
