,0
GO:0030154,8
GO:0015031,7
GO:0016310,6
GO:0018105,6
GO:0050830,6
GO:0006355,6
GO:0006412,6
GO:0034220,6
GO:0030536,5
GO:0040017,5
GO:0006511,5
GO:0040010,5
GO:0043161,5
GO:0007399,5
GO:0030421,5
GO:1903998,5
GO:0006457,5
GO:0006886,5
GO:0007188,5
GO:0061066,5
GO:0040011,5
GO:0007210,5
GO:0006397,4
GO:1902600,4
GO:0035556,4
GO:0006417,4
GO:0031647,4
GO:0032259,4
GO:0006979,4
GO:0001708,4
GO:0110039,4
GO:1905515,4
GO:0040040,4
GO:0001666,4
GO:0007179,4
GO:0007635,4
GO:0000122,4
GO:0016192,4
GO:0040028,4
GO:0040034,4
GO:0006631,4
GO:0008355,4
GO:0006325,4
GO:0016579,4
GO:0002119,4
GO:0007281,4
GO:0007165,4
GO:0018996,4
GO:0018108,4
GO:0009408,4
GO:0043065,3
GO:0006470,3
GO:0007049,3
GO:0006915,3
GO:0006122,3
GO:0006972,3
GO:0060271,3
GO:0008104,3
GO:0040018,3
GO:0040025,3
GO:0006418,3
GO:0043051,3
GO:0006413,3
GO:0006123,3
GO:0061065,3
GO:0042048,3
GO:0007005,3
GO:0006633,3
GO:0016567,3
GO:0030150,3
GO:0036498,3
GO:0045944,3
GO:0006811,3
GO:0006914,3
GO:0008406,3
GO:0010629,3
GO:0055114,3
GO:0010628,3
GO:0045087,3
GO:0006974,3
GO:0042659,3
GO:0018991,3
GO:0030334,3
GO:0006665,3
GO:0006629,3
GO:0043053,3
GO:0006357,3
GO:0000003,3
GO:0006508,3
GO:0055085,3
GO:0040027,3
GO:0060290,2
GO:0006096,2
GO:0008582,2
GO:0006099,2
GO:0007186,2
GO:0015986,2
GO:0006260,2
GO:0043052,2
GO:0007268,2
GO:0040012,2
GO:0005975,2
GO:0000045,2
GO:0045138,2
GO:0010286,2
GO:0035335,2
GO:0050829,2
GO:0051301,2
GO:0051321,2
GO:0008340,2
GO:0006396,2
GO:0006897,2
GO:0006120,2
GO:0010468,2
GO:0030968,1
GO:0000398,1
GO:0006935,1
GO:0006468,1
GO:0040014,1
GO:1902075,1
GO:0040026,1
GO:0007275,1
GO:0008286,1
GO:0046662,1
GO:0042776,1
GO:0009792,0
GO:0048477,0
GO:0006281,0
GO:0040024,0
