,0
GO:0001764,9
GO:0006446,9
GO:0018401,9
GO:1905938,9
GO:0045165,9
GO:0030950,9
GO:0006370,9
GO:0010070,9
GO:1901046,9
GO:1903746,9
GO:0061512,9
GO:0033365,8
GO:0071902,8
GO:0045773,8
GO:0036499,8
GO:0030730,8
GO:2000785,8
GO:0007614,8
GO:2000292,8
GO:0035970,8
GO:0045887,8
GO:0045862,8
GO:0035542,8
GO:0045944,8
GO:1902857,8
GO:1905941,8
GO:0030838,8
GO:1901800,8
GO:0051093,8
GO:0002183,8
GO:0033993,8
GO:0040038,8
GO:0006435,8
GO:0006261,8
GO:0070212,8
GO:1905850,8
GO:0006486,8
GO:0030516,8
GO:0006366,8
GO:0008654,8
GO:0071139,8
GO:0046712,8
GO:0097499,8
GO:0000086,8
GO:0034605,8
GO:0031640,8
GO:0007266,8
GO:0006490,8
GO:0003031,8
GO:0070588,7
GO:0071168,7
GO:1903354,7
GO:0051345,7
GO:0006936,7
GO:0048285,7
GO:0006383,7
GO:0006301,7
GO:0051096,7
GO:0071712,7
GO:0010888,7
GO:0009267,7
GO:0007622,7
GO:0000462,7
GO:0000184,7
GO:0000289,7
GO:0035418,7
GO:0070584,7
GO:1902742,7
GO:0016233,7
GO:0048212,7
GO:0006569,7
GO:0006338,7
GO:0060537,7
GO:0070125,7
GO:0019543,7
GO:0042981,7
GO:0022900,7
GO:0014018,7
GO:1902751,7
GO:0051220,7
GO:2000677,7
GO:0016567,7
GO:0048250,7
GO:0016579,7
GO:0006891,7
GO:0007268,7
GO:0008380,7
GO:1901075,7
GO:0042391,7
GO:1900182,7
GO:0071277,7
GO:0033617,7
GO:1905608,7
GO:0038066,7
GO:0030155,7
GO:0010753,7
GO:0006364,7
GO:0010862,7
GO:0032436,7
GO:0097352,7
GO:1905634,7
GO:0046620,7
GO:2000643,7
GO:0016199,7
GO:0016540,7
GO:0006990,7
GO:0061789,7
GO:1901031,7
GO:0098542,7
GO:0098664,7
GO:0007548,7
GO:0035725,7
GO:0030041,7
GO:0006303,7
GO:0010452,7
GO:0071422,7
GO:0040029,7
GO:0048856,7
GO:0016331,7
GO:0035336,7
GO:0015909,7
GO:0015819,7
GO:0051567,7
GO:0015986,7
GO:0009966,7
GO:0098609,7
GO:0006520,7
GO:0045903,7
GO:0070922,7
GO:0032501,7
GO:1905515,7
GO:0031047,7
GO:0002119,7
GO:0071264,7
GO:0008340,7
GO:1905775,7
GO:0007219,7
GO:0097112,7
GO:0048846,7
GO:0016236,7
GO:0030473,7
GO:0007018,7
GO:0006567,7
GO:0050850,7
GO:1905691,7
GO:0046513,7
GO:0045893,7
GO:0090065,7
GO:0017148,7
GO:0034625,7
GO:0043051,7
GO:0030206,7
GO:1903508,7
GO:0006749,7
GO:0046486,7
GO:0043420,7
GO:1904951,7
GO:0006382,7
GO:0040010,7
GO:0038202,7
GO:0046512,7
GO:0061771,7
GO:0000160,7
GO:0009098,7
GO:0006400,7
GO:0007281,7
GO:0045132,7
GO:0006972,7
GO:0030150,7
GO:0032259,7
GO:0044206,7
GO:0035721,7
GO:0050909,7
GO:0000003,7
GO:0010133,7
GO:0071028,6
GO:0008643,6
GO:0006900,6
GO:0032511,6
GO:0034475,6
GO:0006309,6
GO:0042407,6
GO:0034982,6
GO:0040015,6
GO:0006695,6
GO:1903745,6
GO:0071051,6
GO:0006836,6
GO:0006413,6
GO:0001820,6
GO:0048488,6
GO:0032924,6
GO:0007035,6
GO:0040013,6
GO:0045933,6
GO:0010940,6
GO:0009887,6
GO:0060179,6
GO:0043518,6
GO:0042692,6
GO:0099525,6
GO:0006812,6
GO:0060282,6
GO:0035249,6
GO:0016079,6
GO:0071230,6
GO:0048278,6
GO:1990504,6
GO:0006869,6
GO:0048167,6
GO:0007033,6
GO:0072511,6
GO:0016926,6
GO:0030001,6
GO:1901216,6
GO:0060078,6
GO:0046890,6
GO:0033108,6
GO:0008045,6
GO:0006260,6
GO:0003006,6
GO:0007163,6
GO:0071035,6
GO:0035095,6
GO:0071805,6
GO:0034501,6
GO:0006857,6
GO:1905905,6
GO:0035442,6
GO:0035672,6
GO:0000387,6
GO:1903436,6
GO:0034975,6
GO:0016573,6
GO:0035046,6
GO:0030148,6
GO:0018342,6
GO:0055072,6
GO:0006265,6
GO:1902531,6
GO:0007283,6
GO:0007257,6
GO:0034620,6
GO:0040011,6
GO:0033212,6
GO:0051156,6
GO:0040025,6
GO:0006998,6
GO:0007517,6
GO:0006182,6
GO:0048477,6
GO:0035017,6
GO:1905278,6
GO:0009880,6
GO:0009791,6
GO:0007618,6
GO:0032026,6
GO:0030182,6
GO:0006631,6
GO:0032956,6
GO:0060298,6
GO:0089700,6
GO:0090481,6
GO:0048609,6
GO:0061408,6
GO:1905804,6
GO:1902230,6
GO:0034243,6
GO:0050803,6
GO:1903744,6
GO:0050877,6
GO:0070482,6
GO:0034220,6
GO:0009060,6
GO:0044237,6
GO:0017157,6
GO:0071444,6
GO:0043054,6
GO:0007169,6
GO:0097720,6
GO:0036500,6
GO:0006476,6
GO:0030539,6
GO:0008053,6
GO:0050913,6
GO:0060573,6
GO:0033554,6
GO:0042744,6
GO:1900073,6
GO:0046327,6
GO:0090472,6
GO:0071333,6
GO:0061096,6
GO:0060456,6
GO:0090387,6
GO:0036258,6
GO:0014057,6
GO:0006310,6
GO:0000209,6
GO:2000369,6
GO:0035264,6
GO:0072334,6
GO:0042138,6
GO:0110032,6
GO:0040034,6
GO:0007409,6
GO:0015866,6
GO:0050658,6
GO:0010918,6
GO:0036498,6
GO:0034198,6
GO:0043491,6
GO:0055059,6
GO:0033627,6
GO:0042776,6
GO:0040026,6
GO:0090305,6
GO:0090503,6
GO:0006457,6
GO:0019725,6
GO:0034514,6
GO:0006612,6
GO:0048863,6
GO:0034721,6
GO:0048598,6
GO:0045947,6
GO:1902600,6
GO:0006464,6
GO:0035335,6
GO:0045931,6
GO:1901098,6
GO:0044272,6
GO:0031053,6
GO:0008360,6
GO:0060070,6
GO:0007411,6
GO:0016024,6
GO:0051296,6
GO:0045684,6
GO:0019344,6
GO:0030512,6
GO:0070814,6
GO:0048557,6
GO:0006471,6
GO:0019343,6
GO:0006302,6
GO:0000022,6
GO:0000122,6
GO:0051036,6
GO:0034474,6
GO:0000398,6
GO:0006508,6
GO:0070536,6
GO:0007091,6
GO:0000045,6
GO:0032534,6
GO:0045138,6
GO:1905782,6
GO:0042078,6
GO:0000027,6
GO:0032793,6
GO:0012501,6
GO:0045995,6
GO:0070734,6
GO:0035435,6
GO:0006875,6
GO:0051489,6
GO:0050667,6
GO:0046903,6
GO:0009410,6
GO:0007064,6
GO:0046834,6
GO:0019805,6
GO:0016042,6
GO:1902474,6
GO:0006099,6
GO:0034765,6
GO:0030866,6
GO:0051924,6
GO:0031050,6
GO:0040018,6
GO:0007094,6
GO:0034435,6
GO:0090325,6
GO:0044804,6
GO:1904262,6
GO:0045737,6
GO:0000723,6
GO:0040009,6
GO:0019433,6
GO:0071481,6
GO:0050709,6
GO:0034729,6
GO:0071926,6
GO:0045197,6
GO:0016310,6
GO:0001507,6
GO:0009755,6
GO:0098507,6
GO:1901047,6
GO:0007191,6
GO:0006355,6
GO:0048568,6
GO:0040024,6
GO:0036092,6
GO:0010621,6
GO:0006165,6
GO:0006228,6
GO:0097202,6
GO:0043065,6
GO:0007155,6
GO:0009099,6
GO:0008354,6
GO:0008544,6
GO:0010954,6
GO:0009786,6
GO:0040012,6
GO:0030154,6
GO:1900194,6
GO:0016055,6
GO:0097194,6
GO:0007130,5
GO:0030239,5
GO:0045604,5
GO:1904901,5
GO:0048678,5
GO:0046339,5
GO:0009052,5
GO:0098971,5
GO:1900163,5
GO:0055002,5
GO:0006611,5
GO:0051177,5
GO:1903108,5
GO:1902856,5
GO:0048815,5
GO:0045987,5
GO:0007062,5
GO:0007160,5
GO:0050954,5
GO:0016246,5
GO:0040001,5
GO:0050896,5
GO:0000281,5
GO:0007346,5
GO:0045026,5
GO:0010171,5
GO:0009081,5
GO:0048812,5
GO:0006183,5
GO:1901074,5
GO:0090727,5
GO:1905516,5
GO:0034968,5
GO:0045835,5
GO:0070828,5
GO:0009314,5
GO:1902845,5
GO:0007638,5
GO:0009435,5
GO:1902884,5
GO:0034354,5
GO:0000226,5
GO:0006348,5
GO:0042254,5
GO:0048681,5
GO:0030050,5
GO:0007254,5
GO:1904785,5
GO:0046627,5
GO:0051983,5
GO:0006429,5
GO:0010498,5
GO:0070544,5
GO:0010499,5
GO:0046579,5
GO:0042325,5
GO:0006999,5
GO:0043085,5
GO:0051447,5
GO:0006740,5
GO:0051131,5
GO:2000193,5
GO:0019217,5
GO:0019216,5
GO:0051304,5
GO:0006810,5
GO:0106074,5
GO:1903506,5
GO:0045167,5
GO:0042989,5
GO:0050918,5
GO:0032504,5
GO:0019752,5
GO:0006108,5
GO:0071468,5
GO:0006268,5
GO:2000635,5
GO:0042395,5
GO:0008595,5
GO:0031532,5
GO:0070509,5
GO:0009058,5
GO:0031032,5
GO:0046855,5
GO:0015812,5
GO:0007010,5
GO:1902255,5
GO:1904576,5
GO:0007204,5
GO:0042713,5
GO:0016188,5
GO:0016081,5
GO:0048016,5
GO:0048791,5
GO:0048017,5
GO:0006479,5
GO:0030719,5
GO:0033555,5
GO:0090386,5
GO:0034720,5
GO:0002225,5
GO:0030511,5
GO:0007017,5
GO:0034608,5
GO:0010446,5
GO:0098655,5
GO:0040040,5
GO:0014019,5
GO:0009409,5
GO:1900195,5
GO:0007213,5
GO:1905786,5
GO:0071244,5
GO:0006581,5
GO:0046685,5
GO:0071218,5
GO:0031573,5
GO:0007369,5
GO:0030166,5
GO:0034497,5
GO:0061365,5
GO:0045732,5
GO:0010172,5
GO:0033316,5
GO:0032889,5
GO:0005998,5
GO:0042732,5
GO:0007413,5
GO:0006401,5
GO:1900369,5
GO:0051014,5
GO:0033540,5
GO:0030043,5
GO:0008543,5
GO:0008039,5
GO:0015718,5
GO:0031145,5
GO:1904668,5
GO:0009454,5
GO:0050708,5
GO:0099161,5
GO:1904508,5
GO:0006369,5
GO:0009967,5
GO:0006874,5
GO:0006816,5
GO:0046883,5
GO:0006730,5
GO:0042059,5
GO:0015809,5
GO:0031629,5
GO:0016082,5
GO:0006906,5
GO:0035494,5
GO:0060178,5
GO:0016197,5
GO:0032200,5
GO:0022008,5
GO:0019441,5
GO:0019442,5
GO:0030422,5
GO:2000060,5
GO:0016560,5
GO:0045321,5
GO:2000636,5
GO:0015937,5
GO:0060465,5
GO:0045214,5
GO:0006515,5
GO:0043068,5
GO:1901215,5
GO:0022401,5
