,0
GO:0007062,9
GO:1901195,8
GO:0006879,7
GO:0045116,7
GO:0000083,7
GO:0007033,7
GO:0070868,7
GO:0035023,7
GO:0006351,7
GO:0030490,7
GO:0015867,7
GO:0006418,7
GO:0015918,7
GO:0030011,7
GO:0042273,7
GO:0006310,7
GO:0070681,7
GO:0034553,7
GO:0060303,7
GO:0007039,7
GO:0006730,7
GO:0006164,7
GO:0008152,6
GO:2000219,6
GO:1904263,6
GO:0018107,6
GO:0006850,6
GO:0009651,6
GO:0000027,6
GO:0071528,6
GO:0080009,6
GO:0032263,6
GO:0006816,6
GO:0034729,6
GO:0034316,6
GO:0007034,6
GO:0006486,6
GO:0000956,6
GO:0006515,6
GO:0046020,6
GO:0006369,6
GO:0016126,6
GO:0006325,6
GO:0007059,6
GO:0032543,6
GO:0032446,6
GO:0015031,6
GO:0045910,6
GO:0031509,6
GO:0007264,6
GO:0045859,6
GO:0019430,6
GO:0043248,6
GO:0009450,6
GO:0015809,6
GO:0000735,6
GO:0000278,6
GO:0000082,6
GO:0000321,6
GO:0006895,5
GO:0016562,5
GO:0032880,5
GO:0034599,5
GO:0042407,5
GO:0044539,5
GO:0008298,5
GO:0015696,5
GO:0071712,5
GO:0006470,5
GO:1900101,5
GO:0045002,5
GO:0007117,5
GO:0045454,5
GO:0000161,5
GO:0023014,5
GO:0042148,5
GO:0030491,5
GO:0061709,5
GO:0006289,5
GO:0000724,5
GO:0043488,5
GO:0007004,5
GO:0007007,5
GO:0006284,5
GO:0003333,5
GO:0042254,5
GO:0030466,5
GO:0001308,5
GO:0031507,5
GO:0070481,5
GO:0034976,5
GO:0006506,5
GO:0006508,5
GO:0006744,5
GO:0045737,5
GO:0034221,5
GO:0010607,5
GO:0006511,5
GO:0071806,5
GO:0009060,5
GO:0006342,5
GO:0010971,5
GO:0005993,5
GO:0036474,5
GO:0097695,5
GO:0043254,5
GO:0000160,5
GO:0006265,5
GO:0019933,5
GO:0005979,5
GO:0061408,5
GO:0006869,5
GO:0016239,5
GO:0090615,5
GO:0044804,5
GO:0006468,5
GO:0017196,5
GO:0006474,5
GO:0002181,5
GO:0007097,5
GO:0019752,5
GO:1904669,5
GO:0031930,5
GO:0007015,5
GO:0000209,5
GO:0061186,5
GO:0015677,5
GO:0007005,5
GO:0000266,5
GO:0008295,5
GO:0000448,5
GO:0005975,5
GO:0000055,5
GO:0042138,5
GO:0046856,5
GO:0008202,5
GO:0042766,5
GO:0006896,5
GO:0006334,5
GO:0044255,5
GO:0006739,5
GO:0034354,5
GO:0007189,5
GO:0008361,5
GO:0045048,5
GO:0000920,5
GO:0009116,5
GO:0000028,5
GO:0006083,5
GO:0061406,5
GO:0032210,5
GO:0034517,5
GO:0009098,5
GO:0007089,5
GO:0006270,5
GO:0007064,5
GO:0035435,5
GO:0036297,5
GO:0018216,5
GO:0065003,5
GO:0000147,5
GO:0051017,5
GO:0006797,5
GO:0009757,5
GO:0000045,5
GO:0000398,5
GO:0006348,5
GO:0006096,5
GO:0009263,5
GO:0042026,5
GO:0030148,5
GO:0055072,5
GO:0034629,5
GO:0044879,5
GO:0043457,5
GO:0006333,5
GO:0070814,4
GO:0018063,4
GO:0006414,4
GO:0006015,4
GO:1903475,4
GO:0032259,4
GO:0051292,4
GO:0072344,4
GO:0007118,4
GO:0034389,4
GO:0006163,4
GO:0000710,4
GO:0006817,4
GO:0071951,4
GO:0015937,4
GO:0051598,4
GO:0046854,4
GO:0007032,4
GO:0031936,4
GO:0000086,4
GO:0044805,4
GO:0030242,4
GO:1901800,4
GO:0070682,4
GO:0006497,4
GO:0019379,4
GO:0006106,4
GO:0006360,4
GO:0006428,4
GO:0000186,4
GO:0043618,4
GO:0032979,4
GO:0007094,4
GO:0030970,4
GO:0034551,4
GO:0051131,4
GO:0008643,4
GO:0042908,4
GO:0009113,4
GO:0006078,4
GO:0006556,4
GO:0016558,4
GO:0045721,4
GO:0071255,4
GO:0045332,4
GO:0006874,4
GO:0006897,4
GO:2000251,4
GO:0034755,4
GO:0120009,4
GO:0006616,4
GO:0006098,4
GO:0046855,4
GO:0019264,4
GO:0060631,4
GO:0043044,4
GO:0016584,4
GO:0033615,4
GO:0006606,4
GO:0019441,4
GO:0016226,4
GO:0036003,4
GO:1990116,4
GO:0016485,4
GO:0010498,4
GO:1990683,4
GO:0002098,4
GO:0006597,4
GO:0048278,4
GO:0006888,4
GO:0043547,4
GO:0016192,4
GO:0006336,4
GO:0006541,4
GO:0046514,4
GO:0000470,4
GO:0015914,4
GO:0009249,4
GO:0072671,4
GO:0030036,4
GO:0010697,4
GO:0006409,4
GO:0016578,4
GO:0006612,4
GO:0070816,4
GO:0000463,4
GO:0000372,4
GO:0006890,4
GO:0007017,4
GO:0070086,4
GO:0046323,4
GO:0006303,4
GO:0042744,4
