,0
GO:0045943,9
GO:0034503,8
GO:0007155,8
GO:0070649,8
GO:0043066,8
GO:0042262,8
GO:0006526,8
GO:0006271,8
GO:0034337,8
GO:0006333,8
GO:0046653,8
GO:0000423,8
GO:0033215,8
GO:0009443,8
GO:2000815,8
GO:0034755,8
GO:1903205,8
GO:0010629,8
GO:0008315,8
GO:0046084,8
GO:0044237,8
GO:0006662,8
GO:0043966,8
GO:0006468,8
GO:0006290,8
GO:0043949,8
GO:1902775,7
GO:1903452,7
GO:0032780,7
GO:0000184,7
GO:0072671,7
GO:0042843,7
GO:0090305,7
GO:0019521,7
GO:1902280,7
GO:0007165,7
GO:0070842,7
GO:0009061,7
GO:0032488,7
GO:0016558,7
GO:0007093,7
GO:0007007,7
GO:0051028,7
GO:0005981,7
GO:2000232,7
GO:0006289,7
GO:0009083,7
GO:0016578,7
GO:0046686,7
GO:0006850,7
GO:0050821,7
GO:1901856,7
GO:0034620,7
GO:0051515,7
GO:0006286,7
GO:0042391,7
GO:0045937,7
GO:0006869,7
GO:0035404,7
GO:0070584,7
GO:0000965,7
GO:0034629,7
GO:0031647,7
GO:0043709,7
GO:0045737,7
GO:0007114,7
GO:0071786,7
GO:0007584,7
GO:0000082,7
GO:0050708,7
GO:0051260,7
GO:0017157,7
GO:0002183,7
GO:0006450,7
GO:0000028,7
GO:0030447,7
GO:0006407,7
GO:0034316,7
GO:0016973,7
GO:1902499,7
GO:0061406,7
GO:0010606,7
GO:0046907,7
GO:0071465,7
GO:0006739,7
GO:0045116,7
GO:0042759,7
GO:0043171,7
GO:1905117,7
GO:0045333,7
GO:0046020,7
GO:0015031,7
GO:0097046,7
GO:1904263,7
GO:0006797,7
GO:0051666,7
GO:0006163,7
GO:0006368,7
GO:0016042,7
GO:0030397,7
GO:0006189,7
GO:0051038,7
GO:0035725,6
GO:0006078,6
GO:0019655,6
GO:0018008,6
GO:0030435,6
GO:0007131,6
GO:1902426,6
GO:0034501,6
GO:0006620,6
GO:0043458,6
GO:0006402,6
GO:0043065,6
GO:0042493,6
GO:1901857,6
GO:0006120,6
GO:0045947,6
GO:0035690,6
GO:2000105,6
GO:0038202,6
GO:0010636,6
GO:0006470,6
GO:0090501,6
GO:2001278,6
GO:0019363,6
GO:1900153,6
GO:0006264,6
GO:0010608,6
GO:0010507,6
GO:0036228,6
GO:1900050,6
GO:0006364,6
GO:0017196,6
GO:1903341,6
GO:0071528,6
GO:0006279,6
GO:0006353,6
GO:0036149,6
GO:0002181,6
GO:0006097,6
GO:0006351,6
GO:1904669,6
GO:0034411,6
GO:0044249,6
GO:0043619,6
GO:0080009,6
GO:0000012,6
GO:0007163,6
GO:1905897,6
GO:1901494,6
GO:1904828,6
GO:0007021,6
GO:0000070,6
GO:0006268,6
GO:0010520,6
GO:0045859,6
GO:0044818,6
GO:0006631,6
GO:0016479,6
GO:0031648,6
GO:0006465,6
GO:0006656,6
GO:0006694,6
GO:0071406,6
GO:0007095,6
GO:0034613,6
GO:0016577,6
GO:1904802,6
GO:0016569,6
GO:0070544,6
GO:0030011,6
GO:0046495,6
GO:0006072,6
GO:0044783,6
GO:0031122,6
GO:0090630,6
GO:0034356,6
GO:0006533,6
GO:0030163,6
GO:0002098,6
GO:0000160,6
GO:0071507,6
GO:0006995,6
GO:0031397,6
GO:0006392,6
GO:0000372,6
GO:0045899,6
GO:2000221,6
GO:2000222,6
GO:0006688,6
GO:0106034,6
GO:0006487,6
GO:0007033,6
GO:0032446,6
GO:0046033,6
GO:0031569,6
GO:0040020,6
GO:0098869,6
GO:0006171,6
GO:0007188,6
GO:0071218,6
GO:0045727,6
GO:0044262,6
GO:0019679,6
GO:0006083,6
GO:0045893,6
GO:0042770,6
GO:0009073,6
GO:0035065,6
GO:0006571,6
GO:0044257,6
GO:0061157,6
GO:0061025,6
GO:0070475,6
GO:0006094,6
GO:0032008,6
GO:0006915,6
GO:0006383,6
GO:0000183,6
GO:0061091,6
GO:0008104,6
GO:0019379,6
GO:0006627,6
GO:0022900,6
GO:0015823,6
GO:1903826,6
GO:0055085,6
GO:0032218,6
GO:0061187,6
GO:0071497,6
GO:0007323,6
GO:0006429,6
GO:0106074,6
GO:0022904,6
GO:0006121,6
GO:0045762,6
GO:0043967,6
GO:0046514,6
GO:0006296,6
GO:0034488,6
GO:0043549,6
GO:0000752,6
GO:0015680,6
GO:0019430,6
GO:0030001,6
GO:1900186,6
GO:0061987,6
GO:0001676,6
GO:0006893,6
GO:0080129,6
GO:0015677,6
GO:0006325,6
GO:0010674,6
GO:0035023,6
GO:1904482,6
GO:0006508,6
GO:0000185,6
GO:0001678,6
GO:0000436,6
GO:0043388,6
GO:0090338,6
GO:0051125,6
GO:0030866,6
GO:0042546,6
GO:0001315,6
GO:0006491,6
GO:0042594,6
GO:0048478,6
GO:0019318,6
GO:0006367,6
GO:0042026,6
GO:0072742,6
GO:0044154,6
GO:0006479,6
GO:0009060,6
GO:0006606,6
GO:0006616,6
GO:0034553,6
GO:0000413,6
GO:0006760,6
GO:0070550,6
GO:0060256,6
GO:0034063,6
GO:0006665,6
GO:0072511,6
GO:0007074,6
GO:2000251,6
GO:0043433,6
GO:0045950,6
GO:0030476,6
GO:0097428,6
GO:0034067,6
GO:0045041,6
GO:0051403,6
GO:0006828,6
GO:0007124,6
GO:0090207,5
GO:0015833,5
GO:0006673,5
GO:2000582,5
GO:0008654,5
GO:0043103,5
GO:0071255,5
GO:0051292,5
GO:0006122,5
GO:0071028,5
GO:0006696,5
GO:0018063,5
GO:0006123,5
GO:0031496,5
GO:0002100,5
GO:0006799,5
GO:0000749,5
GO:1990616,5
GO:0046356,5
GO:0051443,5
GO:0009052,5
GO:0006891,5
GO:0070873,5
GO:0006612,5
GO:0034389,5
GO:0032259,5
GO:0034622,5
GO:0006740,5
GO:0031578,5
GO:0051131,5
GO:0032979,5
GO:0061093,5
GO:0030643,5
GO:0045901,5
GO:0006520,5
GO:0051603,5
GO:0070829,5
GO:0032265,5
GO:0018108,5
GO:0006146,5
GO:0042797,5
GO:0030974,5
GO:0051865,5
GO:0032511,5
GO:1905153,5
GO:0015937,5
GO:0010106,5
GO:2001246,5
GO:0032048,5
GO:0055072,5
GO:0033615,5
GO:0051568,5
GO:0034729,5
GO:0002128,5
GO:0106035,5
GO:2001034,5
GO:0030154,5
GO:0000161,5
GO:0031954,5
GO:0023014,5
GO:0007234,5
GO:0045719,5
GO:0019264,5
GO:0006544,5
GO:0071073,5
GO:1901987,5
GO:0071472,5
GO:0016241,5
GO:0061606,5
GO:0018002,5
GO:0019483,5
GO:0070124,5
GO:2000219,5
GO:0015755,5
GO:0008645,5
GO:0008643,5
GO:0007029,5
GO:0045048,5
GO:0000280,5
GO:0006108,5
GO:0006106,5
GO:1904902,5
GO:0006825,5
GO:0031321,5
GO:0032147,5
GO:0044805,5
GO:0009132,5
GO:0010697,5
GO:0090154,5
GO:0009088,5
GO:2001225,5
GO:0001561,5
GO:0009251,5
GO:0006598,5
GO:0045736,5
GO:0030148,5
GO:0010845,5
GO:0071894,5
GO:0006812,5
GO:0120009,5
GO:0042138,5
GO:0015918,5
GO:0051037,5
GO:0030488,5
GO:1903646,5
GO:0090615,5
GO:0008380,5
GO:0000963,5
GO:0000463,5
GO:0007026,5
GO:0007010,5
GO:0000023,5
GO:0042989,5
GO:0044396,5
GO:0051016,5
GO:0043086,5
GO:0019752,5
GO:0006623,5
GO:0071930,5
GO:0072462,5
GO:2000002,5
GO:0006875,5
GO:0000955,5
GO:0048309,5
GO:0006559,5
GO:0032581,5
GO:0008637,5
GO:0097201,5
GO:0046040,5
GO:0032264,5
GO:0019441,5
GO:0016485,5
GO:1900749,5
GO:0015847,5
GO:0006873,5
GO:0016540,5
GO:0010954,5
GO:0009268,5
GO:0006883,5
GO:0019433,5
GO:0071712,5
GO:0000972,5
GO:0006493,5
GO:0016584,5
GO:0032781,5
GO:0006625,5
GO:0016560,5
GO:0045069,5
GO:0042853,5
GO:0042743,5
GO:0015908,5
GO:0043137,5
GO:0051096,5
GO:0090297,5
GO:0009435,5
GO:0006672,5
GO:0017148,5
GO:0006879,5
GO:1900430,5
GO:0006556,5
GO:0031134,5
GO:0006499,5
GO:0006749,5
GO:0018283,5
GO:0006629,5
GO:0000753,5
GO:0000902,5
GO:0006102,5
GO:0006099,5
GO:2001234,5
GO:0046835,5
GO:0016310,5
GO:0006096,5
GO:0010998,5
GO:0044806,5
GO:0070370,5
GO:0051085,5
GO:0009082,5
GO:0043043,5
GO:1903501,5
GO:0051604,5
GO:0043951,5
GO:0030010,5
GO:0051775,5
GO:0001732,5
GO:0042256,5
GO:0042273,5
GO:0034213,5
GO:0032258,5
GO:0007190,5
GO:0000411,5
GO:0110027,5
GO:0019563,5
GO:0000707,5
GO:0002926,5
GO:0045002,5
GO:0010978,5
GO:1990426,5
GO:1905634,5
GO:0042148,5
GO:0030953,5
GO:0031145,5
GO:0120151,5
GO:1905786,5
GO:0031124,5
GO:0097552,5
GO:0006366,5
GO:0034605,5
GO:0000301,5
GO:0051974,5
GO:0035556,5
GO:0009190,5
GO:0070911,5
GO:2000677,5
GO:0042542,5
GO:0006979,5
GO:0000302,5
GO:0070086,5
GO:0031505,5
GO:0051177,5
GO:0042276,5
GO:0070651,5
GO:0006267,5
GO:0006260,5
GO:1901799,5
GO:0071629,5
GO:0001302,5
GO:0043085,5
GO:0060628,5
GO:0061077,5
GO:0090344,5
GO:2000479,5
GO:0001932,5
GO:0000032,5
GO:0043968,5
GO:0000706,5
GO:0019388,5
GO:0031167,5
GO:0016573,5
GO:0032079,5
GO:0006348,5
GO:0043618,5
GO:0000464,5
GO:0030437,5
GO:0016125,5
GO:0007018,5
GO:0045944,5
GO:0006360,5
GO:0006355,5
GO:0032968,5
GO:0006338,5
GO:0006104,5
GO:0090342,5
GO:0006216,5
GO:0006857,5
GO:0007580,5
GO:0071230,5
GO:1903778,5
GO:0016559,5
GO:0090158,5
GO:0007031,5
GO:0007005,5
GO:0070843,5
GO:2000217,5
GO:0034982,5
GO:0000117,5
GO:0006874,5
GO:0019413,5
GO:0090606,5
GO:0006624,5
GO:0120133,5
GO:0010947,5
GO:0042176,5
GO:0071555,5
GO:0000019,5
GO:0015813,5
GO:0009094,5
GO:0007076,5
GO:0051469,5
GO:0071480,5
GO:2001042,5
GO:0001100,5
GO:0010673,5
GO:0043254,5
GO:0044773,5
GO:0006164,5
GO:0042274,5
GO:0060211,5
GO:0061647,5
GO:0031453,5
GO:0015866,5
GO:0007535,5
GO:0097752,5
GO:0032515,5
GO:1904524,5
GO:1990619,5
GO:0060963,5
GO:0046417,5
GO:0000272,5
GO:0070933,5
GO:0031106,5
GO:0034968,5
GO:0051598,5
GO:0007030,5
GO:0070193,5
GO:0006413,5
GO:0006882,5
GO:0006892,5
GO:0006808,5
GO:2000766,5
GO:0018216,5
GO:0070932,5
GO:0010995,5
GO:0000472,5
GO:0061410,5
GO:0034496,5
GO:0006269,5
GO:0071071,5
GO:0045104,4
GO:0006314,4
GO:1903508,4
GO:0009062,4
GO:0060236,4
GO:0070152,4
GO:1990414,4
GO:0061817,4
GO:0035977,4
GO:0006359,4
GO:0006428,4
GO:0046839,4
GO:0006817,4
GO:0060304,4
GO:0061739,4
GO:0006152,4
GO:0045332,4
GO:0006218,4
GO:0046135,4
GO:0046688,4
GO:0034498,4
GO:0035672,4
GO:0035246,4
GO:1905037,4
GO:0006826,4
GO:0006401,4
GO:0001510,4
GO:1901684,4
GO:0061426,4
GO:0016226,4
GO:0006490,4
GO:0080058,4
GO:0060733,4
GO:0006906,4
GO:0043547,4
GO:0071596,4
GO:0070979,4
GO:1900027,4
GO:0043577,4
GO:0006111,4
GO:0033194,4
GO:0000147,4
GO:0007121,4
GO:0097080,4
GO:0000736,4
GO:1900062,4
GO:0006430,4
GO:0070154,4
GO:0000735,4
GO:0035268,4
GO:0046354,4
GO:0045016,4
GO:0015693,4
GO:0006275,4
GO:0030100,4
GO:0046656,4
GO:0015802,4
GO:0010499,4
GO:0051017,4
GO:0006469,4
GO:0030036,4
GO:0001933,4
GO:0006068,4
GO:0030908,4
GO:0071630,4
GO:0010992,4
GO:0006661,4
GO:0006574,4
GO:0006901,4
GO:0007118,4
GO:0018027,4
GO:1904262,4
GO:0009847,4
GO:0051639,4
GO:0071459,4
GO:0000320,4
GO:0015801,4
GO:0071266,4
GO:0006272,4
GO:0048278,4
GO:0000097,4
GO:0000103,4
GO:0070682,4
GO:1901800,4
GO:0009448,4
GO:0035376,4
GO:0007096,4
GO:0006020,4
GO:0019346,4
GO:0008202,4
GO:0110121,4
GO:0051173,4
GO:0015809,4
GO:1904668,4
GO:0052746,4
GO:0006021,4
GO:0032786,4
GO:0071441,4
GO:1902906,4
GO:0060303,4
GO:0008615,4
GO:0043044,4
GO:0042766,4
GO:1990264,4
GO:0007129,4
GO:0034728,4
GO:1990545,4
GO:0098530,4
GO:1990166,4
GO:0035335,4
GO:0006363,4
GO:0000188,4
GO:0005991,4
GO:0006015,4
GO:0045732,4
GO:0010525,4
GO:0000747,4
GO:0070198,4
GO:0030836,4
GO:0008295,4
GO:0006597,4
GO:0097043,4
GO:0006596,4
GO:0006085,4
GO:1990683,4
GO:1900049,4
GO:0030837,4
GO:0016571,4
GO:0071970,4
GO:0000281,4
GO:0016925,4
GO:0007119,4
GO:0009408,4
GO:0051014,4
GO:0070262,4
GO:2000805,4
GO:0006311,4
GO:1901900,4
GO:0000956,4
GO:0061425,4
GO:0043101,4
GO:0097466,4
GO:0006337,4
GO:0033169,4
GO:0034514,4
GO:1903827,4
GO:0060988,4
GO:0071931,4
GO:0097320,4
GO:0097502,4
GO:0018230,4
GO:0032874,4
GO:0031081,4
GO:0100002,4
GO:0098781,4
GO:1902616,4
GO:0016043,4
GO:0001111,4
GO:0046822,4
GO:0000435,4
GO:0051123,4
GO:0031098,4
GO:0032878,4
GO:0071166,4
GO:0019216,4
GO:2000679,4
GO:0070941,4
GO:0001207,4
GO:0045010,4
GO:2000769,4
GO:0033235,4
GO:0006783,4
GO:1901901,4
GO:0055092,4
GO:0006555,4
GO:0006354,4
GO:1902559,4
GO:0045772,4
GO:0000022,4
GO:0009396,4
GO:0031460,4
GO:0072530,4
GO:0015861,4
GO:0044211,4
GO:0099022,4
GO:0010621,4
GO:0044209,4
GO:0006855,4
GO:0006168,4
GO:0042908,4
GO:0009168,4
GO:1903710,4
GO:0006188,4
GO:0033157,4
GO:0006167,4
GO:0045185,4
GO:0042761,4
GO:0003333,4
GO:0006564,4
GO:0071481,4
GO:0010971,4
GO:0030433,4
GO:0000105,4
GO:0006730,4
GO:0009113,4
GO:0035999,4
GO:0000947,4
GO:0043624,4
GO:0034497,4
GO:0036474,4
GO:0071361,4
GO:0015803,4
GO:0000186,4
GO:0030242,4
GO:0071806,4
GO:0006342,4
GO:0042994,4
GO:0006101,4
GO:0032447,4
GO:0090153,4
GO:0031292,4
GO:0031860,4
GO:0045132,4
GO:0070481,4
GO:0031509,4
GO:0006914,4
GO:0001320,4
GO:0036091,4
GO:0051091,4
GO:0016242,4
GO:0044387,4
GO:1905356,4
GO:0010607,4
GO:0043248,4
GO:0034221,4
GO:0000086,4
GO:0071400,4
GO:0006464,4
GO:0000096,4
GO:0016070,4
GO:0006418,4
GO:0006436,4
GO:0070183,4
GO:0000743,4
GO:0006887,4
GO:0006897,4
GO:0035621,4
GO:0015691,4
GO:0035434,4
GO:0070574,4
GO:0005979,4
GO:0006569,4
GO:0019933,4
GO:0009249,4
GO:0002092,4
GO:0010696,4
GO:0007052,4
GO:0006744,4
GO:0017183,4
GO:0030473,4
GO:0046889,4
GO:0090155,4
GO:0009058,4
GO:0006012,4
GO:1903833,4
GO:0043161,4
GO:0008360,4
GO:0016024,4
GO:0006888,4
GO:2001295,4
GO:0035066,4
GO:0045324,4
GO:0045945,4
GO:0000462,4
GO:0006486,4
GO:0042144,4
GO:0042744,4
GO:0007186,4
GO:0008152,4
GO:0000266,4
GO:0005986,4
GO:0030388,4
GO:0000422,4
GO:0008156,4
GO:0031582,4
GO:0001080,4
GO:0007189,4
GO:0010255,4
GO:0009731,4
GO:0043457,4
GO:0000725,4
GO:0006357,4
GO:0000083,4
GO:2000042,4
GO:0036297,4
GO:0035524,4
GO:0006811,4
GO:0010603,4
GO:2000480,4
GO:0034517,4
GO:2000156,4
GO:0006801,4
GO:0007049,4
GO:0007264,4
GO:0007265,4
GO:0051301,4
GO:0030174,4
GO:0031938,4
GO:0033314,4
GO:0032508,4
GO:1990986,4
GO:0006986,4
GO:0000447,4
GO:0042981,4
GO:0016233,4
GO:0000709,4
GO:0000730,4
GO:0006302,4
GO:0006312,4
GO:0010212,4
GO:0030491,4
GO:0000727,4
GO:0031571,4
GO:0001324,4
GO:0051039,4
GO:0016575,4
GO:0061587,4
GO:0000027,4
GO:0006412,4
