,0
GO:0051898,7
GO:0040014,7
GO:0003007,7
GO:0006357,7
GO:0030968,7
GO:0007411,7
GO:0006355,7
GO:0016192,7
GO:0043066,6
GO:0007424,6
GO:0042593,6
GO:0055114,6
GO:0006979,6
GO:0048010,6
GO:0007614,6
GO:0061723,6
GO:0000122,6
GO:0006914,6
GO:0034599,6
GO:0032007,6
GO:1904801,6
GO:0007455,6
GO:0006986,6
GO:0042632,6
GO:0043065,6
GO:0046620,6
GO:0048666,6
GO:0010821,5
GO:0040018,5
GO:0055088,5
GO:0007160,5
GO:0008360,5
GO:0030307,5
GO:0045944,5
GO:0009408,5
GO:0001666,5
GO:0006750,5
GO:0016567,5
GO:0007210,5
GO:0045879,5
GO:0032869,5
GO:0090141,5
GO:0048749,5
GO:0000266,5
GO:1900407,5
GO:0010506,5
GO:1902600,5
GO:0034976,5
GO:0030536,5
GO:0042594,4
GO:0048813,4
GO:0048149,4
GO:0045454,4
GO:0000165,4
GO:0061077,4
GO:0042060,4
GO:0007616,4
GO:0006727,4
GO:0001745,4
GO:0030707,4
GO:0010629,4
GO:0008285,4
GO:0016236,4
GO:0050829,4
GO:0030308,4
GO:0000422,4
GO:0045572,4
GO:0010468,4
GO:0006511,4
GO:0008344,4
GO:0006468,4
GO:0046621,4
GO:0030509,4
GO:0045892,4
GO:0038001,4
GO:2000253,4
GO:0006726,4
GO:0042127,4
GO:0019933,4
GO:0048675,4
GO:0045464,4
GO:0042078,4
GO:0007298,4
GO:0042595,4
GO:2000331,3
GO:0060395,3
GO:0000302,3
GO:0016575,3
GO:0050832,3
GO:0044719,3
GO:0002052,3
GO:0007399,3
GO:0008049,3
GO:0035212,3
GO:0001558,3
GO:2000377,3
GO:0007391,3
GO:0007608,3
GO:0035556,3
GO:1904515,3
GO:0006342,3
GO:0010507,3
GO:0045792,3
GO:0016458,3
GO:0036335,3
GO:0007220,3
GO:0008284,3
GO:0035542,3
GO:0034614,3
GO:0014065,3
GO:0035206,3
GO:1903688,3
GO:0007155,3
GO:0042542,3
GO:0042744,3
GO:0048167,3
GO:0007476,3
GO:0051726,3
GO:0014068,3
GO:0006897,3
GO:0007409,3
GO:0006886,3
GO:0030154,3
GO:0035069,3
GO:0007283,3
GO:0048542,3
GO:0008340,3
GO:0046627,3
GO:0045475,3
GO:0010508,3
GO:0035096,3
GO:0016319,3
GO:0031396,3
GO:0048072,2
GO:0046622,2
GO:0046907,2
GO:0014067,2
GO:0050803,2
GO:0009267,2
GO:0071333,2
GO:0006955,2
GO:0034058,2
GO:0008333,2
GO:1904262,2
GO:0007254,2
GO:0008286,2
GO:0048803,2
GO:0070328,2
GO:0007165,2
GO:0045893,2
GO:0042981,2
GO:0007417,2
GO:0009617,2
GO:0030718,2
GO:0010628,2
GO:0045793,2
GO:0035264,2
GO:0006470,2
GO:0008355,2
GO:0042026,2
GO:0033500,2
GO:0036099,1
GO:0010884,1
GO:0042742,1
GO:0048477,1
GO:0032924,1
GO:0007443,1
GO:0007281,1
GO:0007186,1
GO:0006629,1
GO:0007623,1
GO:0045214,1
GO:0007005,1
GO:0007568,1
GO:0045880,1
GO:0030431,1
GO:0000045,1
GO:0007259,0
GO:0045887,0
