,0
GO:0046500,9
GO:0007283,9
GO:0043066,9
GO:0046653,9
GO:0045823,9
GO:0006072,8
GO:0008055,8
GO:0019222,8
GO:0055085,8
GO:0055115,8
GO:0010001,8
GO:0045727,8
GO:0031507,8
GO:0008306,8
GO:0043069,8
GO:0006970,8
GO:0008284,8
GO:0030178,8
GO:0070059,8
GO:0032880,8
GO:0008053,8
GO:0120162,7
GO:0042386,7
GO:0006739,7
GO:0007033,7
GO:0032436,7
GO:0030488,7
GO:0008348,7
GO:0040040,7
GO:0071222,7
GO:0016477,7
GO:0048067,7
GO:0071481,7
GO:0007617,7
GO:0045088,7
GO:0048169,7
GO:0048803,7
GO:0106046,7
GO:1904457,7
GO:0036529,7
GO:0070475,7
GO:0045927,7
GO:0045333,7
GO:0007516,7
GO:2000134,7
GO:0007218,7
GO:0035627,7
GO:0035177,7
GO:0060074,7
GO:0046328,7
GO:0000077,7
GO:0071158,7
GO:0051056,7
GO:0007093,7
GO:1904504,7
GO:0042325,7
GO:0042994,7
GO:0045176,7
GO:0048680,7
GO:0061709,7
GO:0001306,7
GO:0002052,7
GO:0007112,7
GO:0006120,7
GO:0070932,7
GO:0035072,7
GO:0006281,7
GO:0042127,7
GO:0007350,7
GO:0006879,7
GO:0048489,7
GO:0003015,7
GO:0070328,7
GO:0007561,7
GO:0019991,7
GO:0030866,7
GO:0045938,7
GO:0043524,7
GO:0007005,7
GO:0007265,7
GO:0016360,7
GO:0061025,7
GO:0007187,7
GO:0048639,7
GO:0050769,7
GO:0035435,7
GO:0090140,7
GO:0035220,7
GO:0043966,7
GO:0042542,7
GO:0035206,7
GO:1902956,7
GO:0010043,7
GO:0072175,7
GO:0008637,7
GO:0007602,7
GO:0042052,6
GO:0009047,6
GO:0006144,6
GO:0035076,6
GO:0007626,6
GO:0006568,6
GO:0007411,6
GO:0031453,6
GO:0019343,6
GO:0045022,6
GO:0032869,6
GO:0030513,6
GO:0043065,6
GO:0008057,6
GO:0045944,6
GO:0060857,6
GO:0006030,6
GO:0007189,6
GO:0034613,6
GO:0035053,6
GO:0019240,6
GO:0006469,6
GO:0030307,6
GO:0032868,6
GO:0031935,6
GO:0045947,6
GO:0070983,6
GO:0046907,6
GO:0045931,6
GO:0000122,6
GO:0048736,6
GO:0016322,6
GO:0006342,6
GO:0042691,6
