,0
GO:0048661,9
GO:0071481,8
GO:0007420,8
GO:0045907,8
GO:0006281,7
GO:0008283,7
GO:0071456,7
GO:0016477,7
GO:0030879,7
GO:0051301,7
GO:0045792,7
GO:0007204,7
GO:0071347,6
GO:0030335,6
GO:0042531,6
GO:1901215,6
GO:0006629,6
GO:0006811,6
GO:0008630,6
GO:0045444,6
GO:0001783,6
GO:0070373,6
GO:0046426,6
GO:0043085,6
GO:0008637,6
GO:0042060,6
GO:0031397,6
GO:0009650,6
GO:0006977,6
GO:0071356,6
GO:0007507,6
GO:0040014,6
GO:0051017,6
GO:0001932,6
GO:0006470,6
GO:0000209,6
GO:0045821,6
GO:1904646,6
GO:0046627,6
GO:0006914,6
GO:0006298,6
GO:0033344,5
GO:0001568,5
GO:0032436,5
GO:2000773,5
GO:0007179,5
GO:0030512,5
GO:0007569,5
GO:1903799,5
GO:0006978,5
GO:0001937,5
GO:0006954,5
GO:2001235,5
GO:0045777,5
GO:0048666,5
GO:0031929,5
GO:0071560,5
GO:0045471,5
GO:0009411,5
GO:0006487,5
GO:1990830,5
GO:0006325,5
GO:0021984,5
GO:0014911,5
GO:0032355,5
GO:0040018,5
GO:0040015,5
GO:0006296,5
GO:0042593,5
GO:0006366,5
GO:0050821,5
GO:0006284,5
GO:0071407,5
GO:0045600,5
GO:0009725,5
GO:0035690,5
GO:0007059,5
GO:0001996,5
GO:0010506,5
GO:0007050,5
GO:0048511,5
GO:0008285,5
GO:0045944,5
GO:0042981,5
GO:0006606,5
GO:0032007,5
GO:0097192,5
GO:2001244,5
GO:0050769,4
GO:0001836,4
GO:0034644,4
GO:0050872,4
GO:0018105,4
GO:0050729,4
GO:2001237,4
GO:0008286,4
GO:0031175,4
GO:0034612,4
GO:0001934,4
GO:0006302,4
GO:0016310,4
GO:0071363,4
GO:0007275,4
GO:0007005,4
GO:0010907,4
GO:0034504,4
GO:0048146,4
GO:0030308,4
GO:0071222,4
GO:0034599,4
GO:0035264,4
GO:0070374,4
GO:0043065,4
GO:0032869,4
GO:0060124,4
GO:0031667,4
GO:0090201,4
GO:0009791,4
GO:0006879,4
GO:0046777,4
GO:0030334,4
GO:0006468,4
GO:0008543,4
GO:0032868,4
GO:0051402,4
GO:0033683,4
GO:0043410,4
GO:2000772,4
GO:0008284,4
GO:0043491,4
GO:0000077,4
GO:0006301,4
GO:0019430,4
GO:0045599,4
GO:0043161,4
GO:0032922,4
GO:0051092,4
GO:0043524,4
GO:0006355,4
GO:0050728,4
GO:0000422,4
GO:0007165,4
GO:0048714,4
GO:0007605,4
GO:0097190,4
GO:0045766,4
GO:0010765,4
GO:0035973,4
GO:0006631,4
GO:0006357,4
GO:0030252,4
GO:0031848,4
GO:0043523,4
GO:0010165,4
GO:0006919,4
GO:0006511,4
GO:0008584,4
GO:0051726,4
GO:0006094,4
GO:0042632,4
GO:0006006,4
GO:0030154,4
GO:0120162,4
GO:0090263,4
GO:0010332,4
GO:0043123,3
GO:0007626,3
GO:0002053,3
GO:0051896,3
GO:0006998,3
GO:0071549,3
GO:0000724,3
GO:0071333,3
GO:0007200,3
GO:0031532,3
GO:0001501,3
GO:0001649,3
GO:0055085,3
GO:0006417,3
GO:0014065,3
GO:0007283,3
GO:0045893,3
GO:0048009,3
GO:0051000,3
GO:0046326,3
GO:0002376,3
GO:0050679,3
GO:0007186,3
GO:0000187,3
GO:0048147,3
GO:0030324,3
GO:0001701,3
GO:0032091,3
GO:1901216,3
GO:0051276,3
GO:0033138,3
GO:0009636,3
GO:0042127,3
GO:0007281,3
GO:0007595,3
GO:1904706,3
GO:0071850,3
GO:0043066,3
GO:0071479,3
GO:0000086,3
GO:0072332,3
GO:0042771,3
GO:0010468,3
GO:0033137,3
GO:0055114,3
GO:0002931,3
GO:0001938,3
GO:0006289,3
GO:0032094,3
GO:0006979,3
GO:0016567,3
GO:0043525,3
GO:0008203,2
GO:0042744,2
GO:0014068,2
GO:0006816,2
GO:0070836,2
GO:0048662,2
GO:0019229,2
GO:0007346,2
GO:0010976,2
GO:0006508,2
GO:0030330,2
GO:0042752,2
GO:0007399,2
GO:0007623,2
GO:0006476,2
GO:0000122,2
GO:0031648,2
GO:0070932,2
GO:0001525,2
GO:1902895,2
GO:0010628,2
GO:0070059,2
GO:0045892,2
GO:0001974,2
GO:0050731,2
GO:0000723,2
GO:0006303,2
GO:0045725,2
GO:0043536,2
GO:0043627,2
GO:0071480,2
GO:0007568,2
GO:0043388,2
GO:0006310,2
GO:0060548,2
GO:0042493,2
GO:0008340,2
GO:0009887,2
GO:0006749,2
GO:0010212,2
GO:0060396,2
GO:2000377,2
GO:0045840,2
GO:0001933,2
GO:0051897,2
GO:0032204,2
GO:0031647,2
GO:0006997,2
GO:0035556,2
GO:2000378,2
GO:0003007,2
GO:0005975,2
GO:0051898,2
GO:0001822,2
GO:0008544,2
GO:0045669,2
GO:0001666,2
GO:0061051,2
GO:0071158,1
GO:0031398,1
GO:0010507,1
GO:0007189,1
GO:0033209,1
GO:0009617,1
GO:0071260,1
GO:0006915,1
GO:0001541,1
GO:0001889,1
GO:0045429,1
GO:0090399,1
GO:0007173,1
GO:0006974,1
GO:0042756,1
GO:0034613,0
GO:0007049,0
GO:0010629,0
