,0
GO:1901984,9
GO:0045862,9
GO:0048705,9
GO:0032430,9
GO:0060766,9
GO:0061000,9
GO:0060314,9
GO:1901030,9
GO:0045945,9
GO:0006978,9
GO:0043123,9
GO:0003214,9
GO:0061351,9
GO:0043410,9
GO:1903799,8
GO:1904754,8
GO:0051974,8
GO:0034605,8
GO:0046325,8
GO:0071864,8
GO:0008156,8
GO:0048646,8
GO:0070302,8
GO:0061402,8
GO:0045666,8
GO:0008344,8
GO:1901355,8
GO:0090278,8
GO:1990258,8
GO:0055093,8
GO:1900182,8
GO:0090335,8
GO:0021983,8
GO:0001973,8
GO:0019543,8
GO:0007405,8
GO:0051574,8
GO:0033147,8
GO:0042532,8
GO:0060056,8
GO:0070836,8
GO:1903609,8
GO:0001892,8
GO:0001302,8
GO:2000377,8
GO:0006362,8
GO:1901990,8
GO:0009416,8
GO:0006270,8
GO:0046010,8
GO:0046651,8
GO:0007631,8
GO:0010613,8
GO:0051446,8
GO:0002092,8
GO:0071363,8
GO:0034504,8
GO:0003085,8
GO:0032204,8
GO:2000808,8
GO:0010524,8
GO:0038166,8
GO:0006109,8
GO:0071880,8
GO:0070257,8
GO:0070885,8
GO:0007204,8
GO:0014070,8
GO:0051549,8
GO:0097194,8
GO:0106016,8
GO:0021537,8
GO:0008361,8
GO:0006812,8
GO:0006606,8
GO:0060395,7
GO:0050732,7
GO:0060426,7
GO:0060736,7
GO:2000060,7
GO:0042474,7
GO:0061051,7
GO:0007268,7
GO:0046722,7
GO:0001660,7
GO:0043567,7
GO:0032355,7
GO:0002023,7
GO:0008544,7
GO:0070886,7
GO:0019883,7
GO:0048298,7
GO:0030194,7
GO:0090343,7
GO:0034613,7
GO:0032757,7
GO:2000114,7
GO:0006112,7
GO:0046676,7
GO:0071902,7
GO:0060047,7
GO:0061739,7
GO:0097242,7
GO:0075044,7
GO:0051054,7
GO:0038083,7
GO:0021549,7
GO:0019530,7
GO:0006811,7
GO:0050968,7
GO:0040015,7
GO:0060355,7
GO:0051946,7
GO:0042632,7
GO:0070345,7
GO:0042310,7
GO:0033138,7
GO:0030514,7
GO:0010656,7
GO:0009967,7
GO:0000188,7
GO:0009650,7
GO:0000302,7
GO:0034501,7
GO:0071158,7
GO:0051865,7
GO:2000678,7
GO:0031340,7
GO:0071260,7
GO:1903071,7
GO:0010734,7
GO:0006397,7
GO:0006527,7
GO:2000781,7
GO:0071156,7
GO:0060218,7
GO:0042274,7
GO:0071322,7
GO:0001306,7
GO:0071230,7
GO:0006098,7
GO:0070102,7
GO:0032964,7
GO:0045786,7
GO:0045669,7
GO:0010759,7
GO:0010942,7
GO:0007095,7
GO:0071168,7
GO:1901082,7
GO:0014806,7
GO:0009790,7
GO:2000230,7
GO:1905461,7
GO:0016055,7
GO:0019395,7
GO:1904504,7
GO:0019805,7
GO:0019244,7
GO:0007625,7
GO:0071280,7
GO:0007612,7
GO:0006890,7
GO:0044027,7
GO:0030832,7
GO:0006412,7
GO:0006207,7
GO:0048747,7
GO:0006111,7
GO:0006801,7
GO:0010881,7
GO:0060125,7
GO:0048738,7
GO:0046856,7
GO:0033555,7
GO:2000111,7
GO:0046324,7
GO:0097755,7
GO:0045901,7
GO:0043280,7
GO:0042743,7
GO:0032071,7
GO:0014858,7
GO:0001516,7
GO:0048148,7
GO:0040009,7
GO:0018424,7
GO:0050778,7
GO:0046716,7
GO:1900223,7
GO:0045776,7
GO:1903704,7
GO:2000269,7
GO:0006469,7
GO:0048539,7
GO:0007406,7
GO:0007369,7
GO:0000733,7
GO:1903078,7
GO:0070534,7
GO:0031069,7
GO:0035509,7
GO:0061847,7
GO:0035988,7
GO:0036297,7
GO:1904431,7
GO:0060074,7
GO:0097202,7
GO:0001736,7
GO:0048485,7
GO:0090209,7
GO:0042416,7
GO:0090207,7
GO:0010592,7
GO:0051651,7
GO:0033700,7
GO:0032489,7
GO:0007616,7
GO:0060326,7
GO:0043627,7
GO:1904058,7
GO:0006954,7
GO:0002001,7
GO:0071233,7
GO:0003417,7
GO:0045087,7
GO:1902808,7
GO:0061436,7
GO:0051298,7
GO:0033209,7
GO:0070242,7
GO:0032091,7
GO:0046777,7
GO:0042307,7
GO:0060137,7
GO:1902445,7
GO:0008283,7
GO:0043524,7
GO:0007059,7
GO:0006808,7
GO:0045944,7
GO:0032210,7
GO:0009566,7
GO:0032212,7
GO:0002358,7
GO:0007191,7
GO:0048599,7
GO:0007072,6
GO:0042531,6
GO:0000209,6
GO:0051281,6
GO:1901329,6
