,0
GO:0007165,9
GO:0050830,8
GO:0015986,8
GO:0006633,8
GO:0006412,8
GO:0007281,8
GO:0007635,7
GO:0007268,7
GO:0008355,7
GO:0055114,7
GO:0006281,7
GO:0050829,7
GO:0043161,7
GO:0006935,7
GO:0008340,7
GO:0006120,7
GO:0040040,7
GO:0015031,7
GO:0040014,6
GO:0007005,6
GO:0006413,6
GO:0010468,6
GO:0016579,6
GO:0018108,6
GO:0036498,6
GO:0006457,6
GO:0043065,6
GO:0034220,6
GO:0030150,6
GO:0006260,6
GO:0006096,6
GO:0046662,6
GO:0045087,6
GO:0035556,6
GO:0007210,6
GO:0006631,6
GO:0006886,5
GO:0042048,5
GO:0006122,5
GO:0000122,5
GO:0000003,5
GO:0060271,5
GO:0043051,5
GO:0006972,5
GO:0009792,5
GO:0061066,5
GO:0001666,5
GO:0030154,5
GO:0007049,5
GO:0018105,5
GO:0007186,5
GO:0006915,5
GO:0045944,5
GO:0006629,5
GO:0006355,5
GO:0030536,5
GO:0061065,5
GO:0006811,5
GO:0007275,5
GO:0042659,5
GO:1902075,5
GO:0007179,5
GO:1902600,5
GO:0010286,4
GO:0051321,4
GO:0005975,4
GO:0032259,4
GO:0009408,4
GO:0040011,4
GO:0008104,4
GO:1905515,4
GO:0040010,4
GO:0006396,4
GO:0007399,4
GO:0040017,4
GO:0016567,4
GO:0006417,4
GO:0110039,4
GO:0040024,4
GO:0040012,4
GO:0055085,4
GO:0040028,4
GO:0040034,4
GO:0006665,4
GO:0016310,4
GO:0006974,4
GO:0001708,4
GO:0040026,4
GO:0030968,4
GO:0000398,4
GO:0006397,4
GO:0040027,4
GO:0043052,3
GO:0006914,3
GO:0006979,3
GO:0008582,3
GO:0043053,3
GO:0006325,3
GO:0006470,3
GO:0006123,3
GO:0016192,3
GO:0008286,3
GO:0002119,3
GO:0045138,3
GO:0000045,3
GO:0040018,3
GO:0006508,3
GO:0018991,3
GO:0010629,3
GO:1903998,3
GO:0051301,3
GO:0018996,3
GO:0031647,3
GO:0040025,2
GO:0042776,2
GO:0006511,2
GO:0060290,2
GO:0035335,2
GO:0030334,2
GO:0007188,2
GO:0006897,2
GO:0048477,2
GO:0008406,2
GO:0006468,1
GO:0006418,1
GO:0010628,1
GO:0006357,1
GO:0006099,0
GO:0030421,0
