,0
GO:0016573,9
GO:0007097,9
GO:0006256,9
GO:0007611,9
GO:0006098,9
GO:0008088,9
GO:0061433,9
GO:0007005,9
GO:0008610,8
GO:0006002,8
GO:0033692,8
GO:0031032,8
GO:0008361,8
GO:0006805,8
GO:1904668,8
GO:0060279,8
GO:0030509,8
GO:0045860,8
GO:0034497,8
GO:0044237,8
GO:0048489,8
GO:0001732,8
GO:0030513,8
GO:0043328,8
GO:1904333,8
GO:0034727,8
GO:0006906,8
GO:0030431,8
GO:0008333,8
GO:0032077,8
GO:0035262,8
GO:0006744,8
GO:0006972,8
GO:1904068,8
GO:0006412,8
GO:0009081,8
GO:0031647,8
GO:0006420,8
GO:0046716,8
GO:0050807,8
GO:0032781,8
GO:0006259,8
GO:0098921,8
GO:0046339,8
GO:0035966,8
GO:0009786,8
GO:0007210,8
GO:1905515,8
GO:0007076,8
GO:0018283,7
GO:0006360,7
GO:0000226,7
GO:0007219,7
GO:0034976,7
GO:0035350,7
GO:0043039,7
GO:0035148,7
GO:0046627,7
GO:0050909,7
GO:0015909,7
GO:0006749,7
GO:0060290,7
GO:0006879,7
GO:0018345,7
GO:0050893,7
GO:0007276,7
GO:0000470,7
GO:0006739,7
GO:0043928,7
GO:0034620,7
GO:0006468,7
GO:0010862,7
GO:0002188,7
GO:0008285,7
GO:0033563,7
GO:0015867,7
GO:0036498,7
GO:0032801,7
GO:1904747,7
GO:0030154,7
GO:0009408,7
GO:0009593,7
GO:0040018,7
GO:0090326,7
GO:0007018,7
GO:0030030,7
GO:0016075,7
GO:0071028,7
GO:0006413,7
GO:0051343,7
GO:0030522,7
GO:0040008,7
GO:1900426,7
GO:1905909,7
GO:0010888,7
GO:1905910,7
GO:0008306,7
GO:0007267,7
GO:0008202,7
GO:0045773,7
GO:1905868,7
GO:0006635,7
GO:0060078,7
GO:0030308,7
GO:0007173,7
GO:0098971,7
GO:1905278,7
GO:0018401,7
GO:0048013,7
GO:0070584,7
GO:0006479,7
GO:1990440,7
GO:0090038,7
GO:0032223,7
GO:1900369,7
GO:1902474,7
GO:0006865,7
GO:0006491,7
GO:0033316,7
GO:0007369,7
GO:0046685,7
GO:0001507,7
GO:0042274,7
GO:0030490,7
GO:0006272,7
GO:0032534,7
GO:0048546,7
GO:0060071,7
GO:0043420,7
GO:0009099,7
GO:0009098,7
GO:1903506,7
GO:0070734,7
GO:0097120,7
GO:0006559,7
GO:0070814,7
GO:0006679,7
GO:0048337,7
GO:0006884,7
GO:0007498,7
GO:0007091,7
GO:0000022,7
GO:0043248,7
GO:0015819,7
GO:0040036,7
GO:0048812,7
GO:0006885,7
GO:0030719,7
GO:0071689,7
GO:1904951,7
GO:0055002,7
GO:1905941,7
GO:0090169,7
GO:0098719,7
GO:0008356,7
GO:0006869,7
GO:0048599,7
GO:0048644,7
GO:0006267,7
GO:0018342,7
GO:1905905,7
GO:0006429,7
GO:0031081,7
GO:0042744,7
GO:0098869,7
GO:0090387,7
GO:0030950,7
GO:0042692,7
GO:0040013,7
GO:1990504,7
GO:0045933,7
GO:0035418,7
GO:0035249,7
GO:0050806,7
GO:0006435,7
GO:0034606,7
GO:0007199,7
GO:0016267,7
GO:0007131,7
GO:1903744,7
