,0
GO:0008150,10
GO:0051726,9
GO:0032511,9
GO:0006457,8
GO:0006623,7
GO:0032543,7
GO:0006744,7
GO:0006897,7
GO:0005975,7
GO:0006096,7
GO:0006412,7
GO:0008654,7
GO:0046856,7
GO:0007049,7
GO:0000028,7
GO:0042254,7
GO:0016575,6
GO:0000209,6
GO:0007131,6
GO:0032258,6
GO:0006508,6
GO:0006325,6
GO:0000196,6
GO:0007034,6
GO:0006417,6
GO:0061408,6
GO:0071555,6
GO:0008361,6
GO:0010255,6
GO:0030437,6
GO:0018105,6
GO:0031939,6
GO:0000002,6
GO:0006348,6
GO:0000462,6
GO:0006888,6
GO:0006189,6
GO:0000079,6
GO:0006357,6
GO:0032508,6
GO:0016567,6
GO:0042147,6
GO:0045454,6
GO:0006486,6
GO:0000011,6
GO:0008033,6
GO:0006974,6
GO:0008152,6
GO:0015986,6
GO:0055085,5
GO:0032147,5
GO:0002181,5
GO:0006890,5
GO:0016226,5
GO:0051017,5
GO:0006368,5
GO:0051321,5
GO:0007015,5
GO:0051568,5
GO:0016192,5
GO:0007035,5
GO:0009086,5
GO:0015918,5
GO:0000045,5
GO:0006869,5
GO:0032979,5
GO:0002098,5
GO:0030435,5
GO:0035066,5
GO:0006413,5
GO:0006865,5
GO:0042744,5
GO:0006629,5
GO:0031505,5
GO:0090305,5
GO:0042144,5
GO:0045944,5
GO:0006355,5
GO:0006986,5
GO:0007005,5
GO:0000122,5
GO:0006260,5
GO:0051301,5
GO:0016573,5
GO:0006338,5
GO:0006915,5
GO:0007059,5
GO:0006310,5
GO:0007165,5
GO:0006336,4
GO:0016560,4
GO:0016236,4
GO:0006094,4
GO:0000422,4
GO:0045899,4
GO:0006397,4
GO:0000729,4
GO:0000723,4
GO:0034599,4
GO:0035269,4
GO:0006470,4
GO:0051666,4
GO:1902600,4
GO:0015867,4
GO:0016579,4
GO:0046855,4
GO:0016126,4
GO:0006906,4
GO:0006515,4
GO:0006298,4
GO:0044805,4
GO:0006487,4
GO:0000184,4
GO:0007064,4
GO:0000083,4
GO:0018107,4
GO:0015031,4
GO:0045116,4
GO:0006414,4
GO:0006879,4
GO:0010507,4
GO:0046513,4
GO:0006506,4
GO:0030466,4
GO:0006303,4
GO:0007124,4
GO:0006364,4
GO:0009060,4
GO:0006099,4
GO:0006730,4
GO:0010737,4
GO:0034497,4
GO:0042273,4
GO:0000724,4
GO:0006289,4
GO:0000722,4
GO:0034551,4
GO:0030242,4
GO:0032880,4
GO:0043085,3
GO:0016310,3
GO:0046854,3
GO:0006102,3
GO:0001302,3
GO:0000027,3
GO:0006468,3
GO:0007265,3
GO:0006501,3
GO:0006914,3
GO:0030010,3
GO:0006122,3
GO:0030163,3
GO:0000183,3
GO:0055114,3
GO:0001403,3
GO:0035556,3
GO:0006342,3
GO:0006281,3
GO:0000372,3
GO:0006511,3
GO:0006886,3
GO:0032968,3
GO:0007031,2
GO:0032259,2
GO:0006811,2
GO:0046777,2
GO:0016558,2
GO:0045324,2
GO:0008652,2
GO:0006164,2
GO:0006887,2
GO:0061709,2
GO:0043248,2
GO:0043161,2
GO:0000077,1
GO:0034727,1
GO:0030433,1
