,0
GO:0015833,10
GO:0043570,9
GO:0008298,9
GO:0031098,9
GO:0000920,9
GO:2001209,9
GO:1902616,9
GO:0106035,9
GO:0001403,9
GO:0043970,9
GO:0015866,9
GO:1900430,9
GO:0006688,9
GO:0070478,9
GO:0045943,9
GO:0000398,8
GO:0072511,8
GO:0006311,8
GO:0009450,8
GO:0043086,8
GO:0006744,8
GO:0000902,8
GO:0098869,8
GO:0051603,8
GO:0006506,8
GO:0006557,8
GO:0030150,8
GO:0000725,8
GO:0061091,8
GO:0090155,8
GO:0006106,8
GO:2000232,8
GO:0006491,8
GO:0015677,8
GO:0009263,8
GO:1900436,8
GO:1902047,8
GO:0015755,8
GO:0007097,8
GO:0048285,8
GO:0046889,8
GO:0071951,8
GO:0001676,8
GO:0044271,8
GO:0007119,8
GO:0051300,8
GO:0030100,8
GO:1901195,8
GO:0007265,8
GO:0010791,8
GO:0006178,8
GO:0070681,8
GO:0046513,8
GO:0015827,8
GO:0046337,8
GO:0031146,8
GO:0006405,8
GO:0007264,8
GO:0006353,7
GO:0030836,7
GO:0051999,7
GO:0031648,7
GO:1902559,7
GO:0061425,7
GO:0051014,7
GO:0000435,7
GO:0006906,7
GO:0008637,7
GO:0007076,7
GO:0006102,7
GO:0070072,7
GO:0007095,7
GO:0009073,7
GO:0006893,7
GO:1902275,7
GO:0009058,7
GO:1900050,7
GO:0051016,7
GO:0006855,7
GO:0032968,7
GO:0042908,7
GO:0032958,7
GO:0045332,7
GO:0090173,7
GO:1900049,7
GO:0043709,7
GO:0071497,7
GO:0006277,7
GO:0018108,7
GO:0000724,7
GO:0051865,7
GO:0033215,7
GO:0010106,7
GO:0007232,7
GO:0019483,7
GO:0045950,7
GO:0030154,7
GO:0000741,7
GO:0045737,7
GO:0019236,7
GO:0008299,7
GO:0035725,7
GO:0006807,7
GO:0034605,7
GO:0000917,7
GO:1990426,7
GO:0006629,7
GO:0051604,7
GO:0018063,7
GO:0045116,7
GO:0017183,7
GO:0007017,7
GO:0080058,7
GO:0006537,7
GO:0006086,7
GO:0006598,7
GO:1990545,7
GO:0045016,7
GO:0006897,7
GO:2000001,7
GO:0006673,7
GO:0031938,7
GO:0000433,7
GO:0006812,7
GO:0007064,7
GO:0035621,7
GO:0010674,7
GO:0006874,7
GO:0019388,7
GO:0016024,7
GO:0031122,7
GO:0045859,7
GO:0006068,7
GO:0030466,7
GO:0002098,7
GO:1904263,7
GO:0016575,7
GO:0006436,7
GO:0006544,7
GO:0055085,7
GO:0006811,7
GO:0006121,7
GO:0048309,7
GO:0061406,7
GO:0097271,7
GO:2000479,7
GO:0007346,7
GO:0065003,7
GO:0034517,7
GO:0070193,7
GO:0007121,7
GO:0015680,7
GO:0030866,7
GO:0010499,7
GO:0070682,7
GO:0000184,7
GO:0006449,7
GO:0016125,7
GO:0006995,7
GO:0016052,7
GO:0031921,7
GO:0006464,7
GO:0042542,7
GO:0000957,7
GO:0005986,7
GO:0006000,7
GO:0006623,7
GO:0030388,7
GO:0035066,7
GO:0032880,7
GO:0000183,7
GO:0070778,7
GO:0032120,7
GO:0097046,7
GO:0043065,7
GO:1905897,7
GO:0000266,7
GO:0016584,7
GO:1904524,7
GO:0090615,7
GO:0006487,7
GO:0033157,7
GO:0000723,7
GO:0006900,7
GO:0007188,7
GO:0080009,6
GO:0006511,6
GO:0036003,6
GO:0010971,6
GO:0016539,6
GO:0031496,6
GO:0006650,6
GO:0030036,6
GO:2000104,6
GO:0060963,6
GO:0006406,6
GO:1900027,6
GO:0061093,6
GO:0071441,6
GO:0015723,6
GO:0051091,6
GO:1990683,6
GO:0006342,6
GO:0007062,6
GO:0006676,6
GO:0008655,6
GO:0042994,6
GO:0042138,6
GO:0032447,6
GO:0000463,6
GO:0006612,6
GO:0043101,6
GO:0010044,6
GO:0010520,6
GO:0006265,6
GO:0000749,6
GO:0008150,6
GO:0043248,6
GO:0006354,6
GO:0010607,6
GO:0048250,6
GO:0007114,6
GO:0015914,6
GO:0046521,6
GO:0070899,6
GO:0030488,6
GO:0008033,6
GO:0006397,6
GO:0000963,6
GO:0071243,6
GO:0000372,6
GO:0042147,6
GO:0009117,6
GO:0046033,6
GO:0000423,6
GO:0032147,6
GO:0071211,6
GO:0006474,6
GO:0071528,6
GO:0009249,6
GO:0006103,6
GO:0006097,6
GO:0032511,6
GO:0070936,6
GO:1905524,6
GO:0010821,6
GO:0072344,6
GO:0000413,6
GO:0006970,6
GO:0006606,6
GO:0015848,6
GO:0034504,6
GO:0006873,6
GO:1900008,6
GO:0010636,6
GO:0090329,6
GO:0043971,6
GO:0006486,6
GO:0006616,6
GO:0035690,6
GO:0006625,6
GO:0023014,6
GO:0000161,6
GO:0006569,6
GO:0034729,6
GO:0071930,6
GO:0009651,6
GO:0035999,6
GO:0016226,6
GO:0000186,6
GO:2000679,6
GO:0015828,6
GO:0031647,6
GO:0071073,6
GO:0006868,6
GO:0071361,6
GO:0005993,6
GO:0006675,6
GO:0010845,6
GO:0071931,6
GO:0034514,6
GO:0034496,6
GO:0035542,6
GO:0009116,6
GO:0046084,6
GO:0006571,6
GO:0006188,6
GO:0006168,6
GO:0097428,6
GO:0051131,6
GO:0006886,6
GO:0061739,6
GO:0090207,6
GO:0043328,6
GO:0000752,6
GO:0060261,6
GO:0098609,6
GO:0030435,6
GO:0031321,6
GO:0009088,6
GO:0006662,6
GO:0060271,6
GO:0007006,6
GO:0060733,6
GO:0035065,6
GO:0006122,6
GO:2000815,6
GO:0034622,6
GO:0035308,6
GO:0032888,6
GO:0018002,6
GO:0006364,6
GO:1990116,6
GO:0031124,6
GO:0035335,6
GO:0010606,6
GO:0016559,6
GO:0031452,6
GO:0009435,6
GO:0006290,6
GO:0018027,6
GO:0035970,6
GO:0044211,6
GO:0042843,6
GO:1904668,6
GO:0032973,6
GO:1903364,6
GO:0015809,6
GO:0060236,6
GO:1901901,6
GO:0009061,6
GO:1900153,6
GO:0033523,6
GO:0007118,6
GO:0006974,6
GO:0097552,6
GO:0000278,6
GO:0006267,6
GO:0031106,6
GO:1902603,6
GO:2000042,6
GO:0043618,6
GO:0006348,6
GO:1905339,6
GO:0007129,6
GO:0035352,6
GO:0070544,6
GO:0031145,6
GO:0070370,6
GO:0006302,6
GO:0016569,6
GO:0006665,6
GO:0097043,6
GO:0045892,6
GO:0071932,6
GO:0035694,6
GO:0000729,6
GO:0031047,6
GO:0006826,6
GO:0035405,6
GO:1903475,6
GO:0034213,6
GO:0046015,6
GO:0006152,6
GO:0006532,6
GO:0071230,6
GO:0070198,6
GO:0050667,6
GO:0005991,6
GO:0072488,6
GO:0000302,6
GO:0061817,6
GO:0071470,6
GO:0019740,6
GO:0070475,6
GO:2000105,6
GO:0051260,6
GO:0019413,6
GO:0007163,6
GO:0006015,6
GO:1905634,6
GO:0006006,6
GO:0009062,6
GO:1990166,6
GO:0071266,6
GO:0061426,6
GO:0048478,6
GO:0009267,6
GO:0010508,6
GO:0070979,6
GO:0046514,6
GO:0006359,6
GO:0006335,6
GO:2001159,6
GO:0006078,6
GO:0006356,6
GO:0018008,6
GO:0051453,6
GO:1903452,6
GO:0006111,6
GO:0001111,6
GO:0051123,6
GO:1904262,6
GO:0006412,6
GO:0000027,6
GO:0043549,6
GO:1902600,6
GO:0090344,6
GO:0051639,6
GO:0006749,6
GO:0000122,6
GO:0061186,6
GO:0044806,6
GO:0009306,6
GO:0006754,6
GO:0001324,6
GO:0046580,6
GO:0071629,6
GO:1902499,6
GO:0006997,6
GO:0051301,6
GO:0006269,6
GO:0043458,6
GO:0046854,6
GO:1901799,6
GO:0006879,6
GO:0071596,6
GO:0051974,6
GO:0016043,6
GO:2000156,6
GO:0060988,6
GO:0043504,6
GO:1901858,6
GO:0001315,6
GO:0000411,6
GO:0016579,6
GO:0000422,6
GO:2000480,6
GO:0034316,6
GO:0000301,6
GO:0006450,6
GO:0006913,6
GO:0016458,6
GO:0035977,6
GO:0046839,6
GO:0006564,5
GO:0006627,5
GO:0010998,5
GO:0006825,5
GO:0000038,5
GO:0006550,5
GO:0006360,5
GO:0006546,5
GO:0007323,5
GO:0090266,5
GO:1904659,5
GO:0032509,5
GO:0000742,5
GO:1904902,5
GO:0006890,5
GO:0051125,5
GO:0044539,5
GO:0006828,5
GO:2001225,5
GO:0032446,5
GO:0006626,5
GO:0006895,5
GO:0071474,5
GO:0000103,5
GO:0080129,5
GO:0007234,5
GO:0000185,5
GO:0031497,5
GO:0019264,5
GO:0072742,5
GO:0070868,5
GO:0045835,5
GO:0006479,5
GO:1900180,5
GO:0061987,5
GO:0002130,5
GO:0033194,5
GO:0032581,5
GO:0033554,5
GO:0006430,5
GO:0030476,5
GO:0097745,5
GO:0043666,5
GO:0018293,5
GO:0000461,5
GO:0097201,5
GO:0043488,5
GO:0022904,5
GO:0006272,5
GO:0019941,5
GO:0035672,5
GO:0046020,5
GO:0009132,5
GO:0006163,5
GO:0072665,5
GO:0010506,5
GO:0032008,5
GO:0071218,5
GO:0000964,5
GO:0042631,5
GO:0070134,5
GO:0006048,5
GO:0090158,5
GO:0006490,5
GO:0006104,5
GO:0032780,5
GO:1903827,5
GO:0015706,5
GO:0009251,5
GO:0006073,5
GO:0061157,5
GO:0061013,5
GO:0070911,5
GO:0071985,5
GO:0043162,5
GO:2000677,5
GO:0030004,5
GO:0007032,5
GO:0015801,5
GO:0006574,5
GO:0000470,5
GO:0046656,5
GO:0007096,5
GO:0042989,5
GO:0030837,5
GO:0018216,5
GO:0002183,5
GO:0060567,5
GO:0051598,5
GO:0006597,5
GO:0006596,5
GO:0006817,5
GO:0009448,5
GO:0031397,5
GO:0031936,5
GO:0001881,5
GO:0051037,5
GO:0007094,5
GO:0010629,5
GO:0035376,5
GO:0071406,5
GO:0033169,5
GO:0005978,5
GO:0016126,5
GO:0006694,5
GO:0008315,5
GO:0071071,5
GO:0060211,5
GO:0060303,5
GO:0006369,5
GO:0019433,5
GO:0006488,5
GO:0031333,5
GO:0006739,5
GO:0045104,5
GO:0015908,5
GO:0051017,5
GO:0010992,5
GO:0044267,5
GO:0033108,5
GO:0010995,5
GO:0006635,5
GO:0006799,5
GO:0006797,5
GO:2000601,5
GO:0070649,5
GO:0001081,5
GO:1902426,5
GO:0000479,5
GO:0007021,5
GO:0044773,5
GO:0042274,5
GO:0042761,5
GO:1990616,5
GO:0018230,5
GO:0034356,5
GO:0019722,5
GO:0030071,5
GO:0032263,5
GO:0044206,5
GO:0006146,5
GO:0071934,5
GO:0030974,5
GO:0000188,5
GO:1900749,5
GO:0042255,5
GO:0031569,5
GO:0030953,5
GO:0015940,5
GO:1905786,5
GO:1990414,5
GO:0045903,5
GO:0006850,5
GO:0098530,5
GO:0071630,5
GO:0090297,5
GO:1903044,5
GO:0071562,5
GO:0045732,5
GO:0045772,5
GO:0000022,5
GO:1905037,5
GO:0031134,5
GO:0051438,5
GO:0050708,5
GO:0120174,5
GO:0031204,5
GO:0030447,5
GO:0000280,5
GO:1903710,5
GO:0034488,5
GO:0000735,5
GO:0000753,5
GO:0106074,5
GO:2000769,5
GO:0061606,5
GO:0044090,5
GO:0015871,5
GO:0000480,5
GO:0034354,5
GO:1990264,5
GO:0009168,5
GO:0006535,5
GO:0019343,5
GO:0019344,5
GO:0006144,5
GO:0046040,5
GO:0099022,5
GO:0070676,5
GO:0070814,5
GO:0061429,5
GO:1901900,5
GO:0045736,5
GO:0000321,5
GO:0101018,5
GO:0045719,5
GO:0006085,5
GO:0019427,5
GO:0045937,5
GO:0001732,5
GO:0042256,5
GO:0010525,5
GO:0006880,5
GO:0006533,5
GO:0033615,5
GO:1901684,5
GO:0034755,5
GO:0003333,5
GO:0042797,5
GO:2001042,5
GO:0006986,5
GO:0007015,5
GO:0006520,5
GO:0010947,5
GO:0031292,5
GO:0006273,5
GO:0045899,5
GO:0010691,5
GO:0006281,5
GO:0044237,5
GO:0006012,5
GO:0070414,5
GO:0034613,5
GO:0034389,5
GO:0006620,5
GO:0042149,5
GO:0000001,5
GO:0043335,5
GO:0034398,5
GO:0061647,5
GO:0045901,5
GO:0097695,5
GO:0097752,5
GO:0040001,5
GO:0030473,5
GO:1990619,5
GO:0000209,5
GO:0008360,5
GO:1901494,5
GO:1904669,5
GO:0051038,5
GO:0000096,5
GO:0070131,5
GO:0061188,5
GO:0031505,5
GO:0070933,5
GO:0051156,5
GO:0006415,5
GO:0046835,5
GO:0019752,5
GO:0046323,5
GO:0000447,5
GO:0016310,5
GO:0006541,5
GO:0019318,5
GO:0031930,5
GO:0031935,5
GO:0006336,5
GO:0043619,5
GO:0042759,5
GO:0007186,5
GO:0009190,5
GO:0071255,5
GO:0046579,5
GO:0051443,5
GO:1990986,5
GO:0015031,5
GO:0045910,5
GO:0006310,5
GO:0036474,5
GO:0016050,5
GO:0000045,5
GO:0007189,5
GO:0006808,5
GO:1903507,5
GO:0009272,5
GO:0006624,5
GO:0000425,5
GO:0071555,5
GO:0001080,5
GO:0007093,5
GO:0045911,5
GO:0001100,5
GO:0030433,5
GO:0006417,5
GO:0070550,5
GO:0090342,5
GO:0006164,5
GO:0000947,5
GO:0006338,5
GO:0009113,5
GO:0009086,5
GO:0006730,5
GO:0044387,5
GO:0010255,5
GO:0031929,5
GO:0034551,5
GO:0042262,5
GO:0007155,5
GO:0032259,5
GO:0006333,5
GO:0090606,5
GO:1904667,5
GO:0006914,5
GO:0071902,5
GO:0016236,5
GO:0070842,5
GO:0005975,5
GO:0032979,5
GO:0043653,5
GO:0009731,5
GO:0006002,5
GO:0030437,5
GO:1901856,5
GO:0006402,5
GO:0090503,5
GO:0016311,5
GO:0001558,5
GO:0072593,5
GO:0015803,5
GO:0006413,5
GO:2001234,5
GO:0006888,5
GO:0045128,5
GO:0007089,5
GO:0033617,5
GO:0030001,5
GO:0009083,5
GO:0009085,5
GO:1904877,5
GO:0031571,5
GO:0007049,5
GO:0031573,5
GO:0005981,5
GO:0005979,5
GO:0018105,5
GO:0051726,5
GO:0110027,5
GO:0006270,5
GO:0046686,5
GO:0008652,5
GO:0007117,5
GO:0033314,5
GO:0120009,5
GO:0042254,5
GO:0000727,5
GO:0032781,5
GO:0045762,5
GO:0042391,5
GO:0006120,5
GO:0016485,5
GO:0017148,5
GO:0007266,5
GO:0045861,5
GO:0007035,5
GO:0035524,5
GO:0000734,5
GO:0009268,5
GO:0015986,5
GO:0006284,5
GO:0035753,5
GO:1900101,5
GO:0071712,5
GO:0032078,5
GO:0032527,5
GO:0046034,5
GO:0001932,5
GO:0000077,5
GO:0000160,5
GO:0006760,5
GO:0051039,5
GO:0006368,5
GO:0060237,5
GO:0008380,5
GO:0090630,5
GO:0000750,5
GO:0000079,5
GO:0036297,5
GO:1902775,5
GO:0070183,5
GO:0043433,5
GO:0006656,5
GO:0061408,5
GO:0042144,5
GO:0006869,5
GO:0044772,5
GO:2000220,5
GO:0008361,4
GO:0035404,4
GO:0042307,4
GO:0061410,4
GO:0043137,4
GO:0016925,4
GO:2000805,4
GO:0016577,4
GO:1903646,4
GO:0009408,4
GO:0006446,4
GO:0000448,4
GO:1904184,4
GO:0038202,4
GO:0042766,4
GO:0016242,4
GO:0000002,4
GO:0010507,4
GO:0007004,4
GO:0018283,4
GO:1903450,4
GO:0030042,4
GO:0070192,4
GO:0006975,4
GO:0070407,4
GO:0006556,4
GO:0006555,4
GO:0006259,4
GO:0006289,4
GO:0000722,4
GO:0043044,4
GO:0090527,4
GO:0071894,4
GO:0015819,4
GO:0015696,4
GO:0070932,4
GO:0051028,4
