,0
GO:0035206,9
GO:0000266,8
GO:0032869,7
GO:0048072,7
GO:0016458,7
GO:0008333,7
GO:0045880,7
GO:0048749,7
GO:0051156,7
GO:0016319,7
GO:0035167,7
GO:0006914,7
GO:0006726,7
GO:0061964,7
GO:0060250,6
GO:0048542,6
GO:0042060,6
GO:0000165,6
GO:0006468,6
GO:0007409,6
GO:0007041,6
GO:0046843,6
GO:0030154,6
GO:0001934,6
GO:0007455,6
GO:0008284,6
GO:0034976,6
GO:0042981,6
GO:0051896,6
GO:0050832,6
GO:0000050,6
GO:0036099,6
GO:0003007,6
GO:0045464,6
GO:0009267,6
GO:0030036,6
GO:0007254,6
GO:0006727,6
GO:0035542,6
GO:0010862,6
GO:0048010,5
GO:0046620,5
GO:0000422,5
GO:0070932,5
GO:0070734,5
GO:1903688,5
GO:0042771,5
GO:0008285,5
GO:0045944,5
GO:0006357,5
GO:0046627,5
GO:0007602,5
GO:0055088,5
GO:0007210,5
GO:0090175,5
GO:0071243,5
GO:0046854,5
GO:0035212,5
GO:0061723,5
GO:0048803,5
GO:0014067,5
GO:0030968,5
GO:0045214,5
GO:0090141,5
GO:0030382,5
GO:0031670,5
GO:0046529,5
GO:0048813,5
GO:0035331,5
GO:0042632,5
GO:0006511,5
GO:0044719,5
GO:0035556,5
GO:0007442,5
GO:0007259,5
GO:0042595,5
GO:0051897,5
GO:0001558,5
GO:0045887,5
GO:0036335,5
GO:0045475,4
GO:0007283,4
GO:0030536,4
GO:0040008,4
GO:0061077,4
GO:0006749,4
GO:0006986,4
GO:0007391,4
GO:0007160,4
GO:0070328,4
GO:0035332,4
GO:0045879,4
GO:0006470,4
GO:0007424,4
GO:0007399,4
GO:0010821,4
GO:1902669,4
GO:0006750,4
GO:0045454,4
GO:0001666,4
GO:2000331,4
GO:1904515,4
GO:0051726,4
GO:0046621,4
GO:0045886,4
GO:0032007,4
GO:0007274,4
GO:0030308,4
GO:0000122,4
GO:0010508,4
GO:0008286,4
GO:0016571,4
GO:0014065,4
GO:0006979,4
GO:0043491,4
GO:0060395,4
GO:0046622,4
GO:0006886,4
GO:0035264,4
GO:0007616,4
GO:0045892,4
GO:0007220,4
GO:0000278,4
GO:0007476,4
GO:0048167,4
GO:0042542,4
GO:0007568,4
GO:0097352,4
GO:0046907,4
GO:0016192,4
GO:0034614,4
GO:0035096,4
GO:0010468,4
GO:0006355,4
GO:0006414,4
GO:0048190,4
GO:0007427,4
GO:0006629,4
GO:0002164,4
GO:0007608,4
GO:0045893,4
GO:0050773,4
GO:0050829,4
GO:0071276,4
GO:0007617,4
GO:0007615,4
GO:0007614,4
GO:0008586,4
GO:0007165,4
GO:0030509,3
GO:0032924,3
GO:0045819,3
GO:0009411,3
GO:0016567,3
GO:0006915,3
GO:0007218,3
GO:0000381,3
GO:0009314,3
GO:0045572,3
GO:0008348,3
GO:0006342,3
GO:0007350,3
GO:0006955,3
GO:0010629,3
GO:0007498,3
GO:0071333,3
GO:0016575,3
GO:0008361,3
GO:1902692,3
GO:0030431,3
GO:0045945,3
GO:0019430,3
GO:0006121,3
GO:0030718,3
GO:0000045,3
GO:0019933,3
GO:0006897,3
GO:0008057,3
GO:0007390,3
GO:0034620,3
GO:0042026,3
GO:0000302,3
GO:0007552,3
GO:0055114,3
GO:0008344,3
GO:0048149,3
GO:0040015,3
GO:0043065,3
GO:0034059,3
GO:0040018,3
GO:0045793,3
GO:0009617,3
GO:0002052,3
GO:0006887,3
GO:0042594,3
GO:0032446,3
GO:0007155,3
GO:0030707,3
GO:0033500,3
GO:0008340,3
GO:0042078,3
GO:0048675,3
GO:0046777,3
GO:0060180,3
GO:0048666,3
GO:2000252,3
GO:0048477,3
GO:0070050,3
GO:0016236,3
GO:0007549,2
GO:0007268,2
GO:0022008,2
GO:0045927,2
GO:0007005,2
GO:0007431,2
GO:0031453,2
GO:0007031,2
GO:0014068,2
GO:1900407,2
GO:0008306,2
GO:0038001,2
GO:0034058,2
GO:0007032,2
GO:0050803,2
GO:0031396,2
GO:0007179,2
GO:0009653,2
GO:0010506,2
GO:0042744,2
GO:1904262,2
GO:0038202,2
GO:0007229,2
GO:0007411,2
GO:0006814,2
GO:0030307,2
GO:0042742,2
GO:0051898,2
GO:0035069,2
GO:0042127,2
GO:0010628,2
GO:2000253,2
GO:2000377,2
GO:0040014,2
GO:0010884,2
GO:0010507,2
GO:0007417,2
GO:0033627,2
GO:0010888,2
GO:0001745,2
GO:0009060,2
GO:1904801,2
GO:1902600,2
GO:0007443,2
GO:0007281,2
GO:0007419,2
GO:0009408,2
GO:0007186,1
GO:0043066,1
GO:0033353,1
GO:0007623,1
GO:0072593,1
GO:0051085,1
GO:0046688,1
GO:0072375,1
GO:0008045,1
GO:0045792,1
GO:0008355,1
GO:0008049,1
GO:0034599,1
GO:0042593,1
GO:1903146,1
GO:0008360,1
GO:0007298,1
