,0
GO:0070932,9
GO:0032291,9
GO:0042026,9
GO:0042331,8
GO:0046328,8
GO:0061086,8
GO:0006525,8
GO:0006099,8
GO:0045745,8
GO:0010468,8
GO:0048736,8
GO:0006261,8
GO:0031060,8
GO:0045321,8
GO:0016331,8
GO:0010877,8
GO:0051252,8
GO:0006469,8
GO:0035193,8
GO:0035229,8
GO:0006072,8
GO:0002052,8
GO:0061077,8
GO:0048015,8
GO:0007424,7
GO:0008284,7
GO:0044804,7
GO:0007276,7
GO:0048674,7
GO:0071243,7
GO:0071276,7
GO:0016322,7
GO:0010897,7
GO:0034968,7
GO:0000185,7
GO:0070734,7
GO:0060250,7
GO:0050912,7
GO:0030708,7
GO:1990928,7
GO:0035053,7
GO:0016055,7
GO:0007283,7
GO:0019991,7
GO:0045792,7
GO:0035621,7
GO:0007031,7
GO:0061709,7
GO:0007088,7
GO:0007280,7
GO:0007613,7
GO:0003344,7
GO:0007041,7
GO:0007040,7
GO:0007608,7
GO:0042048,7
GO:0007405,7
GO:0035234,7
GO:0042771,7
GO:0043553,7
GO:0007317,7
GO:0007614,7
GO:0006511,7
GO:0030707,7
GO:0098656,7
GO:0046843,7
GO:0008150,7
GO:0042742,7
GO:0016311,7
GO:0006206,7
GO:0035556,7
GO:0035069,7
GO:0042417,7
GO:0006750,7
GO:0051729,7
GO:0061101,7
GO:0006281,7
GO:0038002,7
GO:0007379,7
GO:2000177,7
GO:0007220,7
GO:0016197,7
GO:0007313,7
GO:0050688,7
GO:0060391,7
GO:0048636,7
GO:0001578,7
GO:0035096,7
GO:0045197,7
GO:0001933,7
GO:0016476,7
GO:0050808,7
GO:0007526,7
GO:0006067,7
GO:0098921,7
GO:0008272,7
GO:0006098,7
GO:0007631,7
GO:0051091,7
GO:0007602,7
GO:0045494,7
GO:0001654,7
GO:0006383,7
GO:0097156,7
GO:0008045,7
GO:0035147,6
GO:0007494,6
GO:0043052,6
GO:0007508,6
GO:0040010,6
GO:0006915,6
GO:0007517,6
GO:0045943,6
GO:0007489,6
GO:0016339,6
GO:0030336,6
GO:0034446,6
GO:0042752,6
GO:0008219,6
GO:0048076,6
GO:0019236,6
GO:0001709,6
GO:0035017,6
GO:0006282,6
GO:0007419,6
GO:0046500,6
GO:0042127,6
GO:0016182,6
GO:0048813,6
GO:0032504,6
GO:0008285,6
GO:0036099,6
GO:0006325,6
GO:0046627,6
GO:0042493,6
GO:0046854,6
GO:0019240,6
GO:0000050,6
GO:0006726,6
GO:0008637,6
GO:0006749,6
GO:0008585,6
GO:0000724,6
GO:0006633,6
GO:0051726,6
GO:1902350,6
GO:1904504,6
GO:1904515,6
GO:0001666,6
GO:0009435,6
GO:0046653,6
GO:0051289,6
GO:0007314,6
GO:0007399,6
GO:0060785,6
GO:0048870,6
GO:0016059,6
GO:0051881,6
GO:0006014,6
GO:0019731,6
GO:0048078,6
GO:0015990,6
GO:0045317,6
GO:0040034,6
GO:0030010,6
GO:0022008,6
GO:0007478,6
GO:0071481,6
GO:0051567,6
GO:0010039,6
GO:0007455,6
GO:0007258,6
GO:0046662,6
GO:0071333,6
GO:0050667,6
GO:0019346,6
GO:0001894,6
GO:0055059,6
GO:2000765,6
GO:0055089,6
GO:0010038,6
GO:1990170,6
GO:0071711,6
GO:0048169,6
GO:0007395,6
GO:0030727,6
GO:0007622,6
GO:0060389,6
GO:0045879,6
GO:0046823,6
GO:0022407,6
GO:0048512,6
GO:0009888,6
GO:0051491,6
GO:0008053,6
GO:0007350,6
GO:0045664,6
GO:0050771,6
GO:0000226,6
GO:0007274,6
GO:0060799,6
GO:0030509,6
GO:0048100,6
GO:0038202,6
GO:1902669,6
GO:0009653,6
GO:0006121,6
GO:1903146,6
GO:0045705,6
GO:0035309,6
GO:0045571,6
GO:1990542,6
GO:0035224,6
GO:0035158,6
GO:0043457,6
GO:0000045,6
GO:0060047,6
GO:0010002,6
GO:0009438,6
GO:0055085,6
GO:0071423,6
GO:0006897,6
GO:0042775,6
GO:0036529,6
GO:0007298,6
GO:0007303,6
GO:0006887,6
GO:0051301,6
GO:0055088,6
GO:0048666,6
GO:0008258,6
GO:0036335,6
GO:0042594,6
GO:0007468,6
GO:0008355,6
GO:0042067,6
GO:0007409,6
GO:0048149,6
GO:0070059,6
GO:0007616,6
GO:0035435,6
GO:0034058,6
GO:0007301,6
GO:0040040,6
GO:0006995,6
GO:0010738,6
GO:0022416,6
GO:0019933,6
GO:0045893,6
GO:0034727,6
GO:0007615,6
GO:0006120,5
GO:0048172,5
GO:0007284,5
GO:0046716,5
GO:0007474,5
GO:0014068,5
GO:0035159,5
GO:0042593,5
GO:0006464,5
GO:0035006,5
GO:0035212,5
GO:0016571,5
GO:1903003,5
GO:0071480,5
GO:0046533,5
GO:0008286,5
GO:0045787,5
GO:1903862,5
GO:0007569,5
GO:0043951,5
GO:0001736,5
GO:0008104,5
GO:0030725,5
GO:0032094,5
GO:0010037,5
GO:0007285,5
GO:0043568,5
GO:0007005,5
GO:0006879,5
GO:0048096,5
GO:0007319,5
GO:0030433,5
GO:0007296,5
GO:0007619,5
GO:0050778,5
GO:0006342,5
GO:0014067,5
GO:0030536,5
GO:0019430,5
GO:0051896,5
GO:0070050,5
GO:0007498,5
GO:0046529,5
GO:0106046,5
GO:0010883,5
GO:0034614,5
GO:0007561,5
GO:0030431,5
GO:0006171,5
GO:2001229,5
GO:0070983,5
GO:0045892,5
GO:0030261,5
GO:0010629,5
GO:0030036,5
GO:0031670,5
GO:0042981,5
GO:0120162,5
GO:0007427,5
GO:0042994,5
GO:0007444,5
GO:0060291,5
GO:0007093,5
GO:1990845,5
GO:1903688,5
GO:0007612,5
GO:0007254,5
GO:0006979,5
GO:0035331,5
GO:0048142,5
GO:0097250,5
GO:0014065,5
GO:0000188,5
GO:0002168,5
GO:0048680,5
GO:0043524,5
GO:0003015,5
GO:0060729,5
GO:0051654,5
GO:0010941,5
GO:0046486,5
GO:0048749,5
GO:0050807,5
GO:0007216,5
GO:0002082,5
GO:0009415,5
GO:0005977,5
GO:0045476,5
GO:0007352,5
GO:0006727,5
GO:0006886,5
GO:0035290,5
GO:0007560,5
GO:0061320,5
GO:0060323,5
GO:0045570,5
GO:0036098,5
GO:0008333,5
GO:0006744,5
GO:0000381,5
GO:0032418,5
GO:0035094,5
GO:0001706,5
GO:0097272,5
GO:0055081,5
GO:0090140,5
GO:0048285,5
GO:0016185,5
GO:0006116,5
GO:0016236,5
GO:0001678,5
GO:0043484,5
GO:0006085,5
GO:0005975,5
GO:0050843,5
GO:0046498,5
GO:0006111,5
GO:0007187,5
GO:0006030,5
GO:1903706,5
GO:0035220,5
GO:0035215,5
GO:0035542,5
GO:0060857,5
GO:0031647,5
GO:0070868,5
GO:0055114,5
GO:0072593,5
GO:0009058,5
GO:0045947,5
GO:0042149,5
GO:0030730,5
GO:1901888,5
GO:0042690,5
GO:0035011,5
GO:0010862,5
GO:0045727,5
GO:0045572,5
GO:0042760,5
GO:0051642,5
GO:0010212,5
GO:0006875,5
GO:2000373,5
GO:0009047,5
GO:0007549,5
GO:0006952,5
GO:0007442,5
GO:0042744,5
GO:0007538,5
GO:0070475,5
GO:0050829,5
GO:0001315,5
GO:0097352,5
GO:1904061,5
GO:0003007,5
GO:0046329,5
GO:0008345,5
GO:0007568,5
GO:0000266,5
GO:0000209,5
GO:0045088,5
GO:0030510,5
GO:0009651,5
GO:0035206,5
GO:0007481,5
GO:0001751,5
GO:0030720,5
GO:0008348,5
GO:0030330,5
GO:0042220,5
GO:0070328,5
GO:0030705,5
GO:0090129,5
GO:0030488,5
GO:0002164,5
GO:0070345,5
GO:0019216,5
GO:0061965,5
GO:0045762,5
GO:0009617,5
