,0
GO:0010765,7
GO:0032922,6
GO:0042632,6
GO:0006915,6
GO:0032868,6
GO:0001666,6
GO:0006298,6
GO:0043627,6
GO:0045907,6
GO:0048666,6
GO:0007569,6
GO:0051276,5
GO:0031398,5
GO:0007283,5
GO:0010507,5
GO:0035264,5
GO:0008340,5
GO:0000077,5
GO:0000723,5
GO:0033683,5
GO:0006629,5
GO:0007050,5
GO:0042752,5
GO:0001938,4
GO:0006979,4
GO:0001525,4
GO:0009650,4
GO:2001235,4
GO:0010629,4
GO:0006508,4
GO:0071356,4
GO:0006310,4
GO:0043066,4
GO:0043388,4
GO:0007275,4
GO:0008286,4
GO:0071456,4
GO:0070932,4
GO:0001568,4
GO:0006094,4
GO:0006284,4
GO:0031175,4
GO:0071333,4
GO:0050872,4
GO:0048661,4
GO:0045471,4
GO:0042756,4
GO:0031667,4
GO:0007568,4
GO:2000377,4
GO:0032091,4
GO:0033138,4
GO:0006974,4
GO:0016310,4
GO:0051726,4
GO:0010212,4
GO:0045944,4
GO:0000724,4
GO:0045893,4
GO:0034644,4
GO:0018105,4
GO:0043065,4
GO:0008630,4
GO:0007626,4
GO:0048662,3
GO:0071560,3
GO:0120162,3
GO:0007204,3
GO:0006978,3
GO:0048511,3
GO:0010628,3
GO:0042771,3
GO:0051898,3
GO:0050821,3
GO:0007005,3
GO:0001701,3
GO:1901215,3
GO:0006366,3
GO:0006289,3
GO:0050731,3
GO:0009791,3
GO:0034599,3
GO:0007281,3
GO:0030879,3
GO:0001934,3
GO:0007186,3
GO:0042493,3
GO:0045600,3
GO:0045444,3
GO:0002376,3
GO:0001932,3
GO:0031397,3
GO:0045429,3
GO:1901216,3
GO:0008283,3
GO:0050728,3
GO:0008637,3
GO:0010332,3
GO:0006954,3
GO:0043523,3
GO:0006355,3
GO:0051000,3
GO:0006511,3
GO:0006302,3
GO:0007623,3
GO:0030335,3
GO:0016567,3
GO:0001822,3
GO:0009887,3
GO:0055114,3
GO:0030330,3
GO:0051301,3
GO:0043161,3
GO:0006977,3
GO:0006006,3
GO:0051402,3
GO:0046777,3
GO:0032007,3
GO:0045892,3
GO:0040018,2
GO:0003007,2
GO:0048009,2
GO:0035556,2
GO:0071363,2
GO:0045725,2
GO:0034504,2
GO:0010976,2
GO:1990830,2
GO:0006914,2
GO:0006476,2
GO:0014911,2
GO:0019430,2
GO:0006919,2
GO:0070374,2
GO:0042127,2
GO:0000122,2
GO:0071480,2
GO:0042060,2
GO:0071481,2
GO:0000086,2
GO:0090399,2
GO:0009411,2
GO:0006357,2
GO:0071479,2
GO:0097192,2
GO:0014068,2
GO:0010506,2
GO:0008284,2
GO:0001974,2
GO:0007399,2
GO:0008285,2
GO:0007049,2
GO:0007507,2
GO:0097190,2
GO:0042744,2
GO:0048147,2
GO:0045669,2
GO:0045766,1
GO:0001836,1
GO:0042981,1
GO:0008584,1
GO:0000209,1
GO:0007165,1
GO:0043525,1
GO:0006606,1
GO:0070836,1
GO:0051092,1
GO:0042593,1
GO:0032869,1
GO:0006303,1
GO:0060396,1
GO:0006468,1
GO:0010468,1
GO:0030154,1
GO:0007189,1
GO:0043410,1
GO:0043491,1
GO:0048146,1
GO:0007346,1
GO:0032094,1
GO:0071407,0
GO:0043524,0
GO:0046326,0
GO:0000187,0
GO:0051897,0
GO:0006281,0
