,0
GO:0033326,9
GO:0006366,9
GO:0010529,9
GO:0038166,9
GO:0003057,9
GO:0010877,9
GO:0014065,8
GO:1903038,8
GO:0040016,8
GO:0090275,8
GO:0048714,8
GO:0071285,8
GO:0060529,8
GO:0099111,8
GO:0071364,8
GO:0072659,8
GO:0061847,8
GO:2000194,8
GO:0035264,8
GO:0051365,8
GO:0070527,8
GO:0033344,8
GO:0106016,8
GO:0071500,8
GO:0071459,8
GO:1904358,8
GO:0061820,8
GO:0043279,8
GO:0003032,8
GO:0060411,8
GO:0032350,8
GO:0042104,8
GO:1903516,8
GO:0051384,8
GO:0099171,8
GO:0046887,8
GO:0070345,8
GO:0033690,8
GO:0060548,8
GO:0090071,8
GO:0050778,8
GO:1904385,8
GO:0045722,8
GO:0048145,8
GO:0045725,8
GO:0046339,8
GO:0048681,7
GO:0006501,7
GO:0000209,7
GO:1901331,7
GO:0042220,7
GO:0070857,7
GO:0035994,7
GO:0003247,7
GO:0008065,7
GO:0070358,7
GO:0034101,7
GO:0018149,7
GO:0007205,7
GO:0060279,7
GO:0014896,7
GO:0043687,7
GO:0009887,7
GO:0070534,7
GO:0048872,7
GO:0035641,7
GO:0071468,7
GO:0071345,7
GO:0036003,7
GO:0010524,7
GO:0042982,7
GO:0033077,7
GO:0012501,7
GO:0010666,7
GO:0007369,7
GO:0060999,7
GO:0035860,7
GO:0060011,7
GO:1904751,7
GO:1903620,7
GO:0071897,7
GO:1900272,7
GO:0006301,7
GO:0006310,7
GO:0035457,7
GO:1900181,7
GO:0061912,7
GO:1900113,7
GO:0046326,7
GO:0051592,7
GO:0071233,7
GO:1990314,7
GO:0006334,7
GO:1905461,7
GO:0090343,7
GO:0034613,7
GO:0006997,7
GO:0042775,7
GO:0044027,7
GO:0036049,7
GO:0018107,7
GO:2000234,7
GO:1904924,7
GO:0033148,7
GO:0030282,7
GO:0019752,7
GO:0043552,7
GO:0006303,7
GO:0061819,7
GO:0042554,7
GO:0010165,7
GO:0042445,7
GO:0000423,7
GO:0045669,7
GO:2001259,7
GO:0048773,7
GO:0110076,7
GO:0030866,7
GO:1900085,7
GO:0097202,7
GO:1901844,7
GO:0060450,7
GO:0045737,7
GO:0042297,7
GO:0042771,7
GO:0032079,7
GO:0099527,7
GO:1902857,7
GO:2000279,7
GO:0003203,7
GO:0030099,7
GO:0045444,7
GO:0045600,7
GO:0010033,7
GO:0014910,7
GO:1990416,7
GO:0009954,7
GO:0001503,7
GO:0065002,7
GO:0045662,7
GO:0045893,7
GO:0010482,7
GO:0032430,7
GO:0006975,7
GO:1903463,7
GO:1904630,7
GO:0001991,7
GO:0060325,7
GO:0007507,7
GO:0060197,7
GO:0060402,7
GO:0006468,7
GO:0007140,7
GO:0001974,7
GO:0007094,7
GO:0071486,7
GO:0060137,7
GO:0032446,7
GO:0019229,7
GO:0001736,7
GO:0043011,7
GO:0018105,7
GO:0032496,6
GO:0000019,6
GO:0042742,6
GO:0045786,6
GO:0043200,6
GO:0016446,6
GO:0051549,6
GO:0055088,6
GO:0003214,6
GO:0045598,6
GO:2000144,6
GO:0002204,6
GO:0000462,6
GO:0006974,6
GO:0045190,6
GO:0099547,6
GO:0032024,6
GO:2000381,6
GO:0098773,6
GO:0003085,6
GO:2000271,6
GO:0006998,6
GO:1903146,6
GO:0045823,6
GO:0046826,6
GO:0046686,6
GO:1900114,6
GO:0060101,6
GO:0046825,6
GO:1901329,6
GO:1903979,6
GO:0002376,6
GO:0031529,6
GO:0006487,6
GO:0007040,6
GO:0006924,6
GO:1904059,6
GO:1901653,6
GO:0000082,6
GO:2001258,6
GO:0007625,6
GO:0001957,6
GO:0090281,6
GO:0097011,6
GO:1903071,6
GO:0140052,6
GO:0007252,6
GO:1904197,6
GO:0071711,6
GO:0071375,6
GO:0071360,6
GO:0019543,6
GO:0042789,6
GO:0055074,6
GO:0070365,6
GO:2000630,6
GO:0000086,6
GO:0021756,6
GO:0046329,6
GO:0002019,6
GO:0042127,6
GO:0019221,6
GO:0007143,6
GO:0001893,6
GO:0009725,6
GO:2001269,6
GO:0007292,6
GO:2000278,6
GO:1904504,6
GO:1904706,6
GO:0072331,6
GO:0010765,6
GO:0034405,6
GO:0035655,6
GO:0010942,6
GO:0021988,6
GO:0009411,6
GO:0003073,6
GO:0065003,6
GO:1901985,6
GO:0071475,6
GO:0043969,6
GO:0048015,6
GO:0051548,6
GO:0051895,6
GO:0006342,6
GO:0006306,6
GO:0044321,6
GO:0002329,6
GO:0051258,6
GO:0019372,6
GO:0060134,6
GO:0050974,6
GO:2001136,6
GO:0071257,6
GO:0060463,6
GO:0032868,6
GO:0030104,6
GO:0021984,6
GO:0060510,6
GO:0007188,6
GO:0006355,6
GO:2001243,6
GO:0007187,6
GO:0060740,6
GO:0031340,6
GO:0021940,6
GO:0010001,6
GO:0007270,6
GO:0031017,6
GO:1904179,6
GO:0030336,6
GO:0001932,6
GO:1902237,6
GO:0032691,6
GO:0019216,6
GO:0032286,6
GO:0033032,6
GO:0033555,6
GO:0030327,6
GO:0046849,6
GO:0044320,6
GO:0007204,6
GO:0090312,6
GO:0007626,6
GO:0048738,6
GO:0050885,6
GO:0018394,6
GO:0019249,6
GO:0120163,6
GO:0010310,6
GO:0045599,6
GO:0032410,6
GO:0034612,6
GO:0010966,6
GO:0045892,6
GO:0045995,6
GO:1990535,6
GO:1990542,6
GO:0050767,6
GO:0032364,6
GO:0071280,6
GO:0016042,6
GO:0060218,6
GO:0007089,6
GO:0043249,6
GO:0042274,6
GO:0035315,6
GO:0001558,6
GO:0045793,6
GO:1904237,6
GO:0021510,6
GO:0045668,6
GO:0055062,6
GO:0032870,6
GO:0034379,6
GO:0009267,6
GO:0000731,6
GO:1905564,6
GO:0048633,6
GO:1905168,6
GO:0040018,6
GO:1903376,6
GO:1904234,6
GO:0070213,6
GO:0070301,6
GO:0000237,6
GO:0045773,6
GO:0040015,6
GO:0036211,6
GO:0010739,6
GO:0010039,6
GO:0071174,6
GO:0070936,6
GO:0097242,6
GO:2000343,6
GO:1903944,6
GO:0090403,6
