,0
GO:0060298,9
GO:0006515,9
GO:0007212,8
GO:1903998,8
GO:0046580,8
GO:0048015,8
GO:0007528,8
GO:0019915,8
GO:1903554,8
GO:0040027,8
GO:0070816,8
GO:0006814,7
GO:0006508,7
GO:0090502,7
GO:0031047,7
GO:0045664,7
GO:0000028,7
GO:0042771,7
GO:0060290,7
GO:0015986,7
GO:0006378,7
GO:0050877,7
GO:0006122,7
GO:0006457,7
GO:0031098,7
GO:0006260,7
GO:0006754,7
GO:0030334,7
GO:0070212,7
GO:2000786,7
GO:0006744,7
GO:0043053,7
GO:0000387,7
GO:0045931,7
GO:0007155,7
GO:0007517,7
GO:0007210,7
GO:0032509,7
GO:0006749,7
GO:0007411,6
GO:0038202,6
GO:0006556,6
GO:0006417,6
GO:0006635,6
GO:0043065,6
GO:0060378,6
GO:0046626,6
GO:0006886,6
GO:0043054,6
GO:0046856,6
GO:0006370,6
GO:0000278,6
GO:0006366,6
GO:1905515,6
GO:0007409,6
GO:0036498,6
GO:0032508,6
GO:0016239,6
GO:0040010,6
GO:0061063,6
GO:1902667,6
GO:0048557,6
GO:0006108,6
GO:0000462,6
GO:0040015,6
GO:0019752,6
GO:0050807,6
GO:0006418,6
GO:0006360,6
GO:0000003,6
GO:0035966,6
GO:0051131,6
GO:0071076,6
GO:0034314,6
GO:0007266,6
GO:0006364,6
GO:0050790,6
GO:0000165,6
GO:0046513,6
GO:0007281,6
GO:0097500,6
GO:0002376,6
GO:0031344,6
GO:0000226,6
GO:0042692,6
GO:0006094,6
GO:0040012,6
GO:0045892,6
GO:0040028,6
GO:0006986,6
GO:0007631,6
GO:0007283,6
GO:0016310,6
GO:1990834,6
GO:0006995,6
GO:0050921,6
GO:0046662,6
GO:0030968,6
GO:0000281,6
GO:0030148,6
GO:0023014,5
GO:0007168,5
GO:1904747,5
GO:0010508,5
GO:1901046,5
GO:0050770,5
GO:0001666,5
GO:0098656,5
GO:0001934,5
GO:0050893,5
GO:0006801,5
GO:0006289,5
GO:0006972,5
GO:0032786,5
GO:0000724,5
GO:0030433,5
GO:0007018,5
GO:0040001,5
GO:0010035,5
GO:0006414,5
GO:0061067,5
GO:1904576,5
GO:0034220,5
GO:0010171,5
GO:0006887,5
GO:2000677,5
GO:0034551,5
GO:0007165,5
GO:0007268,5
GO:0007173,5
GO:0006102,5
GO:0070482,5
GO:0006382,5
GO:0050913,5
GO:0008355,5
GO:0006813,5
GO:0048477,5
GO:0034626,5
GO:0018108,5
GO:0005975,5
GO:0008045,5
GO:2000785,5
GO:0010506,5
GO:0060395,5
GO:0043476,5
GO:0030509,5
GO:0009653,5
GO:0048644,5
GO:0061065,5
GO:0007179,5
GO:0048599,5
GO:0043051,5
GO:0000470,5
GO:0001676,5
GO:0072327,5
GO:0016311,5
GO:0006629,5
GO:0043050,5
GO:0016567,5
GO:0032880,5
GO:0042659,5
GO:0006990,5
GO:0008380,5
GO:0031053,5
GO:0045087,5
GO:0043058,5
GO:0045944,5
GO:0006811,5
GO:0060465,5
GO:0010629,5
GO:0030512,5
GO:0019430,5
GO:0006665,5
GO:0045165,5
GO:1903356,5
GO:0006685,5
GO:0006090,5
GO:0000122,5
GO:0009058,5
GO:0006914,5
GO:0043277,5
GO:0006906,5
GO:0042078,5
GO:0016192,5
GO:1903361,5
GO:0043068,5
GO:0007626,5
GO:0006281,5
GO:0000027,5
GO:0032956,5
GO:0032008,5
GO:0007059,5
GO:0006412,5
GO:0007017,5
GO:0051321,5
GO:0031629,5
GO:0016477,5
GO:0030163,5
GO:0046034,5
GO:0006123,5
GO:0030150,5
GO:0060279,5
GO:0030422,5
GO:0007218,4
GO:0070588,4
GO:0040017,4
GO:0015031,4
GO:0042776,4
GO:0040039,4
GO:0051568,4
GO:0045727,4
GO:0048382,4
GO:0042542,4
GO:0007005,4
GO:0010628,4
GO:0010507,4
GO:0055114,4
GO:0014057,4
GO:0050829,4
GO:1902600,4
GO:0046716,4
GO:0002183,4
GO:0006631,4
GO:0007276,4
GO:0035556,4
GO:0061066,4
GO:0055085,4
GO:0006099,4
GO:0006935,4
GO:0040011,4
GO:0007568,4
GO:0006006,4
GO:0007611,4
GO:0007635,4
GO:0008582,4
GO:0007188,4
GO:0009887,4
GO:0007219,4
GO:1901562,4
GO:0050920,4
GO:0055072,4
GO:0006869,4
GO:1902075,4
