,0
GO:0006878,9
GO:0034727,9
GO:0006094,9
GO:0008202,9
GO:0043410,9
GO:0019725,9
GO:0007163,9
GO:0006629,9
GO:1904785,9
GO:0097500,9
GO:0008152,8
GO:0006259,8
GO:0051028,8
GO:0043039,8
GO:0040040,8
GO:0035249,8
GO:1903742,8
GO:0006270,8
GO:0046034,8
GO:0035017,8
GO:0010507,8
GO:0006636,8
GO:0071034,8
GO:0036376,8
GO:0034435,8
GO:0008610,8
GO:0032435,8
GO:0090503,8
GO:0045165,8
GO:1905845,8
GO:0006370,8
GO:0008104,8
GO:0006744,8
GO:0010506,8
GO:0006446,8
GO:0089700,8
GO:0038066,8
GO:0060079,8
GO:0006814,8
GO:0000132,8
GO:0051276,8
GO:0042407,8
GO:1904659,8
GO:0007548,8
GO:0045995,8
GO:0051228,8
GO:0051096,8
GO:0006801,8
GO:0043407,8
GO:0007064,8
GO:0097240,8
GO:0032223,8
GO:0016571,8
GO:0046686,8
GO:0006030,8
GO:0035545,8
GO:0034975,7
GO:1904000,7
GO:0031103,7
GO:1903354,7
GO:0006325,7
GO:0048691,7
GO:0006635,7
GO:0007274,7
GO:0060078,7
GO:0044272,7
GO:0061433,7
GO:0034626,7
GO:1901800,7
GO:0009952,7
GO:1904184,7
GO:0007216,7
GO:0007622,7
GO:0014057,7
GO:0042759,7
GO:0030148,7
GO:0071926,7
GO:1904081,7
GO:0009266,7
GO:0007549,7
GO:0019805,7
GO:1903361,7
GO:0071985,7
GO:0035435,7
GO:0051301,7
GO:0006915,7
GO:0031647,7
GO:0042981,7
GO:0070828,7
GO:0001556,7
GO:1905516,7
GO:0042073,7
GO:0090727,7
GO:0033314,7
GO:0001934,7
GO:0006183,7
GO:1904808,7
GO:0034427,7
GO:0030001,7
GO:0006165,7
GO:0009653,7
GO:0060395,7
GO:1902104,7
GO:0002821,7
GO:0050927,7
GO:0046626,7
GO:0008033,7
GO:0043055,7
GO:0007094,7
GO:0007218,7
GO:0061408,7
GO:0045292,7
GO:0043113,7
GO:0007131,7
GO:1904576,7
GO:0016267,7
GO:0006904,7
GO:0035329,7
GO:0010446,7
GO:0006435,7
GO:0015718,7
GO:0007419,7
GO:0006401,7
GO:0040036,7
GO:0042256,7
GO:0018401,7
GO:1903401,7
GO:2000292,7
GO:0048194,7
GO:0042274,7
GO:0051603,7
GO:0050658,7
GO:0006497,7
GO:0034497,7
GO:2001235,7
GO:0000288,7
GO:0033554,7
GO:0006108,7
GO:0010225,7
GO:0044778,7
GO:0045862,7
GO:1902883,7
GO:0006886,7
GO:0046627,7
GO:0001731,7
GO:0034504,7
GO:0072327,7
GO:0030703,7
GO:0097112,7
GO:0019752,7
GO:0010038,7
GO:0048546,7
GO:0051610,7
GO:0071805,7
GO:0098719,7
GO:0006891,7
GO:0048013,7
GO:0006368,7
GO:0080144,7
GO:0098971,7
GO:1905941,7
GO:0035046,7
GO:0042938,7
GO:2000251,7
GO:0006974,7
GO:0043053,7
GO:0048284,7
GO:0045454,7
GO:0030334,7
GO:0006897,7
GO:0008203,7
GO:0015031,7
GO:1903935,7
GO:0090502,7
GO:0006367,7
GO:0014065,7
GO:0006413,6
GO:0042732,6
GO:0032006,6
GO:0007179,6
GO:0030536,6
GO:0018107,6
GO:0071363,6
GO:0033108,6
GO:0033540,6
GO:1900426,6
GO:0005998,6
GO:1903508,6
GO:0016236,6
GO:0002119,6
GO:0016071,6
GO:0006256,6
GO:0042135,6
GO:0001732,6
GO:0032511,6
GO:0006900,6
GO:0007166,6
GO:0043001,6
GO:0019287,6
GO:0070475,6
GO:0007015,6
GO:0043518,6
GO:0046579,6
GO:1900195,6
GO:0006366,6
GO:0010629,6
GO:0030511,6
GO:0006412,6
GO:0071422,6
GO:0018197,6
GO:0006479,6
GO:0098656,6
GO:0043401,6
GO:0050821,6
GO:0006309,6
GO:0006937,6
GO:1901075,6
GO:0046688,6
GO:0016998,6
GO:0007281,6
GO:0044211,6
GO:0044206,6
GO:0031098,6
GO:0032147,6
GO:0006360,6
GO:0042713,6
GO:0008285,6
GO:0007617,6
GO:0045893,6
GO:0007571,6
GO:0007160,6
GO:0048565,6
GO:0045887,6
GO:0043620,6
GO:0050708,6
GO:0097720,6
GO:0007040,6
GO:0060456,6
GO:0015809,6
GO:0055093,6
GO:0050877,6
GO:0007099,6
GO:0007199,6
GO:0009996,6
GO:0070509,6
GO:0048677,6
GO:0045747,6
GO:2000369,6
GO:1904108,6
GO:1905868,6
GO:1902647,6
GO:0009306,6
GO:0006754,6
GO:0006811,6
GO:0046015,6
GO:0008277,6
GO:1904508,6
GO:0070932,6
GO:0008053,6
GO:0050808,6
GO:0050803,6
GO:1900409,6
GO:0006685,6
GO:1901562,6
GO:0006265,6
GO:0002225,6
GO:0031629,6
GO:0042989,6
GO:0050921,6
GO:1900075,6
GO:0030239,6
GO:0042692,6
GO:0030838,6
GO:0030240,6
GO:0045987,6
GO:0051896,6
GO:0008039,6
GO:0005975,6
GO:0007169,6
GO:0010888,6
GO:1990504,6
GO:0046855,6
GO:0006906,6
GO:0071689,6
GO:0016191,6
GO:0010753,6
GO:0008355,6
GO:1905910,6
GO:0061789,6
GO:0030514,6
GO:0042661,6
GO:0016081,6
GO:0019430,6
GO:0050806,6
GO:0071333,6
GO:2000008,6
GO:0009409,6
GO:1901098,6
GO:0035725,6
GO:0007286,6
GO:1902475,6
GO:1902685,6
GO:0019344,6
GO:0099161,6
GO:0006357,6
GO:0016199,6
GO:0006228,6
GO:0110039,6
GO:0016540,6
GO:0044255,6
GO:0032781,6
GO:0030150,6
GO:0007635,6
GO:0048678,6
GO:0009791,6
GO:0003333,6
GO:0006120,6
GO:0000492,6
GO:0006879,6
GO:0046834,6
GO:0050714,6
GO:0032981,6
GO:0042136,6
GO:0006567,6
GO:0010499,6
GO:0042325,6
GO:0006979,6
GO:0060733,6
GO:0006935,6
GO:0010821,6
GO:1903506,6
GO:0030968,6
GO:0070544,6
GO:0006011,6
GO:0098532,6
GO:0048681,6
GO:0070734,6
GO:0032801,6
GO:0009099,6
GO:0036124,6
GO:0035336,6
GO:0007264,6
GO:0006470,6
GO:0009083,6
GO:0031054,6
GO:0051131,6
GO:0071076,6
GO:0051447,6
GO:0015866,6
GO:0008284,6
GO:0009792,6
GO:0071233,6
GO:0042776,6
GO:0006267,6
GO:0006739,6
GO:0045214,6
GO:0045842,6
GO:0032515,6
GO:0043248,6
GO:0010035,6
GO:0007129,6
GO:0043327,6
GO:0006471,6
GO:1902075,6
GO:0001736,6
GO:0033627,6
GO:0090065,6
GO:0006348,6
GO:0006272,6
GO:0098542,6
GO:0008356,6
GO:0006400,6
GO:0034620,6
GO:0032508,6
GO:0006810,6
GO:0007411,6
GO:0070328,6
GO:0006260,6
GO:0034354,6
GO:0000003,6
GO:0031573,6
GO:0018344,6
GO:0045324,6
GO:0009410,6
GO:0009408,6
GO:0071049,6
GO:0048568,6
GO:0006511,6
GO:0005986,6
GO:1903554,6
GO:0000727,6
GO:0071035,6
GO:0018342,6
GO:0065002,6
GO:0006569,6
GO:0060178,5
GO:0000226,5
GO:0030539,5
GO:0051085,5
GO:0090385,5
GO:0006452,5
GO:0045905,5
GO:0098664,5
GO:0008630,5
GO:0000724,5
GO:0046513,5
GO:0000165,5
GO:0051345,5
GO:0019722,5
GO:0038203,5
GO:0007257,5
GO:0006730,5
GO:0006417,5
GO:0030050,5
GO:0050829,5
GO:0098869,5
GO:2000193,5
GO:1902856,5
GO:0032446,5
GO:0044805,5
GO:0035672,5
GO:0035442,5
GO:0006857,5
GO:2000786,5
GO:0051292,5
GO:0006999,5
GO:0019217,5
GO:0030206,5
GO:0019216,5
GO:0006268,5
GO:1902975,5
GO:0048856,5
GO:0008340,5
GO:0003006,5
GO:0045167,5
GO:0035095,5
GO:0015744,5
GO:0051983,5
GO:0035195,5
GO:0030182,5
GO:1902857,5
GO:0017121,5
GO:0006914,5
GO:0061771,5
GO:0016239,5
GO:1904901,5
GO:1903829,5
GO:0040025,5
GO:1902531,5
GO:0007229,5
GO:1902600,5
GO:0006995,5
GO:1905278,5
GO:0030590,5
GO:0010070,5
GO:0090444,5
GO:0006611,5
GO:0090169,5
GO:0007618,5
GO:0010171,5
GO:1905804,5
GO:0032968,5
GO:0046660,5
GO:0030149,5
GO:1901047,5
GO:0048015,5
GO:0006261,5
GO:0070536,5
GO:0046903,5
GO:0055064,5
GO:0055078,5
GO:0032200,5
GO:0009755,5
GO:0019441,5
