,0
GO:0006696,8
GO:0051568,7
GO:0006310,7
GO:0000196,7
GO:0000027,6
GO:0000183,6
GO:0006357,5
GO:0006887,5
GO:0015918,5
GO:0055114,5
GO:0043254,5
GO:0006914,5
GO:0016567,5
GO:0030435,5
GO:0042144,5
GO:2000251,5
GO:0006189,5
GO:0000184,5
GO:0016573,5
GO:0090305,5
GO:0032258,5
GO:0045944,5
GO:0034599,5
GO:0000463,5
GO:0034497,5
GO:1902600,5
GO:0015986,5
GO:0051666,5
GO:0010737,5
GO:0000447,4
GO:0006351,4
GO:0006412,4
GO:0010507,4
GO:0030010,4
GO:0018105,4
GO:0008298,4
GO:0006099,4
GO:0006413,4
GO:0000372,4
GO:0030433,4
GO:0006501,4
GO:0051017,4
GO:0000028,4
GO:0046856,4
GO:0046855,4
GO:0016126,4
GO:0006890,4
GO:0032147,4
GO:0045899,4
GO:0018107,4
GO:0016560,4
GO:0033617,4
GO:0006397,4
GO:0006336,4
GO:0008654,4
GO:0042026,4
GO:0006879,4
GO:0051301,4
GO:0006260,4
GO:0000723,4
GO:0008152,4
GO:0070086,4
GO:0007049,4
GO:0007031,4
GO:0007165,4
GO:0001302,4
GO:0006486,3
GO:0051028,3
GO:0006342,3
GO:0008150,3
GO:0009060,3
GO:0000011,3
GO:0006164,3
GO:0043248,3
GO:0007035,3
GO:0000422,3
GO:0031505,3
GO:0030163,3
GO:0015031,3
GO:0000083,3
GO:0006364,3
GO:0000462,3
GO:0006808,3
GO:0034727,3
GO:0006730,3
GO:0009086,3
GO:0045324,3
GO:0006414,3
GO:0045116,3
GO:0000001,3
GO:0002098,3
GO:0006506,3
GO:0006508,3
GO:0006869,3
GO:0016558,3
GO:0034551,3
GO:0035556,3
GO:0006897,3
GO:0007034,3
GO:0042744,3
GO:0006325,3
GO:0006261,3
GO:0006623,3
GO:0061709,3
GO:0006457,3
GO:0017148,3
GO:0007089,3
GO:0016925,3
GO:0007131,3
GO:0000722,3
GO:0000077,3
GO:0008652,3
GO:0015867,3
GO:0043085,3
GO:0006468,3
GO:0006102,3
GO:0008361,3
GO:0016310,3
GO:0000147,3
GO:0046854,3
GO:0006986,3
GO:0006303,3
GO:0006906,3
GO:0007265,3
GO:0006289,3
GO:0002181,3
GO:0006515,3
GO:0032880,3
GO:0042254,3
GO:0000122,3
GO:0007064,3
GO:0006338,3
GO:0044804,3
GO:0016575,3
GO:0032968,3
GO:0006487,2
GO:0000729,2
GO:0000079,2
GO:0006811,2
GO:0016579,2
GO:0042147,2
GO:0008033,2
GO:0016226,2
GO:0045454,2
GO:0006470,2
GO:0035269,2
GO:0051726,2
GO:0032508,2
GO:0030437,2
GO:0007005,2
GO:0006094,2
GO:0046777,2
GO:0001403,2
GO:0000132,2
GO:0030466,2
GO:0006915,2
GO:0055085,2
GO:0000002,2
GO:0007059,2
GO:0060237,2
GO:0006511,2
GO:0061408,2
GO:0051321,2
GO:0042273,2
GO:0006355,2
GO:0031573,2
GO:0000724,2
GO:0009435,2
GO:0005975,2
GO:0006116,2
GO:0071555,2
GO:0032979,2
GO:0006888,2
GO:0010255,2
GO:0043161,2
GO:0006974,2
GO:0006096,2
GO:0016236,2
GO:0006744,2
GO:0032259,2
GO:0030242,2
GO:0006348,2
GO:0000045,2
GO:0009085,1
GO:0046513,1
GO:0006629,1
GO:0031939,1
GO:0034316,1
GO:0007124,1
GO:0006817,1
GO:0043433,1
GO:0006886,1
GO:0032511,1
GO:0044805,1
GO:0006368,1
GO:0016192,1
GO:0031930,1
GO:0007015,1
GO:0006122,1
GO:0032543,1
GO:0000209,1
GO:0006281,1
GO:0035066,1
GO:0006865,1
GO:0006298,0
GO:0006417,0
