,0
GO:1990986,9
GO:0042770,9
GO:1900430,8
GO:0007094,8
GO:0007190,8
GO:0034727,8
GO:0001308,8
GO:0005978,8
GO:0000723,8
GO:0006085,8
GO:0006491,8
GO:0032780,8
GO:0016237,8
GO:0036258,8
GO:0033215,8
GO:0009083,8
GO:0042594,8
GO:0016575,8
GO:0001111,8
GO:0009061,7
GO:0051598,7
GO:0035435,7
GO:0070814,7
GO:0000955,7
GO:0015755,7
GO:0000729,7
GO:0051038,7
GO:0046084,7
GO:0031507,7
GO:0061091,7
GO:0006627,7
GO:0036092,7
GO:1902660,7
GO:0006097,7
GO:1903827,7
GO:0098869,7
GO:0055114,7
GO:0019919,7
GO:0010621,7
GO:1903475,7
GO:0000117,7
GO:0046513,7
GO:0009303,7
GO:0007076,7
GO:0006676,7
GO:0044539,7
GO:0010044,7
GO:0007163,7
GO:0015861,7
GO:0061025,7
GO:0030643,7
GO:0007093,7
GO:0006310,7
GO:0061408,7
GO:0006368,7
GO:0006891,7
GO:0019236,7
GO:0051300,7
GO:0000947,7
GO:0000413,7
GO:0043044,7
GO:0009073,7
GO:0006412,7
GO:0006457,7
GO:0010697,7
GO:0071930,7
GO:0034755,7
GO:0035690,7
GO:0006520,7
GO:0006111,7
GO:2000480,7
GO:0006289,7
GO:0097271,7
GO:0034355,7
GO:0046580,7
GO:0007234,7
GO:0070262,7
GO:0097080,7
GO:0070414,7
GO:0046521,7
GO:1904263,7
GO:0000734,7
GO:0006121,7
GO:0018293,7
GO:0140042,7
GO:0018002,7
GO:0007121,7
GO:0006555,7
GO:0042149,7
GO:0051775,7
GO:1901799,7
GO:1905339,7
GO:0015693,7
GO:0006336,7
GO:0051594,7
GO:2000219,7
GO:0000186,7
GO:0045937,7
GO:0071255,7
GO:0018108,7
GO:2000677,7
GO:0044773,7
GO:0071459,7
GO:0043457,7
GO:0070933,7
GO:0051301,7
GO:0034398,7
GO:0001315,7
GO:2000251,7
GO:0070873,7
GO:0043547,7
GO:0006277,7
GO:0071934,6
GO:0019427,6
GO:0006269,6
GO:0000462,6
GO:0047484,6
GO:0006883,6
GO:0009268,6
GO:0034213,6
GO:0042256,6
GO:0000281,6
GO:0042148,6
GO:0015847,6
GO:0032581,6
GO:0006879,6
GO:0097552,6
GO:0046653,6
GO:0000724,6
GO:0072742,6
GO:0043971,6
GO:0010212,6
GO:0097466,6
GO:0000448,6
GO:0045002,6
GO:0018107,6
GO:0016925,6
GO:2001278,6
GO:0071788,6
GO:0008295,6
GO:2000002,6
GO:0030150,6
GO:0034504,6
GO:0097745,6
GO:0006995,6
GO:0009267,6
GO:2000060,6
GO:0030836,6
GO:0060256,6
GO:0060237,6
GO:0051016,6
GO:1905117,6
GO:0007568,6
GO:0030163,6
GO:0032488,6
GO:0002100,6
GO:0016242,6
GO:0097043,6
GO:0034496,6
GO:0032979,6
GO:0090207,6
GO:0006631,6
GO:0098655,6
GO:0015813,6
GO:0006623,6
GO:0045324,6
GO:0031496,6
GO:0046839,6
GO:0046854,6
GO:0000425,6
GO:0006103,6
GO:0006571,6
GO:0035725,6
GO:2001042,6
GO:0006067,6
GO:0051131,6
GO:0042326,6
GO:0046677,6
GO:0051603,6
GO:0009306,6
GO:0046889,6
GO:0017183,6
GO:0032465,6
GO:1901858,6
GO:0006506,6
GO:0006505,6
GO:0006508,6
GO:0043066,6
GO:0034622,6
GO:1903833,6
GO:0043161,6
GO:0010673,6
GO:0032888,6
GO:0043328,6
GO:0042274,6
GO:0010992,6
GO:0006730,6
GO:0044267,6
GO:0031509,6
GO:0046686,6
GO:0050790,6
GO:0006015,6
GO:0033157,6
GO:0006465,6
GO:0030071,6
GO:0000949,6
GO:1904524,6
GO:0009092,6
GO:0061647,6
GO:0070681,6
GO:0007062,6
GO:0034968,6
GO:1903341,6
GO:0006268,6
GO:0101018,6
GO:0035434,6
GO:0034356,6
GO:0120009,6
GO:0019344,6
GO:0032515,6
GO:0006406,6
GO:0007535,6
GO:0090615,6
GO:0006808,6
GO:0010606,6
GO:0060211,6
GO:2000766,6
GO:0010607,6
GO:0030488,6
GO:0006869,6
GO:0006556,6
GO:0006897,6
GO:0001558,6
GO:0035621,6
GO:0007004,6
GO:0010995,6
GO:0032995,6
GO:0007124,6
GO:0006000,6
GO:1903778,6
GO:0043653,6
GO:0006325,6
GO:0008156,6
GO:0045333,6
GO:0006501,6
GO:0000423,6
GO:0042546,6
GO:0090262,6
GO:0015856,6
GO:0009117,6
GO:0071421,6
GO:0006163,6
GO:0015871,6
GO:0051156,6
GO:1900749,6
GO:0070152,6
GO:0042262,6
GO:0019433,6
GO:0034975,6
GO:0044255,6
GO:0006334,6
GO:0006896,6
GO:0051125,6
GO:0001178,6
GO:0071166,6
GO:0001678,6
GO:0000433,6
GO:0006096,6
GO:0000964,6
GO:0048285,6
GO:0090158,6
GO:0044257,6
GO:1903826,6
GO:0015802,6
GO:1903508,6
GO:0061606,6
GO:0006661,6
GO:0016241,6
GO:0034629,6
GO:0010106,6
GO:0061987,6
GO:0010499,6
GO:0051865,6
GO:0030447,6
GO:0006083,6
GO:0042144,6
GO:0044772,6
GO:0045719,6
GO:0006979,6
GO:0032218,6
GO:0006564,6
GO:0006675,6
GO:0035556,6
GO:1904659,6
GO:0006281,6
GO:0008637,6
GO:0008152,6
GO:0045041,6
GO:0000001,6
GO:0000266,6
GO:0099022,6
GO:0006366,6
GO:0032264,6
GO:1903710,6
GO:0019363,6
GO:2000786,6
GO:0045772,6
GO:1903711,6
GO:0000022,6
GO:0008652,6
GO:1902047,6
GO:0023014,6
GO:0002128,6
GO:0006855,6
GO:0042981,6
GO:0007131,6
GO:0031954,6
GO:0006626,6
GO:0051321,6
GO:0006116,6
GO:1903450,6
GO:1902416,6
GO:0046856,6
GO:0046855,6
GO:2000105,6
GO:0015696,6
GO:0006895,6
GO:0006783,6
GO:0051444,6
GO:0008298,6
GO:0032048,6
GO:0060631,6
GO:0006616,6
GO:0006629,6
GO:0034729,6
GO:0010973,6
GO:0006098,6
GO:0050849,5
GO:0030149,5
GO:0006546,5
GO:0046822,5
GO:0019752,5
GO:0009051,5
GO:0000147,5
GO:0046514,5
GO:1901987,5
GO:0006469,5
GO:0009408,5
GO:0009052,5
GO:0042743,5
GO:0071951,5
GO:1904184,5
GO:0060733,5
GO:0098704,5
GO:0090155,5
GO:0071474,5
GO:0035542,5
GO:0006275,5
GO:0034389,5
GO:0006557,5
GO:0006409,5
GO:0034613,5
GO:0009249,5
GO:0006464,5
GO:0007074,5
GO:0002092,5
GO:0034514,5
GO:0031397,5
GO:0007346,5
GO:0010791,5
GO:0008645,5
GO:0045016,5
GO:0031935,5
GO:0080058,5
GO:0010691,5
GO:0000209,5
GO:0045141,5
GO:0031204,5
GO:0034620,5
GO:0050708,5
GO:0006906,5
GO:0008360,5
GO:0031321,5
GO:0048278,5
GO:0006544,5
GO:0070407,5
GO:0000320,5
GO:0055072,5
GO:0060261,5
GO:0006662,5
GO:0019264,5
GO:1990139,5
GO:0097428,5
GO:0046579,5
GO:0000752,5
GO:0006405,5
GO:2001295,5
GO:0001933,5
GO:0016973,5
GO:0043970,5
GO:0071028,5
GO:1990145,5
GO:1905037,5
GO:2000679,5
GO:0000470,5
GO:0061912,5
GO:0000735,5
GO:0043967,5
GO:0000736,5
GO:0048309,5
GO:0034488,5
GO:2000616,5
GO:0000463,5
GO:0045047,5
GO:0042147,5
GO:0006486,5
GO:0015706,5
GO:0090173,5
GO:0032781,5
GO:0000184,5
GO:0006625,5
GO:0006279,5
GO:0006047,5
GO:0055092,5
GO:0016578,5
GO:0042493,5
GO:0033617,5
GO:0019933,5
GO:1902270,5
GO:0034260,5
GO:0034229,5
GO:2000221,5
GO:0000920,5
GO:0071243,5
GO:0006493,5
GO:0032527,5
GO:0032265,5
GO:0043103,5
GO:0006873,5
GO:0000296,5
GO:0007035,5
GO:0071441,5
GO:1990545,5
GO:0060303,5
GO:2001246,5
GO:0008315,5
GO:0016584,5
GO:0007114,5
GO:0016052,5
GO:0051173,5
GO:0006363,5
GO:0006694,5
GO:0016485,5
GO:0010498,5
GO:0051568,5
GO:0044206,5
GO:0032889,5
GO:0072530,5
GO:0006890,5
GO:0006282,5
GO:0031648,5
GO:0000028,5
GO:0000479,5
GO:0006751,5
GO:0006298,5
GO:1902426,5
GO:0001079,5
GO:0006144,5
GO:0006397,5
