@RELATION mouse-CC_fold_5_tst

@ATTRIBUTE "longevity influence" REAL
@ATTRIBUTE GO:0005737 REAL
@ATTRIBUTE GO:0005829 REAL
@ATTRIBUTE GO:0009898 REAL
@ATTRIBUTE GO:0016020 REAL
@ATTRIBUTE GO:0034451 REAL
@ATTRIBUTE GO:0043231 REAL
@ATTRIBUTE GO:0070062 REAL
@ATTRIBUTE GO:0001669 REAL
@ATTRIBUTE GO:0005615 REAL
@ATTRIBUTE GO:0005634 REAL
@ATTRIBUTE GO:0005739 REAL
@ATTRIBUTE GO:0005759 REAL
@ATTRIBUTE GO:0031965 REAL
@ATTRIBUTE GO:0005576 REAL
@ATTRIBUTE GO:0005796 REAL
@ATTRIBUTE GO:0062023 REAL
@ATTRIBUTE GO:0000785 REAL
@ATTRIBUTE GO:0005635 REAL
@ATTRIBUTE GO:0005654 REAL
@ATTRIBUTE GO:0005667 REAL
@ATTRIBUTE GO:0005694 REAL
@ATTRIBUTE GO:0005730 REAL
@ATTRIBUTE GO:0016604 REAL
@ATTRIBUTE GO:0032991 REAL
@ATTRIBUTE GO:0032993 REAL
@ATTRIBUTE GO:0035861 REAL
@ATTRIBUTE GO:0043596 REAL
@ATTRIBUTE GO:0090734 REAL
@ATTRIBUTE GO:0005886 REAL
@ATTRIBUTE GO:0014704 REAL
@ATTRIBUTE GO:0030315 REAL
@ATTRIBUTE GO:0030018 REAL
@ATTRIBUTE GO:0042734 REAL
@ATTRIBUTE GO:0045211 REAL
@ATTRIBUTE GO:0098691 REAL
@ATTRIBUTE GO:0098978 REAL
@ATTRIBUTE GO:0098982 REAL
@ATTRIBUTE GO:0005768 REAL
@ATTRIBUTE GO:0005794 REAL
@ATTRIBUTE GO:0016323 REAL
@ATTRIBUTE GO:0030425 REAL
@ATTRIBUTE GO:0031410 REAL
@ATTRIBUTE GO:0031968 REAL
@ATTRIBUTE GO:0055037 REAL
@ATTRIBUTE GO:0005819 REAL
@ATTRIBUTE GO:0005911 REAL
@ATTRIBUTE GO:0015630 REAL
@ATTRIBUTE GO:0031982 REAL
@ATTRIBUTE GO:0036064 REAL
@ATTRIBUTE GO:0005938 REAL
@ATTRIBUTE GO:0016529 REAL
@ATTRIBUTE GO:0032587 REAL
@ATTRIBUTE GO:0032593 REAL
@ATTRIBUTE GO:0005741 REAL
@ATTRIBUTE GO:0005743 REAL
@ATTRIBUTE GO:0005757 REAL
@ATTRIBUTE GO:0043209 REAL
@ATTRIBUTE GO:0045121 REAL
@ATTRIBUTE GO:0005776 REAL
@ATTRIBUTE GO:0005930 REAL
@ATTRIBUTE GO:0030424 REAL
@ATTRIBUTE GO:0034045 REAL
@ATTRIBUTE GO:0034274 REAL
@ATTRIBUTE GO:0044233 REAL
@ATTRIBUTE GO:0061908 REAL
@ATTRIBUTE GO:1990234 REAL
@ATTRIBUTE GO:0005769 REAL
@ATTRIBUTE GO:0005770 REAL
@ATTRIBUTE GO:0005783 REAL
@ATTRIBUTE GO:0005874 REAL
@ATTRIBUTE GO:0009986 REAL
@ATTRIBUTE GO:0031012 REAL
@ATTRIBUTE GO:0031232 REAL
@ATTRIBUTE GO:0034360 REAL
@ATTRIBUTE GO:0034361 REAL
@ATTRIBUTE GO:0034362 REAL
@ATTRIBUTE GO:0034363 REAL
@ATTRIBUTE GO:0034364 REAL
@ATTRIBUTE GO:0034365 REAL
@ATTRIBUTE GO:0042470 REAL
@ATTRIBUTE GO:0042627 REAL
@ATTRIBUTE GO:0043025 REAL
@ATTRIBUTE GO:0043083 REAL
@ATTRIBUTE GO:0097487 REAL
@ATTRIBUTE GO:1903561 REAL
@ATTRIBUTE GO:1990777 REAL
@ATTRIBUTE GO:0033391 REAL
@ATTRIBUTE GO:0034751 REAL
@ATTRIBUTE GO:1990513 REAL
@ATTRIBUTE GO:0000781 REAL
@ATTRIBUTE GO:0005777 REAL
@ATTRIBUTE GO:0005782 REAL
@ATTRIBUTE GO:0005813 REAL
@ATTRIBUTE GO:0005856 REAL
@ATTRIBUTE GO:1990391 REAL
@ATTRIBUTE GO:0014069 REAL
@ATTRIBUTE GO:0045202 REAL
@ATTRIBUTE GO:0106002 REAL
@ATTRIBUTE GO:1990904 REAL
@ATTRIBUTE GO:0005622 REAL
@ATTRIBUTE GO:0005789 REAL
@ATTRIBUTE GO:0031966 REAL
@ATTRIBUTE GO:0046930 REAL
@ATTRIBUTE GO:0048471 REAL
@ATTRIBUTE GO:0071944 REAL
@ATTRIBUTE GO:0097136 REAL
@ATTRIBUTE GO:0097144 REAL
@ATTRIBUTE GO:0097145 REAL
@ATTRIBUTE GO:0000152 REAL
@ATTRIBUTE GO:0000793 REAL
@ATTRIBUTE GO:0000794 REAL
@ATTRIBUTE GO:0000800 REAL
@ATTRIBUTE GO:0001673 REAL
@ATTRIBUTE GO:0001741 REAL
@ATTRIBUTE GO:0031436 REAL
@ATTRIBUTE GO:0043232 REAL
@ATTRIBUTE GO:0070531 REAL
@ATTRIBUTE GO:0070532 REAL
@ATTRIBUTE GO:0070533 REAL
@ATTRIBUTE GO:0000775 REAL
@ATTRIBUTE GO:0000776 REAL
@ATTRIBUTE GO:0000940 REAL
@ATTRIBUTE GO:0033597 REAL
@ATTRIBUTE GO:1990298 REAL
@ATTRIBUTE GO:0005778 REAL
@ATTRIBUTE GO:0062151 REAL
@ATTRIBUTE GO:1905369 REAL
@ATTRIBUTE GO:0000139 REAL
@ATTRIBUTE GO:0002080 REAL
@ATTRIBUTE GO:0002095 REAL
@ATTRIBUTE GO:0005811 REAL
@ATTRIBUTE GO:0005901 REAL
@ATTRIBUTE GO:0005925 REAL
@ATTRIBUTE GO:0005929 REAL
@ATTRIBUTE GO:0009925 REAL
@ATTRIBUTE GO:0016324 REAL
@ATTRIBUTE GO:0042383 REAL
@ATTRIBUTE GO:0000439 REAL
@ATTRIBUTE GO:0001650 REAL
@ATTRIBUTE GO:0005675 REAL
@ATTRIBUTE GO:0019907 REAL
@ATTRIBUTE GO:0070516 REAL
@ATTRIBUTE GO:0070985 REAL
@ATTRIBUTE GO:0000307 REAL
@ATTRIBUTE GO:0070557 REAL
@ATTRIBUTE GO:0016363 REAL
@ATTRIBUTE GO:0035189 REAL
@ATTRIBUTE GO:0036488 REAL
@ATTRIBUTE GO:0090575 REAL
@ATTRIBUTE GO:1990647 REAL
@ATTRIBUTE GO:0000779 REAL
@ATTRIBUTE GO:0005726 REAL
@ATTRIBUTE GO:0005581 REAL
@ATTRIBUTE GO:0005584 REAL
@ATTRIBUTE GO:0030141 REAL
@ATTRIBUTE GO:0110142 REAL
@ATTRIBUTE GO:0005840 REAL
@ATTRIBUTE GO:0005883 REAL
@ATTRIBUTE GO:0016010 REAL
@ATTRIBUTE GO:0030016 REAL
@ATTRIBUTE GO:0030027 REAL
@ATTRIBUTE GO:0030054 REAL
@ATTRIBUTE GO:0030055 REAL
@ATTRIBUTE GO:0030175 REAL
@ATTRIBUTE GO:0030672 REAL
@ATTRIBUTE GO:0031527 REAL
@ATTRIBUTE GO:0042995 REAL
@ATTRIBUTE GO:0043034 REAL
@ATTRIBUTE GO:0044306 REAL
@ATTRIBUTE GO:0097449 REAL
@ATTRIBUTE GO:0099572 REAL
@ATTRIBUTE GO:0099617 REAL
@ATTRIBUTE GO:0005903 REAL
@ATTRIBUTE GO:0017146 REAL
@ATTRIBUTE GO:0032420 REAL
@ATTRIBUTE GO:0032421 REAL
@ATTRIBUTE GO:0032426 REAL
@ATTRIBUTE GO:0043005 REAL
@ATTRIBUTE GO:0000109 REAL
@ATTRIBUTE GO:0000110 REAL
@ATTRIBUTE GO:0070522 REAL
@ATTRIBUTE GO:0005669 REAL
@ATTRIBUTE GO:0071817 REAL
@ATTRIBUTE GO:0005577 REAL
@ATTRIBUTE GO:0005604 REAL
@ATTRIBUTE GO:0005793 REAL
@ATTRIBUTE GO:0099128 REAL
@ATTRIBUTE GO:1990221 REAL
@ATTRIBUTE GO:1990229 REAL
@ATTRIBUTE GO:0005958 REAL
@ATTRIBUTE GO:0043564 REAL
@ATTRIBUTE GO:0070418 REAL
@ATTRIBUTE GO:0070419 REAL
@ATTRIBUTE GO:0005802 REAL
@ATTRIBUTE GO:0070195 REAL
@ATTRIBUTE GO:0009897 REAL
@ATTRIBUTE GO:0036464 REAL
@ATTRIBUTE GO:0043235 REAL
@ATTRIBUTE GO:0043195 REAL
@ATTRIBUTE GO:0043204 REAL
@ATTRIBUTE GO:0043679 REAL
@ATTRIBUTE GO:0005637 REAL
@ATTRIBUTE GO:0005640 REAL
@ATTRIBUTE GO:0005764 REAL
@ATTRIBUTE GO:0005765 REAL
@ATTRIBUTE GO:0150053 REAL
@ATTRIBUTE GO:0005814 REAL
@ATTRIBUTE GO:0016234 REAL
@ATTRIBUTE GO:0030136 REAL
@ATTRIBUTE GO:0030659 REAL
@ATTRIBUTE GO:0071598 REAL
@ATTRIBUTE GO:0097060 REAL
@ATTRIBUTE GO:0099523 REAL
@ATTRIBUTE GO:0099524 REAL
@ATTRIBUTE GO:0005721 REAL
@ATTRIBUTE GO:0044305 REAL
@ATTRIBUTE GO:0098666 REAL
@ATTRIBUTE GO:0099154 REAL
@ATTRIBUTE GO:0005614 REAL
@ATTRIBUTE GO:0031091 REAL
@ATTRIBUTE GO:0035867 REAL
@ATTRIBUTE GO:0042567 REAL
@ATTRIBUTE GO:0070382 REAL
@ATTRIBUTE GO:0099013 REAL
@ATTRIBUTE GO:0005899 REAL
@ATTRIBUTE GO:1902911 REAL
@ATTRIBUTE GO:0008385 REAL
@ATTRIBUTE GO:0035631 REAL
@ATTRIBUTE GO:0031981 REAL
@ATTRIBUTE GO:0032590 REAL
@ATTRIBUTE GO:0032809 REAL
@ATTRIBUTE GO:0044297 REAL
@ATTRIBUTE GO:0060417 REAL
@ATTRIBUTE GO:0017053 REAL
@ATTRIBUTE GO:0035976 REAL
@ATTRIBUTE GO:0008076 REAL
@ATTRIBUTE GO:0034702 REAL
@ATTRIBUTE GO:0005638 REAL
@ATTRIBUTE GO:0005652 REAL
@ATTRIBUTE GO:0005882 REAL
@ATTRIBUTE GO:0016607 REAL
@ATTRIBUTE GO:0005664 REAL
@ATTRIBUTE GO:0042555 REAL
@ATTRIBUTE GO:0071162 REAL
@ATTRIBUTE GO:0032301 REAL
@ATTRIBUTE GO:0032302 REAL
@ATTRIBUTE GO:0000791 REAL
@ATTRIBUTE GO:0071943 REAL
@ATTRIBUTE GO:0090571 REAL
@ATTRIBUTE GO:0035525 REAL
@ATTRIBUTE GO:0045177 REAL
@ATTRIBUTE GO:0000407 REAL
@ATTRIBUTE GO:0000932 REAL
@ATTRIBUTE GO:0016235 REAL
@ATTRIBUTE GO:0016605 REAL
@ATTRIBUTE GO:0044753 REAL
@ATTRIBUTE GO:0044754 REAL
@ATTRIBUTE GO:0097225 REAL
@ATTRIBUTE GO:0097413 REAL
@ATTRIBUTE GO:0042583 REAL
@ATTRIBUTE GO:0097180 REAL
@ATTRIBUTE GO:1904090 REAL
@ATTRIBUTE GO:0098637 REAL
@ATTRIBUTE GO:1905370 REAL
@ATTRIBUTE GO:0005760 REAL
@ATTRIBUTE GO:0042645 REAL
@ATTRIBUTE GO:0106068 REAL
@ATTRIBUTE GO:0005952 REAL
@ATTRIBUTE GO:0043197 REAL
@ATTRIBUTE GO:0043198 REAL
@ATTRIBUTE GO:0097546 REAL
@ATTRIBUTE GO:0098794 REAL
@ATTRIBUTE GO:0035749 REAL
@ATTRIBUTE GO:0043220 REAL
@ATTRIBUTE GO:0010008 REAL
@ATTRIBUTE GO:0070161 REAL
@ATTRIBUTE GO:0070435 REAL
@ATTRIBUTE GO:0000118 REAL
@ATTRIBUTE GO:0000782 REAL
@ATTRIBUTE GO:0000783 REAL
@ATTRIBUTE GO:0070187 REAL
@ATTRIBUTE GO:0000333 REAL
@ATTRIBUTE GO:0005697 REAL
@ATTRIBUTE GO:0031379 REAL
@ATTRIBUTE GO:1990572 REAL
@ATTRIBUTE GO:0140225 REAL
@ATTRIBUTE GO:0005657 REAL
@ATTRIBUTE GO:0043073 REAL
@ATTRIBUTE GO:0005662 REAL
@ATTRIBUTE GO:0045171 REAL
@ATTRIBUTE GO:0032040 REAL
@ATTRIBUTE GO:0099115 REAL
@ATTRIBUTE GO:0000151 REAL
@ATTRIBUTE GO:0031371 REAL
@ATTRIBUTE GO:0042405 REAL
@ATTRIBUTE GO:0101031 REAL
@ATTRIBUTE GO:0012505 REAL
@ATTRIBUTE GO:0031931 REAL
@ATTRIBUTE GO:0031932 REAL
@ATTRIBUTE GO:0045335 REAL
@ATTRIBUTE GO:0005758 REAL
@ATTRIBUTE GO:0017101 REAL
@ATTRIBUTE GO:0005643 REAL
@ATTRIBUTE GO:0097431 REAL
@ATTRIBUTE GO:0097038 REAL
@ATTRIBUTE GO:0000792 REAL
@ATTRIBUTE GO:0005677 REAL
@ATTRIBUTE GO:0030426 REAL
@ATTRIBUTE GO:0033553 REAL
@ATTRIBUTE GO:0035098 REAL
@ATTRIBUTE GO:0061773 REAL
@ATTRIBUTE GO:0000922 REAL
@ATTRIBUTE GO:0000930 REAL
@ATTRIBUTE GO:0032391 REAL
@ATTRIBUTE GO:0015629 REAL
@ATTRIBUTE GO:0030496 REAL
@ATTRIBUTE GO:0005884 REAL
@ATTRIBUTE GO:0005731 REAL
@ATTRIBUTE GO:0005942 REAL
@ATTRIBUTE GO:0072686 REAL
@ATTRIBUTE GO:0001726 REAL
@ATTRIBUTE GO:0031252 REAL
@ATTRIBUTE GO:0097443 REAL
@ATTRIBUTE GO:0070310 REAL
@ATTRIBUTE GO:0016442 REAL
@ATTRIBUTE GO:0030877 REAL

@DATA
1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
