"organism","populationSize","mutationProbability","crossoverProbability","runningDataset","fold","GMean","selectionRate","Best GMean AGMO"
"Drosophila melanogaster","0","0.0","0.0","BP","0","0.36313651960128146","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BP","1","0.36313651960128146","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BP","2","0.5135525910130955","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BP","3","0.0","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BP","4","0.4447495899966607","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BP","5","0.6123724356957945","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BP","6","0.5","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BP","7","0.3227486121839514","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BP","8","0.32732683535398854","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BP","9","0.4879500364742666","1.0","0.0"
"Mus musculus","0","0.0","0.0","BP","0","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","BP","1","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","BP","2","0.4472135954999579","1.0","0.0"
"Mus musculus","0","0.0","0.0","BP","3","0.4183300132670378","1.0","0.0"
"Mus musculus","0","0.0","0.0","BP","4","0.4472135954999579","1.0","0.0"
"Mus musculus","0","0.0","0.0","BP","5","0.5","1.0","0.0"
"Mus musculus","0","0.0","0.0","BP","6","0.5773502691896257","1.0","0.0"
"Mus musculus","0","0.0","0.0","BP","7","0.7637626158259734","1.0","0.0"
"Mus musculus","0","0.0","0.0","BP","8","0.7637626158259734","1.0","0.0"
"Mus musculus","0","0.0","0.0","BP","9","0.7071067811865476","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BP","0","0.4509205803662766","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BP","1","0.44272707114895365","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BP","2","0.4919189679432818","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BP","3","0.40774521166467176","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BP","4","0.3158380828546184","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BP","5","0.40012313375695696","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BP","6","0.6513532710778709","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BP","7","0.4466625002869186","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BP","8","0.4507792923852534","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BP","9","0.4779626301941073","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BP","0","0.6324555320336759","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BP","1","0.5855400437691199","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BP","2","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BP","3","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BP","4","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BP","5","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BP","6","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BP","7","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BP","8","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BP","9","0.408248290463863","1.0","0.0"
