"organism","populationSize","mutationProbability","crossoverProbability","runningDataset","fold","GMean","selectionRate","Best GMean AGMO"
"Drosophila melanogaster","200","0.2","0.9","BP","9","0.4879500364742666","0.5656660412757973","0.8451542547285166"
"Drosophila melanogaster","200","0.2","0.9","BP","2","0.33149677206589795","0.5797373358348968","0.9258200997725514"
"Drosophila melanogaster","200","0.2","0.9","BP","7","0.45643546458763845","0.4709193245778612","0.6546536707079771"
"Drosophila melanogaster","200","0.2","0.9","BP","3","0.5135525910130955","0.5703564727954972","0.7559289460184544"
"Drosophila melanogaster","200","0.2","0.9","BP","4","0.5741692517632145","0.5065666041275797","0.7559289460184544"
"Drosophila melanogaster","200","0.2","0.9","BP","6","0.3227486121839514","0.47842401500938087","0.6546536707079771"
"Drosophila melanogaster","200","0.2","0.9","BP","0","0.5135525910130955","0.47560975609756095","0.8451542547285166"
"Drosophila melanogaster","200","0.2","0.9","BP","1","0.5345224838248488","0.5694183864915572","0.7559289460184544"
"Drosophila melanogaster","200","0.2","0.9","BP","5","0.67700320038633","0.5619136960600375","0.6546536707079771"
"Drosophila melanogaster","200","0.2","0.9","BP","8","0.0","0.6181988742964353","0.6546536707079771"
"Mus musculus","200","0.4","0.9","BP","6","0.0","0.46817343173431736","0.5"
"Mus musculus","200","0.4","0.9","BP","1","0.4183300132670378","0.6845018450184502","0.8660254037844386"
"Mus musculus","200","0.4","0.9","BP","4","0.6324555320336759","0.6877306273062731","0.7071067811865476"
"Mus musculus","200","0.4","0.9","BP","3","0.0","0.496309963099631","0.5590169943749475"
"Mus musculus","200","0.4","0.9","BP","5","0.0","0.4769372693726937","0.7071067811865476"
"Mus musculus","200","0.4","0.9","BP","7","0.8660254037844386","0.4912361623616236","0.7071067811865476"
"Mus musculus","200","0.4","0.9","BP","9","0.7071067811865476","0.47370848708487084","0.8660254037844386"
"Mus musculus","200","0.4","0.9","BP","2","0.5","0.6881918819188192","0.8100925873009825"
"Mus musculus","200","0.4","0.9","BP","8","0.816496580927726","0.5106088560885609","0.7071067811865476"
"Mus musculus","200","0.4","0.9","BP","0","0.0","0.6761992619926199","0.8660254037844386"
"Caenorhabditis elegans","100","0.2","0.5","BP","0","0.6090869562984722","0.7860768672951414","0.7123176606712359"
"Caenorhabditis elegans","100","0.2","0.5","BP","3","0.4734320764739993","0.7084844089920233","0.7195494974565272"
"Caenorhabditis elegans","100","0.2","0.5","BP","8","0.418918382071542","0.7563451776649747","0.7448044896552725"
"Caenorhabditis elegans","100","0.2","0.5","BP","6","0.7591802683177137","0.7295141406816533","0.6117682200225718"
"Caenorhabditis elegans","100","0.2","0.5","BP","5","0.6078306738548308","0.7084844089920233","0.7457969011409737"
"Caenorhabditis elegans","100","0.2","0.5","BP","2","0.5058639803407341","0.7976794778825236","0.7065835796489937"
"Caenorhabditis elegans","100","0.2","0.5","BP","1","0.5320917186878487","0.6903553299492385","0.7438107540697584"
"Caenorhabditis elegans","100","0.2","0.5","BP","9","0.3509312031717982","0.8013052936910805","0.7910370692770435"
"Caenorhabditis elegans","100","0.2","0.5","BP","7","0.5012300141587652","0.8571428571428571","0.6976291210468097"
"Caenorhabditis elegans","100","0.2","0.5","BP","4","0.48626453908386463","0.7113850616388687","0.7221147444430225"
"Saccharomyces cerevisiae","150","0.4","0.5","BP","1","0.0","0.4491404011461318","0.0"
"Saccharomyces cerevisiae","150","0.4","0.5","BP","3","0.0","0.46060171919770776","0.0"
"Saccharomyces cerevisiae","150","0.4","0.5","BP","4","0.0","0.47421203438395415","0.0"
"Saccharomyces cerevisiae","150","0.4","0.5","BP","2","0.0","0.46418338108882523","0.0"
"Saccharomyces cerevisiae","150","0.4","0.5","BP","9","0.408248290463863","0.46275071633237824","0.4921254921257382"
"Saccharomyces cerevisiae","150","0.4","0.5","BP","6","0.0","0.4777936962750716","0.4472135954999579"
"Saccharomyces cerevisiae","150","0.4","0.5","BP","8","0.0","0.48424068767908307","0.4472135954999579"
"Saccharomyces cerevisiae","150","0.4","0.5","BP","0","0.6324555320336759","0.6826647564469914","0.4399413450640599"
"Saccharomyces cerevisiae","150","0.4","0.5","BP","5","0.0","0.49283667621776506","0.4472135954999579"
"Saccharomyces cerevisiae","150","0.4","0.5","BP","7","0.0","0.5007163323782235","0.4472135954999579"
