"organism","populationSize","mutationProbability","crossoverProbability","runningDataset","fold","GMean","selectionRate","Best GMean AGMO"
"Drosophila melanogaster","0","0.0","0.0","BPCC","0","0.36313651960128146","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPCC","1","0.3476767476825577","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPCC","2","0.5135525910130955","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPCC","3","0.0","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPCC","4","0.628970902033151","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPCC","5","0.67700320038633","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPCC","6","0.5","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPCC","7","0.45643546458763845","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPCC","8","0.3086066999241838","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPCC","9","0.4879500364742666","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPCC","0","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPCC","1","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPCC","2","0.5916079783099616","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPCC","3","0.4183300132670378","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPCC","4","0.4472135954999579","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPCC","5","0.5","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPCC","6","0.5270462766947299","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPCC","7","0.7637626158259734","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPCC","8","0.7071067811865476","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPCC","9","0.6666666666666666","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPCC","0","0.5424873352604233","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPCC","1","0.5715581911583612","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPCC","2","0.4919189679432818","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPCC","3","0.32163376045133846","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPCC","4","0.36469840431289846","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPCC","5","0.5658595623783125","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPCC","6","0.5766388083288672","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPCC","7","0.4734320764739993","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPCC","8","0.4913036844405175","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPCC","9","0.4507792923852534","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPCC","0","0.6324555320336759","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPCC","1","0.5855400437691199","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPCC","2","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPCC","3","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPCC","4","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPCC","5","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPCC","6","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPCC","7","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPCC","8","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPCC","9","0.408248290463863","1.0","0.0"
