"organism","populationSize","mutationProbability","crossoverProbability","runningDataset","fold","GMean","selectionRate","Best GMean AGMO"
"Drosophila melanogaster","200","0.2","0.9","BPCC","9","0.511766315719159","0.4788844621513944","0.8451542547285166"
"Drosophila melanogaster","200","0.2","0.9","BPCC","4","0.6629935441317959","0.6191235059760957","0.7644707871564383"
"Drosophila melanogaster","200","0.2","0.9","BPCC","2","0.36313651960128146","0.4900398406374502","0.9258200997725514"
"Drosophila melanogaster","200","0.2","0.9","BPCC","3","0.628970902033151","0.6860557768924302","0.7644707871564383"
"Drosophila melanogaster","200","0.2","0.9","BPCC","7","0.45643546458763845","0.6852589641434262","0.8058229640253803"
"Drosophila melanogaster","200","0.2","0.9","BPCC","1","0.7262730392025629","0.6310756972111554","0.7644707871564383"
"Drosophila melanogaster","200","0.2","0.9","BPCC","6","0.5863019699779287","0.6294820717131474","0.7559289460184544"
"Drosophila melanogaster","200","0.2","0.9","BPCC","5","0.5590169943749475","0.6717131474103586","0.7559289460184544"
"Drosophila melanogaster","200","0.2","0.9","BPCC","0","0.628970902033151","0.5083665338645418","0.8827348295047495"
"Drosophila melanogaster","200","0.2","0.9","BPCC","8","0.0","0.6031872509960159","0.6837634587578277"
"Mus musculus","100","0.2","0.9","BPCC","0","0.4472135954999579","0.5974338412189254","0.8660254037844386"
"Mus musculus","100","0.2","0.9","BPCC","3","0.0","0.6299117882919005","0.7071067811865476"
"Mus musculus","100","0.2","0.9","BPCC","5","0.0","0.6740176423416199","0.8660254037844386"
"Mus musculus","100","0.2","0.9","BPCC","4","0.6324555320336759","0.5777866880513232","0.7071067811865476"
"Mus musculus","100","0.2","0.9","BPCC","7","0.0","0.6214915797914996","0.8100925873009825"
"Mus musculus","100","0.2","0.9","BPCC","6","0.0","0.5886126704089816","0.75"
"Mus musculus","100","0.2","0.9","BPCC","8","0.408248290463863","0.5978348035284683","0.8660254037844386"
"Mus musculus","100","0.2","0.9","BPCC","9","0.0","0.48917401764234164","0.8660254037844386"
"Mus musculus","100","0.2","0.9","BPCC","1","0.5477225575051662","0.6391339214113874","0.75"
"Mus musculus","100","0.2","0.9","BPCC","2","0.4472135954999579","0.6427425821972734","0.8660254037844386"
"Caenorhabditis elegans","200","0.2","0.5","BPCC","3","0.593478515844064","0.8406779661016949","0.795233581851359"
"Caenorhabditis elegans","200","0.2","0.5","BPCC","9","0.4962916669854651","0.696045197740113","0.795233581851359"
"Caenorhabditis elegans","200","0.2","0.5","BPCC","2","0.5388702304143923","0.7163841807909604","0.795233581851359"
"Caenorhabditis elegans","200","0.2","0.5","BPCC","8","0.583010701301882","0.6943502824858757","0.8513824469684098"
"Caenorhabditis elegans","200","0.2","0.5","BPCC","6","0.6863374631334739","0.772316384180791","0.7566275220348462"
"Caenorhabditis elegans","200","0.2","0.5","BPCC","0","0.7439810003583247","0.748587570621469","0.7910370692770435"
"Caenorhabditis elegans","200","0.2","0.5","BPCC","4","0.6068167771125167","0.7497175141242938","0.760527689741738"
"Caenorhabditis elegans","200","0.2","0.5","BPCC","5","0.5955500003825581","0.8124293785310734","0.8531181928007244"
"Caenorhabditis elegans","200","0.2","0.5","BPCC","7","0.5459208336840116","0.6717514124293785","0.8338262841799539"
"Caenorhabditis elegans","200","0.2","0.5","BPCC","1","0.7026008204419224","0.8553672316384181","0.8040209600141104"
"Saccharomyces cerevisiae","100","0.2","0.7","BPCC","1","0.4140393356054125","0.469060773480663","0.0"
"Saccharomyces cerevisiae","100","0.2","0.7","BPCC","3","0.0","0.47513812154696133","0.0"
"Saccharomyces cerevisiae","100","0.2","0.7","BPCC","2","0.0","0.4685082872928177","0.0"
"Saccharomyces cerevisiae","100","0.2","0.7","BPCC","6","0.0","0.4767955801104972","0.4472135954999579"
"Saccharomyces cerevisiae","100","0.2","0.7","BPCC","5","0.4407785320154718","0.5922651933701657","0.6324555320336759"
"Saccharomyces cerevisiae","100","0.2","0.7","BPCC","4","0.0","0.47955801104972373","0.0"
"Saccharomyces cerevisiae","100","0.2","0.7","BPCC","8","0.0","0.5668508287292817","0.4472135954999579"
"Saccharomyces cerevisiae","100","0.2","0.7","BPCC","0","0.6324555320336759","0.5651933701657459","0.4472135954999579"
"Saccharomyces cerevisiae","100","0.2","0.7","BPCC","9","0.408248290463863","0.4662983425414365","0.4921254921257382"
"Saccharomyces cerevisiae","100","0.2","0.7","BPCC","7","0.0","0.49558011049723755","0.4472135954999579"
