"organism","populationSize","mutationProbability","crossoverProbability","runningDataset","fold","GMean","selectionRate","Best GMean AGMO"
"Drosophila melanogaster","0","0.0","0.0","BPMF","0","0.5135525910130955","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMF","1","0.33149677206589795","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMF","2","0.628970902033151","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMF","3","0.0","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMF","4","0.4447495899966607","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMF","5","0.5863019699779287","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMF","6","0.5","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMF","7","0.5590169943749475","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMF","8","0.511766315719159","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMF","9","0.511766315719159","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMF","0","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMF","1","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMF","2","0.4472135954999579","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMF","3","0.4183300132670378","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMF","4","0.6324555320336759","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMF","5","0.4714045207910317","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMF","6","0.5270462766947299","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMF","7","0.7071067811865476","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMF","8","0.8819171036881969","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMF","9","0.7071067811865476","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMF","0","0.4827586206896552","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMF","1","0.48260735682233874","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMF","2","0.4601480600247985","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMF","3","0.44250740997385957","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMF","4","0.40774521166467176","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMF","5","0.5263968047576973","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMF","6","0.6103580472254035","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMF","7","0.4466625002869186","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMF","8","0.4868972843601013","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMF","9","0.536821515870478","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMF","0","0.6324555320336759","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMF","1","0.5855400437691199","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMF","2","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMF","3","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMF","4","0.4472135954999579","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMF","5","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMF","6","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMF","7","0.4472135954999579","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMF","8","0.4472135954999579","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMF","9","0.5773502691896257","1.0","0.0"
