"organism","populationSize","mutationProbability","crossoverProbability","runningDataset","fold","GMean","selectionRate","Best GMean AGMO"
"Drosophila melanogaster","150","0.2","0.5","BPMF","3","0.36313651960128146","0.61782999308915","0.7559289460184544"
"Drosophila melanogaster","150","0.2","0.5","BPMF","4","0.5741692517632145","0.48583275742916376","0.7559289460184544"
"Drosophila melanogaster","150","0.2","0.5","BPMF","7","0.5","0.47339322736696615","0.6546536707079771"
"Drosophila melanogaster","150","0.2","0.5","BPMF","1","0.628970902033151","0.6123013130615066","0.7559289460184544"
"Drosophila melanogaster","150","0.2","0.5","BPMF","0","0.5135525910130955","0.5749827228749136","0.8451542547285166"
"Drosophila melanogaster","150","0.2","0.5","BPMF","2","0.5741692517632145","0.6710435383552177","0.9258200997725514"
"Drosophila melanogaster","150","0.2","0.5","BPMF","5","0.47871355387816905","0.46510020732550106","0.5345224838248488"
"Drosophila melanogaster","150","0.2","0.5","BPMF","9","0.5345224838248488","0.5749827228749136","0.8451542547285166"
"Drosophila melanogaster","150","0.2","0.5","BPMF","6","0.0","0.48583275742916376","0.6546536707079771"
"Drosophila melanogaster","150","0.2","0.5","BPMF","8","0.32732683535398854","0.7090532135452661","0.6546536707079771"
"Mus musculus","200","0.2","0.9","BPMF","5","0.5270462766947299","0.5844107868489102","0.75"
"Mus musculus","200","0.2","0.9","BPMF","2","0.6324555320336759","0.5917990395271518","0.8660254037844386"
"Mus musculus","200","0.2","0.9","BPMF","4","0.4183300132670378","0.4972294052456594","0.7071067811865476"
"Mus musculus","200","0.2","0.9","BPMF","7","0.7637626158259734","0.4883635020317695","0.7071067811865476"
"Mus musculus","200","0.2","0.9","BPMF","3","0.4183300132670378","0.6401920945696343","0.8100925873009825"
"Mus musculus","200","0.2","0.9","BPMF","8","0.37267799624996495","0.6335426671592168","0.8100925873009825"
"Mus musculus","200","0.2","0.9","BPMF","1","0.4183300132670378","0.6649427410417437","0.8660254037844386"
"Mus musculus","200","0.2","0.9","BPMF","9","0.7071067811865476","0.4994458810491319","0.8660254037844386"
"Mus musculus","200","0.2","0.9","BPMF","0","0.4472135954999579","0.5958625785001848","0.8660254037844386"
"Mus musculus","200","0.2","0.9","BPMF","6","0.4714045207910317","0.5821943110454377","0.7905694150420949"
"Caenorhabditis elegans","200","0.2","0.5","BPMF","3","0.4913036844405175","0.7753727753727754","0.7123176606712359"
"Caenorhabditis elegans","200","0.2","0.5","BPMF","7","0.5419586809182598","0.7239057239057239","0.6864064729836441"
"Caenorhabditis elegans","200","0.2","0.5","BPMF","1","0.4919189679432818","0.8042328042328042","0.7522156621387672"
"Caenorhabditis elegans","200","0.2","0.5","BPMF","0","0.4973174173053778","0.656084656084656","0.682624590357648"
"Caenorhabditis elegans","200","0.2","0.5","BPMF","6","0.593478515844064","0.8114478114478114","0.5832981110808885"
"Caenorhabditis elegans","200","0.2","0.5","BPMF","9","0.4913036844405175","0.772967772967773","0.7687498496656417"
"Caenorhabditis elegans","200","0.2","0.5","BPMF","4","0.4298011912959396","0.6657046657046657","0.7267093702958147"
"Caenorhabditis elegans","200","0.2","0.5","BPMF","5","0.5316347129188382","0.7320827320827321","0.682624590357648"
"Caenorhabditis elegans","200","0.2","0.5","BPMF","2","0.47693313447593527","0.7104377104377104","0.6986885432532672"
"Caenorhabditis elegans","200","0.2","0.5","BPMF","8","0.5157614295551275","0.7142857142857143","0.6933752452815364"
"Saccharomyces cerevisiae","100","0.2","0.9","BPMF","1","0.4472135954999579","0.4762118491921005","0.4472135954999579"
"Saccharomyces cerevisiae","100","0.2","0.9","BPMF","8","0.0","0.5857271095152603","0.4472135954999579"
"Saccharomyces cerevisiae","100","0.2","0.9","BPMF","2","0.0","0.48114901256732495","0.0"
"Saccharomyces cerevisiae","100","0.2","0.9","BPMF","4","0.6324555320336759","0.4753141831238779","0.0"
"Saccharomyces cerevisiae","100","0.2","0.9","BPMF","3","0.0","0.4793536804308797","0.0"
"Saccharomyces cerevisiae","100","0.2","0.9","BPMF","0","0.6324555320336759","0.5902154398563735","0.4399413450640599"
"Saccharomyces cerevisiae","100","0.2","0.9","BPMF","5","0.4407785320154718","0.5008976660682226","0.6324555320336759"
"Saccharomyces cerevisiae","100","0.2","0.9","BPMF","6","0.0","0.4838420107719928","0.4472135954999579"
"Saccharomyces cerevisiae","100","0.2","0.9","BPMF","7","0.0","0.5875224416517055","0.4472135954999579"
"Saccharomyces cerevisiae","100","0.2","0.9","BPMF","9","0.408248290463863","0.47172351885098746","0.4921254921257382"
