"organism","populationSize","mutationProbability","crossoverProbability","runningDataset","fold","GMean","selectionRate","Best GMean AGMO"
"Drosophila melanogaster","0","0.0","0.0","BPMFCC","0","0.5135525910130955","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMFCC","1","0.33149677206589795","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMFCC","2","0.628970902033151","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMFCC","3","0.0","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMFCC","4","0.628970902033151","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMFCC","5","0.5863019699779287","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMFCC","6","0.5","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMFCC","7","0.5590169943749475","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMFCC","8","0.3450327796711771","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPMFCC","9","0.511766315719159","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMFCC","0","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMFCC","1","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMFCC","2","0.4183300132670378","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMFCC","3","0.4183300132670378","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMFCC","4","0.7745966692414834","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMFCC","5","0.5","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMFCC","6","0.4714045207910317","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMFCC","7","0.7637626158259734","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMFCC","8","0.8819171036881969","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPMFCC","9","0.6666666666666666","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMFCC","0","0.5666095422467236","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMFCC","1","0.5994552881310161","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMFCC","2","0.5016608833298435","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMFCC","3","0.40395215050978234","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMFCC","4","0.40774521166467176","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMFCC","5","0.5263968047576973","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMFCC","6","0.6374981889281722","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMFCC","7","0.4734320764739993","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMFCC","8","0.4913036844405175","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPMFCC","9","0.4734320764739993","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMFCC","0","0.6324555320336759","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMFCC","1","0.5855400437691199","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMFCC","2","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMFCC","3","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMFCC","4","0.4472135954999579","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMFCC","5","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMFCC","6","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMFCC","7","0.4472135954999579","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMFCC","8","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPMFCC","9","0.5773502691896257","1.0","0.0"
