"organism","populationSize","mutationProbability","crossoverProbability","runningDataset","fold","GMean","selectionRate","Best GMean AGMO"
"Drosophila melanogaster","200","0.2","0.5","BPMFCC","9","0.5345224838248488","0.4944987775061125","0.8451542547285166"
"Drosophila melanogaster","200","0.2","0.5","BPMFCC","2","0.6021937915964948","0.4902200488997555","0.8827348295047495"
"Drosophila melanogaster","200","0.2","0.5","BPMFCC","3","0.7262730392025629","0.7597799511002445","0.8058229640253803"
"Drosophila melanogaster","200","0.2","0.5","BPMFCC","4","0.554700196225229","0.636919315403423","0.7644707871564383"
"Drosophila melanogaster","200","0.2","0.5","BPMFCC","6","0.5863019699779287","0.6069682151589242","0.7559289460184544"
"Drosophila melanogaster","200","0.2","0.5","BPMFCC","7","0.5590169943749475","0.64119804400978","0.8451542547285166"
"Drosophila melanogaster","200","0.2","0.5","BPMFCC","1","0.6629935441317959","0.6185819070904646","0.7644707871564383"
"Drosophila melanogaster","200","0.2","0.5","BPMFCC","0","0.628970902033151","0.589242053789731","0.9258200997725514"
"Drosophila melanogaster","200","0.2","0.5","BPMFCC","5","0.6454972243679028","0.6723716381418093","0.7207499701564472"
"Drosophila melanogaster","200","0.2","0.5","BPMFCC","8","0.0","0.6815403422982885","0.6837634587578277"
"Mus musculus","150","0.2","0.9","BPMFCC","2","0.5477225575051662","0.5901747444774151","0.8660254037844386"
"Mus musculus","150","0.2","0.9","BPMFCC","3","0.3872983346207417","0.5829212001318826","0.7071067811865476"
"Mus musculus","150","0.2","0.9","BPMFCC","8","0.5270462766947299","0.6475436861193538","0.8660254037844386"
"Mus musculus","150","0.2","0.9","BPMFCC","7","0.7637626158259734","0.6861193537751401","0.9354143466934853"
"Mus musculus","150","0.2","0.9","BPMFCC","0","0.4472135954999579","0.5077481041872733","0.8660254037844386"
"Mus musculus","150","0.2","0.9","BPMFCC","5","0.0","0.6656775469831849","0.8660254037844386"
"Mus musculus","150","0.2","0.9","BPMFCC","4","0.5477225575051662","0.5934718100890207","0.75"
"Mus musculus","150","0.2","0.9","BPMFCC","6","0.4714045207910317","0.636003956478734","0.8100925873009825"
"Mus musculus","150","0.2","0.9","BPMFCC","9","0.7071067811865476","0.7451368282228816","1.0"
"Mus musculus","150","0.2","0.9","BPMFCC","1","0.4472135954999579","0.6007253544345532","0.8660254037844386"
"Caenorhabditis elegans","100","0.2","0.9","BPMFCC","3","0.44250740997385957","0.7283400809716599","0.7614996105085897"
"Caenorhabditis elegans","100","0.2","0.9","BPMFCC","1","0.6516766035728788","0.5740890688259109","0.7825765365144539"
"Caenorhabditis elegans","100","0.2","0.9","BPMFCC","4","0.4868972843601013","0.6534412955465587","0.7849358319984058"
"Caenorhabditis elegans","100","0.2","0.9","BPMFCC","9","0.5436602822195624","0.7315789473684211","0.7768849952586214"
"Caenorhabditis elegans","100","0.2","0.9","BPMFCC","6","0.6930335969507272","0.7421052631578947","0.7438107540697584"
"Caenorhabditis elegans","100","0.2","0.9","BPMFCC","8","0.5581902495384552","0.6340080971659919","0.8076923076923077"
"Caenorhabditis elegans","100","0.2","0.9","BPMFCC","2","0.5100324414672681","0.7728744939271255","0.8040209600141104"
"Caenorhabditis elegans","100","0.2","0.9","BPMFCC","0","0.7037355735158121","0.7736842105263158","0.7768849952586214"
"Caenorhabditis elegans","100","0.2","0.9","BPMFCC","7","0.5263968047576973","0.7356275303643725","0.8040209600141104"
"Caenorhabditis elegans","100","0.2","0.9","BPMFCC","5","0.6732027706741482","0.6834008097165992","0.7787867973583302"
"Saccharomyces cerevisiae","150","0.2","0.7","BPMFCC","1","0.0","0.4780469341408024","0.4472135954999579"
"Saccharomyces cerevisiae","150","0.2","0.7","BPMFCC","8","0.0","0.4886449659348978","0.4472135954999579"
"Saccharomyces cerevisiae","150","0.2","0.7","BPMFCC","2","0.0","0.4765329295987888","0.0"
"Saccharomyces cerevisiae","150","0.2","0.7","BPMFCC","3","0.0","0.4780469341408024","0.0"
"Saccharomyces cerevisiae","150","0.2","0.7","BPMFCC","0","0.6324555320336759","0.5915972747918243","0.4472135954999579"
"Saccharomyces cerevisiae","150","0.2","0.7","BPMFCC","6","0.0","0.48599545798637395","0.4472135954999579"
"Saccharomyces cerevisiae","150","0.2","0.7","BPMFCC","5","0.4407785320154718","0.4829674489023467","0.6324555320336759"
"Saccharomyces cerevisiae","150","0.2","0.7","BPMFCC","9","0.0","0.47577592732778196","0.4921254921257382"
"Saccharomyces cerevisiae","150","0.2","0.7","BPMFCC","7","0.4472135954999579","0.5919757759273278","0.4472135954999579"
"Saccharomyces cerevisiae","150","0.2","0.7","BPMFCC","4","0.6141195788629908","0.6105223315669946","0.4472135954999579"
