"organism","populationSize","mutationProbability","crossoverProbability","runningDataset","fold","GMean","selectionRate","Best GMean AGMO"
"Drosophila melanogaster","0","0.0","0.0","CC","0","0.5345224838248488","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","CC","1","0.628970902033151","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","CC","2","0.6021937915964948","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","CC","3","0.5345224838248488","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","CC","4","0.5741692517632145","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","CC","5","0.47871355387816905","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","CC","6","0.338501600193165","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","CC","7","0.0","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","CC","8","0.0","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","CC","9","0.511766315719159","1.0","0.0"
"Mus musculus","0","0.0","0.0","CC","0","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","CC","1","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","CC","2","0.5477225575051662","1.0","0.0"
"Mus musculus","0","0.0","0.0","CC","3","0.4472135954999579","1.0","0.0"
"Mus musculus","0","0.0","0.0","CC","4","0.4183300132670378","1.0","0.0"
"Mus musculus","0","0.0","0.0","CC","5","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","CC","6","0.6236095644623235","1.0","0.0"
"Mus musculus","0","0.0","0.0","CC","7","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","CC","8","0.5270462766947299","1.0","0.0"
"Mus musculus","0","0.0","0.0","CC","9","0.5270462766947299","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","CC","0","0.7439810003583247","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","CC","1","0.6309232329149251","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","CC","2","0.601470269571542","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","CC","3","0.6078306738548308","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","CC","4","0.608842882172744","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","CC","5","0.6863374631334739","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","CC","6","0.6930335969507272","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","CC","7","0.3713906763541037","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","CC","8","0.5145661523294675","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","CC","9","0.5701957143905587","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","CC","0","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","CC","1","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","CC","2","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","CC","3","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","CC","4","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","CC","5","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","CC","6","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","CC","7","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","CC","8","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","CC","9","0.0","1.0","0.0"
