"organism","populationSize","mutationProbability","crossoverProbability","runningDataset","fold","GMean","selectionRate","Best GMean AGMO"
"Drosophila melanogaster","150","0.2","0.7","CC","8","0.0","0.43386243386243384","0.5096471914376255"
"Drosophila melanogaster","150","0.2","0.7","CC","2","0.6021937915964948","0.43915343915343913","0.3603749850782236"
"Drosophila melanogaster","150","0.2","0.7","CC","0","0.5345224838248488","0.42857142857142855","0.592156525463792"
"Drosophila melanogaster","150","0.2","0.7","CC","6","0.338501600193165","0.4021164021164021","0.592156525463792"
"Drosophila melanogaster","150","0.2","0.7","CC","3","0.6546536707079771","0.41798941798941797","0.5096471914376255"
"Drosophila melanogaster","150","0.2","0.7","CC","1","0.5741692517632145","0.6084656084656085","0.6446583712203042"
"Drosophila melanogaster","150","0.2","0.7","CC","9","0.3086066999241838","0.6455026455026455","0.5096471914376255"
"Drosophila melanogaster","150","0.2","0.7","CC","7","0.45643546458763845","0.4603174603174603","0.6241877839323592"
"Drosophila melanogaster","150","0.2","0.7","CC","4","0.5241424183609592","0.4708994708994709","0.39477101697586137"
"Drosophila melanogaster","150","0.2","0.7","CC","5","0.0","0.48677248677248675","0.5345224838248488"
"Mus musculus","200","0.2","0.7","CC","1","0.5","0.5674846625766872","0.8100925873009825"
"Mus musculus","200","0.2","0.7","CC","0","0.0","0.5552147239263804","0.8660254037844386"
"Mus musculus","200","0.2","0.7","CC","6","0.6236095644623235","0.49079754601226994","0.75"
"Mus musculus","200","0.2","0.7","CC","2","0.5477225575051662","0.5368098159509203","0.8660254037844386"
"Mus musculus","200","0.2","0.7","CC","8","0.5773502691896257","0.6073619631901841","0.8100925873009825"
"Mus musculus","200","0.2","0.7","CC","4","0.4183300132670378","0.5184049079754601","0.8100925873009825"
"Mus musculus","200","0.2","0.7","CC","3","0.6708203932499369","0.598159509202454","0.8660254037844386"
"Mus musculus","200","0.2","0.7","CC","7","0.7637626158259734","0.5920245398773006","0.8100925873009825"
"Mus musculus","200","0.2","0.7","CC","9","0.44095855184409843","0.4754601226993865","0.8100925873009825"
"Mus musculus","200","0.2","0.7","CC","5","0.0","0.6625766871165644","0.9354143466934853"
"Caenorhabditis elegans","150","0.2","0.5","CC","3","0.6198680933892069","0.5831202046035806","0.7353097805501985"
"Caenorhabditis elegans","150","0.2","0.5","CC","2","0.6241751968366234","0.578005115089514","0.7740235306730041"
"Caenorhabditis elegans","150","0.2","0.5","CC","4","0.6228410989030497","0.6214833759590793","0.7297563831157798"
"Caenorhabditis elegans","150","0.2","0.5","CC","8","0.5396815335320155","0.5652173913043478","0.8127133311198246"
"Caenorhabditis elegans","150","0.2","0.5","CC","6","0.6996656485096532","0.5421994884910486","0.682624590357648"
"Caenorhabditis elegans","150","0.2","0.5","CC","9","0.5396815335320155","0.680306905370844","0.6986885432532672"
"Caenorhabditis elegans","150","0.2","0.5","CC","7","0.6863374631334739","0.4731457800511509","0.7353097805501985"
"Caenorhabditis elegans","150","0.2","0.5","CC","0","0.72863953824536","0.49872122762148335","0.7216024245882199"
"Caenorhabditis elegans","150","0.2","0.5","CC","1","0.6507476271867391","0.6751918158567775","0.7566275220348462"
"Caenorhabditis elegans","150","0.2","0.5","CC","5","0.6447017869439093","0.8337595907928389","0.817251129264453"
"Saccharomyces cerevisiae","150","0.6","0.9","CC","0","0.0","0.42995169082125606","0.0"
"Saccharomyces cerevisiae","150","0.6","0.9","CC","3","0.0","0.43478260869565216","0.0"
"Saccharomyces cerevisiae","150","0.6","0.9","CC","2","0.0","0.42995169082125606","0.0"
"Saccharomyces cerevisiae","150","0.6","0.9","CC","7","0.0","0.43478260869565216","0.0"
"Saccharomyces cerevisiae","150","0.6","0.9","CC","1","0.0","0.4323671497584541","0.0"
"Saccharomyces cerevisiae","150","0.6","0.9","CC","5","0.0","0.4227053140096618","0.0"
"Saccharomyces cerevisiae","150","0.6","0.9","CC","4","0.0","0.42995169082125606","0.0"
"Saccharomyces cerevisiae","150","0.6","0.9","CC","9","0.0","0.4323671497584541","0.0"
"Saccharomyces cerevisiae","150","0.6","0.9","CC","6","0.0","0.45169082125603865","0.0"
"Saccharomyces cerevisiae","150","0.6","0.9","CC","8","0.0","0.427536231884058","0.0"
