"organism","populationSize","mutationProbability","crossoverProbability","runningDataset","fold","GMean","selectionRate","Best GMean AGMO"
"Drosophila melanogaster","0","0.0","0.0","MF","0","0.3779644730092272","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MF","1","0.3476767476825577","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MF","2","0.3779644730092272","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MF","3","0.0","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MF","4","0.0","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MF","5","0.5","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MF","6","0.338501600193165","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MF","7","0.45643546458763845","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MF","8","0.3779644730092272","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MF","9","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","MF","0","0.4472135954999579","1.0","0.0"
"Mus musculus","0","0.0","0.0","MF","1","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","MF","2","0.4472135954999579","1.0","0.0"
"Mus musculus","0","0.0","0.0","MF","3","0.4183300132670378","1.0","0.0"
"Mus musculus","0","0.0","0.0","MF","4","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","MF","5","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","MF","6","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","MF","7","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","MF","8","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","MF","9","0.0","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MF","0","0.47780711932934544","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MF","1","0.18240843529173134","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MF","2","0.4413585143316245","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MF","3","0.4760262442572624","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MF","4","0.3509312031717982","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MF","5","0.3039153369274154","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MF","6","0.26494724821174376","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MF","7","0.3128999903178118","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MF","8","0.3713906763541037","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MF","9","0.3039153369274154","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MF","0","0.4472135954999579","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MF","1","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MF","2","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MF","3","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MF","4","0.6324555320336759","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MF","5","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MF","6","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MF","7","0.4472135954999579","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MF","8","0.4472135954999579","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MF","9","0.408248290463863","1.0","0.0"
