"organism","populationSize","mutationProbability","crossoverProbability","runningDataset","fold","GMean","selectionRate","Best GMean AGMO"
"Drosophila melanogaster","200","0.2","0.9","MF","4","0.0","0.45931758530183725","0.5345224838248488"
"Drosophila melanogaster","200","0.2","0.9","MF","6","0.3227486121839514","0.5538057742782152","0.3223291856101521"
"Drosophila melanogaster","200","0.2","0.9","MF","5","0.3535533905932738","0.5249343832020997","0.5096471914376255"
"Drosophila melanogaster","200","0.2","0.9","MF","3","0.0","0.4199475065616798","0.0"
"Drosophila melanogaster","200","0.2","0.9","MF","0","0.0","0.4409448818897638","0.0"
"Drosophila melanogaster","200","0.2","0.9","MF","7","0.3227486121839514","0.5118110236220472","0.3779644730092272"
"Drosophila melanogaster","200","0.2","0.9","MF","2","0.0","0.46981627296587924","0.6241877839323592"
"Drosophila melanogaster","200","0.2","0.9","MF","8","0.32732683535398854","0.5485564304461942","0.4558423058385518"
"Drosophila melanogaster","200","0.2","0.9","MF","9","0.3450327796711771","0.6010498687664042","0.5096471914376255"
"Drosophila melanogaster","200","0.2","0.9","MF","1","0.0","0.5511811023622047","0.5345224838248488"
"Mus musculus","200","0.2","0.9","MF","1","0.4183300132670378","0.562152133580705","0.8100925873009825"
"Mus musculus","200","0.2","0.9","MF","3","0.4183300132670378","0.588126159554731","0.8660254037844386"
"Mus musculus","200","0.2","0.9","MF","4","0.5477225575051662","0.6753246753246753","0.8100925873009825"
"Mus musculus","200","0.2","0.9","MF","5","0.37267799624996495","0.6567717996289425","0.75"
"Mus musculus","200","0.2","0.9","MF","7","0.37267799624996495","0.6716141001855288","0.8660254037844386"
"Mus musculus","200","0.2","0.9","MF","2","0.4472135954999579","0.47309833024118736","0.7071067811865476"
"Mus musculus","200","0.2","0.9","MF","9","0.44095855184409843","0.5176252319109462","0.8660254037844386"
"Mus musculus","200","0.2","0.9","MF","8","0.4714045207910317","0.6660482374768089","0.8660254037844386"
"Mus musculus","200","0.2","0.9","MF","0","0.3872983346207417","0.601113172541744","0.8660254037844386"
"Mus musculus","200","0.2","0.9","MF","6","0.6454972243679028","0.62708719851577","0.8660254037844386"
"Caenorhabditis elegans","200","0.2","0.5","MF","0","0.5887369337573749","0.7228571428571429","0.6319875663521147"
"Caenorhabditis elegans","200","0.2","0.5","MF","5","0.44250740997385957","0.84","0.6594780076723941"
"Caenorhabditis elegans","200","0.2","0.5","MF","8","0.5109635445336238","0.7442857142857143","0.6527139518645054"
"Caenorhabditis elegans","200","0.2","0.5","MF","6","0.6017216678143155","0.61","0.5533651757668522"
"Caenorhabditis elegans","200","0.2","0.5","MF","3","0.5642249141030385","0.8028571428571428","0.6249260311258431"
"Caenorhabditis elegans","200","0.2","0.5","MF","1","0.5825658247004307","0.8128571428571428","0.5896042198752266"
"Caenorhabditis elegans","200","0.2","0.5","MF","7","0.454858826147342","0.7385714285714285","0.6907032690795373"
"Caenorhabditis elegans","200","0.2","0.5","MF","4","0.5581902495384552","0.7942857142857143","0.7768849952586214"
"Caenorhabditis elegans","200","0.2","0.5","MF","2","0.46667530888203757","0.7414285714285714","0.7522156621387672"
"Caenorhabditis elegans","200","0.2","0.5","MF","9","0.3366013853370741","0.7357142857142858","0.7910370692770435"
"Saccharomyces cerevisiae","100","0.2","0.5","MF","3","0.0","0.45072115384615385","0.0"
"Saccharomyces cerevisiae","100","0.2","0.5","MF","4","0.0","0.4519230769230769","0.0"
"Saccharomyces cerevisiae","100","0.2","0.5","MF","7","0.4472135954999579","0.45913461538461536","0.0"
"Saccharomyces cerevisiae","100","0.2","0.5","MF","5","0.0","0.45552884615384615","0.0"
"Saccharomyces cerevisiae","100","0.2","0.5","MF","0","0.0","0.44711538461538464","0.0"
"Saccharomyces cerevisiae","100","0.2","0.5","MF","2","0.0","0.45552884615384615","0.0"
"Saccharomyces cerevisiae","100","0.2","0.5","MF","8","0.4472135954999579","0.46875","0.0"
"Saccharomyces cerevisiae","100","0.2","0.5","MF","1","0.0","0.4567307692307692","0.4472135954999579"
"Saccharomyces cerevisiae","100","0.2","0.5","MF","9","0.0","0.45552884615384615","0.0"
"Saccharomyces cerevisiae","100","0.2","0.5","MF","6","0.0","0.4519230769230769","0.0"
