"organism","populationSize","mutationProbability","crossoverProbability","runningDataset","fold","GMean","selectionRate","Best GMean AGMO"
"Drosophila melanogaster","0","0.0","0.0","MFCC","0","0.6546536707079771","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MFCC","1","0.5741692517632145","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MFCC","2","0.6021937915964948","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MFCC","3","0.0","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MFCC","4","0.5741692517632145","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MFCC","5","0.5863019699779287","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MFCC","6","0.338501600193165","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MFCC","7","0.45643546458763845","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MFCC","8","0.3450327796711771","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","MFCC","9","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","MFCC","0","0.4472135954999579","1.0","0.0"
"Mus musculus","0","0.0","0.0","MFCC","1","0.5477225575051662","1.0","0.0"
"Mus musculus","0","0.0","0.0","MFCC","2","0.6324555320336759","1.0","0.0"
"Mus musculus","0","0.0","0.0","MFCC","3","0.4183300132670378","1.0","0.0"
"Mus musculus","0","0.0","0.0","MFCC","4","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","MFCC","5","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","MFCC","6","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","MFCC","7","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","MFCC","8","0.0","1.0","0.0"
"Mus musculus","0","0.0","0.0","MFCC","9","0.44095855184409843","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MFCC","0","0.5452202862359274","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MFCC","1","0.44272707114895365","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MFCC","2","0.5768261199493113","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MFCC","3","0.5316347129188382","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MFCC","4","0.2506150070793826","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MFCC","5","0.30086083390715773","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MFCC","6","0.36805975098557914","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MFCC","7","0.44250740997385957","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MFCC","8","0.36805975098557914","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","MFCC","9","0.5761046360897801","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MFCC","0","0.4407785320154718","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MFCC","1","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MFCC","2","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MFCC","3","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MFCC","4","0.6324555320336759","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MFCC","5","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MFCC","6","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MFCC","7","0.4472135954999579","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MFCC","8","0.4407785320154718","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","MFCC","9","0.408248290463863","1.0","0.0"
