"organism","populationSize","mutationProbability","crossoverProbability","runningDataset","fold","GMean","selectionRate","Best GMean AGMO"
"Drosophila melanogaster","200","0.2","0.9","MFCC","6","0.0","0.6649122807017543","0.6837634587578277"
"Drosophila melanogaster","200","0.2","0.9","MFCC","8","0.5345224838248488","0.6070175438596491","0.5582905262390825"
"Drosophila melanogaster","200","0.2","0.9","MFCC","5","0.3535533905932738","0.6157894736842106","0.6241877839323592"
"Drosophila melanogaster","200","0.2","0.9","MFCC","4","0.554700196225229","0.612280701754386","0.7385489458759964"
"Drosophila melanogaster","200","0.2","0.9","MFCC","2","0.628970902033151","0.6228070175438597","0.7644707871564383"
"Drosophila melanogaster","200","0.2","0.9","MFCC","1","0.5741692517632145","0.5","0.6241877839323592"
"Drosophila melanogaster","200","0.2","0.9","MFCC","7","0.30618621784789724","0.5473684210526316","0.6446583712203042"
"Drosophila melanogaster","200","0.2","0.9","MFCC","3","0.5345224838248488","0.7052631578947368","0.6241877839323592"
"Drosophila melanogaster","200","0.2","0.9","MFCC","0","0.5345224838248488","0.44035087719298244","0.592156525463792"
"Drosophila melanogaster","200","0.2","0.9","MFCC","9","0.32732683535398854","0.5859649122807018","0.6546536707079771"
"Mus musculus","200","0.4","0.7","MFCC","4","0.31622776601683794","0.753757225433526","0.9354143466934853"
"Mus musculus","200","0.4","0.7","MFCC","3","0.5477225575051662","0.7121387283236994","0.8660254037844386"
"Mus musculus","200","0.4","0.7","MFCC","2","0.5","0.6797687861271676","0.75"
"Mus musculus","200","0.4","0.7","MFCC","9","0.0","0.7375722543352601","0.8660254037844386"
"Mus musculus","200","0.4","0.7","MFCC","5","0.4714045207910317","0.6890173410404624","0.75"
"Mus musculus","200","0.4","0.7","MFCC","1","0.4183300132670378","0.6728323699421965","0.75"
"Mus musculus","200","0.4","0.7","MFCC","7","0.37267799624996495","0.684393063583815","0.9354143466934853"
"Mus musculus","200","0.4","0.7","MFCC","8","0.5270462766947299","0.7398843930635838","0.8660254037844386"
"Mus musculus","200","0.4","0.7","MFCC","0","0.5","0.7271676300578035","0.8660254037844386"
"Mus musculus","200","0.4","0.7","MFCC","6","0.4714045207910317","0.793063583815029","0.9354143466934853"
"Caenorhabditis elegans","200","0.2","0.7","MFCC","3","0.6565321642986127","0.689275893675527","0.7297563831157798"
"Caenorhabditis elegans","200","0.2","0.7","MFCC","8","0.5322135206165789","0.6993583868011","0.8298249619381314"
"Caenorhabditis elegans","200","0.2","0.7","MFCC","9","0.583010701301882","0.7671860678276811","0.7849358319984058"
"Caenorhabditis elegans","200","0.2","0.7","MFCC","2","0.5388702304143923","0.5985334555453712","0.795233581851359"
"Caenorhabditis elegans","200","0.2","0.7","MFCC","6","0.5991578654939375","0.6553620531622365","0.7297563831157798"
"Caenorhabditis elegans","200","0.2","0.7","MFCC","4","0.5658595623783126","0.7836846929422548","0.7825765365144539"
"Caenorhabditis elegans","200","0.2","0.7","MFCC","7","0.5766388083288672","0.5765352887259395","0.7849358319984058"
"Caenorhabditis elegans","200","0.2","0.7","MFCC","0","0.7092056483173493","0.7506874427131073","0.8127133311198246"
"Caenorhabditis elegans","200","0.2","0.7","MFCC","1","0.6333158210716047","0.7030247479376719","0.8249080995972007"
"Caenorhabditis elegans","200","0.2","0.7","MFCC","5","0.6588727498482623","0.6324472960586618","0.8266994330847953"
"Saccharomyces cerevisiae","200","0.2","0.9","MFCC","7","0.4472135954999579","0.46468699839486355","0.0"
"Saccharomyces cerevisiae","200","0.2","0.9","MFCC","5","0.0","0.47191011235955055","0.0"
"Saccharomyces cerevisiae","200","0.2","0.9","MFCC","8","0.4472135954999579","0.463884430176565","0.0"
"Saccharomyces cerevisiae","200","0.2","0.9","MFCC","3","0.0","0.46308186195826645","0.0"
"Saccharomyces cerevisiae","200","0.2","0.9","MFCC","0","0.4472135954999579","0.463884430176565","0.0"
"Saccharomyces cerevisiae","200","0.2","0.9","MFCC","2","0.0","0.46308186195826645","0.0"
"Saccharomyces cerevisiae","200","0.2","0.9","MFCC","1","0.0","0.4622792937399679","0.4472135954999579"
"Saccharomyces cerevisiae","200","0.2","0.9","MFCC","6","0.0","0.463884430176565","0.0"
"Saccharomyces cerevisiae","200","0.2","0.9","MFCC","4","0.4472135954999579","0.47030497592295345","0.0"
"Saccharomyces cerevisiae","200","0.2","0.9","MFCC","9","0.0","0.4622792937399679","0.0"
