organism,populationSize,mutationProbability,crossoverProbability,Fold,GMean,Best GMean AG,ratioReduction,,,,,,,,,,,,,,,,
fly,,,,0,"32.520",,,,,,,,,, ,,,,,,,, 
fly,,,,1,"56.330",,,,,,,,,, ,,,,,,,,
fly,,,,2,"0.000",,,,,,,,,, ,,,,,,,, 
fly,,,,3,"49.170",,,,,,,,,, ,,,,,,,, 
fly,,,,4,"37.800",,,,,,,,,, ,,,,,,,, 
fly,,,,5,"33.850",,,,,,,,,, ,,,,,,,,
fly,,,,6,"45.640",,,,,,,,,, ,,,,,,,, 
fly,,,,7,"33.850",,,,,,,,,, ,,,,,,,, 
fly,,,,8,"35.360",,,,,,,,,, ,,,,,,,, 
fly,,,,9,"53.030",,,,,,,,,,,,,,,,,,
mouse,,,,0,"70.710",,,,,,,,,,,,,,,,,,
mouse,,,,1,"64.550",,,,,,,,,,,,,,,,,,
mouse,,,,2,"36.510",,,,,,,,,,,,,,,,,,
mouse,,,,3,"46.060",,,,,,,,,,,,,,,,,,
mouse,,,,4,"0.000",,,,,,,,,,,,,,,,,,
mouse,,,,5,"44.720",,,,,,,,,,,,,,,,,,
mouse,,,,6,"61.240",,,,,,,,,,,,,,,,,,
mouse,,,,7,"0.000",,,,,,,,,,,,,,,,,,
mouse,,,,8,"40.820",,,,,,,,,,,,,,,,,,
mouse,,,,9,"40.820",,,,,,,,,,,,,,,,,,
worm,,,,0,"52.190",,,,,,,,,,,,,,,,,,
worm,,,,1,"44.720",,,,,,,,,,,,,,,,,,
worm,,,,2,"49.860",,,,,,,,,,,,,,,,,,
worm,,,,3,"46.060",,,,,,,,,,,,,,,,,,
worm,,,,4,"40.160",,,,,,,,,,,,,,,,,,
worm,,,,5,"55.310",,,,,,,,,,,,,,,,,,
worm,,,,6,"59.320",,,,,,,,,,,,,,,,,,
worm,,,,7,"20.670",,,,,,,,,,,,,,,,,,
worm,,,,8,"43.080",,,,,,,,,,,,,,,,,,
worm,,,,9,"52.560",,,,,,,,,,,,,,,,,,
yeast,,,,0,"44.200",,,,,,,,,,,,,,,,,,
yeast,,,,1,"35.360",,,,,,,,,,,,,,,,,,
yeast,,,,2,"33.330",,,,,,,,,,,,,,,,,,
yeast,,,,3,"0.000",,,,,,,,,,,,,,,,,,
yeast,,,,4,"37.800",,,,,,,,,,,,,,,,,,
yeast,,,,5,"0.000",,,,,,,,,,,,,,,,,,
yeast,,,,6,"57.740",,,,,,,,,,,,,,,,,,
yeast,,,,7,"50.000",,,,,,,,,,,,,,,,,,
yeast,,,,8,"0.000",,,,,,,,,,,,,,,,,,
yeast,,,,9,"0.000",,,,,,,,,,,,,,,,,,
