"organism","populationSize","mutationProbability","crossoverProbability","Fold","GMean","Best GMean AGMO","ratioReduction"
"fly","100","0.2","0.5","0","0.0","69.01","0.5365168539325843"
"fly","100","0.2","0.5","1","48.04","40.82","0.6104868913857678"
"fly","100","0.2","0.5","2","0.0","50.96000000000001","0.5795880149812734"
"fly","100","0.2","0.5","3","0.0","59.21999999999999","0.5243445692883895"
"fly","100","0.2","0.5","4","51.35999999999999","84.52","0.5936329588014981"
"fly","100","0.2","0.5","5","0.0","75.59","0.5374531835205992"
"fly","100","0.2","0.5","6","0.0","62.419999999999995","0.5411985018726592"
"fly","100","0.2","0.5","7","35.36","80.58","0.5777153558052435"
"fly","100","0.2","0.5","8","0.0","53.449999999999996","0.5870786516853933"
"fly","100","0.2","0.5","9","55.900000000000006","70.71","0.5730337078651685"
"mouse","100","0.2","0.9","0","70.71","63.24999999999999","0.5664767331433999"
"mouse","100","0.2","0.9","1","64.55","77.46","0.5759734093067427"
"mouse","100","0.2","0.9","2","36.51","63.24999999999999","0.5712250712250713"
"mouse","100","0.2","0.9","3","52.22","63.24999999999999","0.5550807217473884"
"mouse","100","0.2","0.9","4","54.010000000000005","77.46","0.5394112060778727"
"mouse","100","0.2","0.9","5","0.0","86.6","0.5750237416904084"
"mouse","100","0.2","0.9","6","61.24000000000001","86.6","0.5688509021842355"
"mouse","100","0.2","0.9","7","0.0","77.46","0.567426400759734"
"mouse","100","0.2","0.9","8","0.0","63.24999999999999","0.570275403608737"
"mouse","100","0.2","0.9","9","40.82","44.72","0.5778727445394112"
"worm","100","0.2","0.9","0","45.989999999999995","65.73","0.5394922425952046"
"worm","100","0.2","0.9","1","40.47","60.9","0.5260930888575458"
"worm","100","0.2","0.9","2","42.78","63.21","0.5535966149506347"
"worm","100","0.2","0.9","3","46.52","68.65","0.5077574047954866"
"worm","100","0.2","0.9","4","37.55","60.27","0.5310296191819464"
"worm","100","0.2","0.9","5","42.84","56.05","0.5437235543018336"
"worm","100","0.2","0.9","6","46.82","66.02","0.5352609308885754"
"worm","100","0.2","0.9","7","20.18","70.05","0.5451339915373766"
"worm","100","0.2","0.9","8","44.67","59.45","0.5317348377997179"
"worm","100","0.2","0.9","9","44.800000000000004","57.18","0.5458392101551481"
"yeast","100","0.2","0.5","0","44.2","70.26","0.5867714472822528"
"yeast","100","0.2","0.5","1","35.36","0.0","0.5893909626719057"
"yeast","100","0.2","0.5","2","33.129999999999995","0.0","0.5893909626719057"
"yeast","100","0.2","0.5","3","0.0","62.83","0.5861165684348395"
"yeast","100","0.2","0.5","4","0.0","50.0","0.5782580222658809"
"yeast","100","0.2","0.5","5","0.0","44.43","0.5605762933857237"
"yeast","100","0.2","0.5","6","0.0","44.72","0.5854616895874263"
"yeast","100","0.2","0.5","7","50.0","0.0","0.5900458415193189"
"yeast","100","0.2","0.5","8","0.0","0.0","0.5946299934512115"
"yeast","100","0.2","0.5","9","0.0","44.72","0.5854616895874263"
