"organism","populationSize","mutationProbability","crossoverProbability","runningDataset","fold","GMean","selectionRate","Best GMean AGMO"
"Drosophila melanogaster","0","0.0","0.0","BP","0","0.6953534953651154","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BP","1","0.6201736729460422","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BP","2","0.48038446141526137","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BP","3","0.6021937915964948","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BP","4","0.8770580193070292","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BP","5","0.5","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BP","6","0.7216878364870323","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BP","7","0.5773502691896257","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BP","8","0.5773502691896257","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BP","9","0.4364357804719847","1.0","0.0"
"Mus musculus","0","0.0","0.0","BP","0","0.5477225575051662","1.0","0.0"
"Mus musculus","0","0.0","0.0","BP","1","0.7745966692414834","1.0","0.0"
"Mus musculus","0","0.0","0.0","BP","2","0.724568837309472","1.0","0.0"
"Mus musculus","0","0.0","0.0","BP","3","0.5916079783099616","1.0","0.0"
"Mus musculus","0","0.0","0.0","BP","4","0.724568837309472","1.0","0.0"
"Mus musculus","0","0.0","0.0","BP","5","0.5270462766947299","1.0","0.0"
"Mus musculus","0","0.0","0.0","BP","6","0.6454972243679028","1.0","0.0"
"Mus musculus","0","0.0","0.0","BP","7","0.5773502691896257","1.0","0.0"
"Mus musculus","0","0.0","0.0","BP","8","0.6454972243679028","1.0","0.0"
"Mus musculus","0","0.0","0.0","BP","9","0.7071067811865476","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BP","0","0.6216467716317223","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BP","1","0.6394946583262664","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BP","2","0.48945319317801955","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BP","3","0.5548709520230941","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BP","4","0.5603921920110906","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BP","5","0.6262917685155577","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BP","6","0.6948083337796511","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BP","7","0.6297235299224025","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BP","8","0.6447017869439093","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BP","9","0.510360637486441","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BP","0","0.7521398046336105","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BP","1","0.7521398046336105","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BP","2","0.6141195788629908","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BP","3","0.7634508123364221","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BP","4","0.7171371656006361","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BP","5","0.6047431568147635","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BP","6","0.6324555320336759","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BP","7","0.7634508123364221","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BP","8","0.427617987059879","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BP","9","0.6530471562110152","1.0","0.0"
