"organism","populationSize","mutationProbability","crossoverProbability","runningDataset","fold","GMean","selectionRate","Best GMean AGMO"
"Drosophila melanogaster","200","0.2","0.9","BP","8","0.4225771273642583","0.6069418386491557","0.8451542547285166"
"Drosophila melanogaster","200","0.2","0.9","BP","0","0.6953534953651154","0.5703564727954972","0.9534625892455924"
"Drosophila melanogaster","200","0.2","0.9","BP","9","0.3779644730092272","0.5778611632270169","0.9258200997725514"
"Drosophila melanogaster","200","0.2","0.9","BP","6","0.6454972243679028","0.5722326454033771","0.8451542547285166"
"Drosophila melanogaster","200","0.2","0.9","BP","5","0.5","0.7401500938086304","0.9258200997725514"
"Drosophila melanogaster","200","0.2","0.9","BP","2","0.5135525910130955","0.5722326454033771","1.0"
"Drosophila melanogaster","200","0.2","0.9","BP","3","0.3476767476825577","0.5984990619136961","0.9534625892455924"
"Drosophila melanogaster","200","0.2","0.9","BP","4","0.8119979429411501","0.6285178236397748","0.9258200997725514"
"Drosophila melanogaster","200","0.2","0.9","BP","7","0.5","0.6275797373358349","0.7895420339517227"
"Drosophila melanogaster","200","0.2","0.9","BP","1","0.7774288420142415","0.6594746716697936","0.8374357893586238"
"Mus musculus","200","0.4","0.9","BP","6","0.5270462766947299","0.6845018450184502","0.9354143466934853"
"Mus musculus","200","0.4","0.9","BP","0","0.6708203932499369","0.8118081180811808","1.0"
"Mus musculus","200","0.4","0.9","BP","3","0.5916079783099616","0.7527675276752768","0.8660254037844386"
"Mus musculus","200","0.4","0.9","BP","4","0.5916079783099616","0.6845018450184502","0.8660254037844386"
"Mus musculus","200","0.4","0.9","BP","7","0.37267799624996495","0.6946494464944649","0.8660254037844386"
"Mus musculus","200","0.4","0.9","BP","9","0.7637626158259734","0.672509225092251","1.0"
"Mus musculus","200","0.4","0.9","BP","5","0.0","0.5078413284132841","0.9354143466934853"
"Mus musculus","200","0.4","0.9","BP","1","0.7745966692414834","0.7578413284132841","1.0"
"Mus musculus","200","0.4","0.9","BP","2","0.5477225575051662","0.7592250922509225","0.9354143466934853"
"Mus musculus","200","0.4","0.9","BP","8","0.408248290463863","0.6923431734317343","0.9354143466934853"
"Caenorhabditis elegans","100","0.2","0.5","BP","3","0.4734320764739993","0.8121827411167513","0.8651709137847686"
"Caenorhabditis elegans","100","0.2","0.5","BP","5","0.5436602822195624","0.7781000725163162","0.7740235306730041"
"Caenorhabditis elegans","100","0.2","0.5","BP","8","0.6658451424277129","0.7070340826686005","0.8513824469684098"
"Caenorhabditis elegans","100","0.2","0.5","BP","0","0.6515325388859029","0.8266860043509789","0.8127133311198246"
"Caenorhabditis elegans","100","0.2","0.5","BP","9","0.45009577524850386","0.7389412617839014","0.8846153846153846"
"Caenorhabditis elegans","100","0.2","0.5","BP","1","0.6202862169398816","0.7302393038433648","0.8360409661263138"
"Caenorhabditis elegans","100","0.2","0.5","BP","2","0.5882495283143102","0.8092820884699057","0.8465907962713515"
"Caenorhabditis elegans","100","0.2","0.5","BP","7","0.6068167771125167","0.766497461928934","0.8298249619381314"
"Caenorhabditis elegans","100","0.2","0.5","BP","4","0.638945405748483","0.7360406091370558","0.7768849952586214"
"Caenorhabditis elegans","100","0.2","0.5","BP","6","0.6930335969507272","0.728788977519942","0.7143913700387196"
"Saccharomyces cerevisiae","150","0.4","0.5","BP","4","0.7406560798180412","0.7041547277936963","0.762000762001143"
"Saccharomyces cerevisiae","150","0.4","0.5","BP","1","0.7171371656006361","0.7722063037249284","0.8944271909999159"
"Saccharomyces cerevisiae","150","0.4","0.5","BP","0","0.7745966692414834","0.7607449856733525","0.7745966692414834"
"Saccharomyces cerevisiae","150","0.4","0.5","BP","2","0.6141195788629908","0.751432664756447","0.8191262063537486"
"Saccharomyces cerevisiae","150","0.4","0.5","BP","6","0.6233549779791837","0.6991404011461319","0.8650936924831862"
"Saccharomyces cerevisiae","150","0.4","0.5","BP","5","0.6141195788629908","0.6891117478510028","0.762000762001143"
"Saccharomyces cerevisiae","150","0.4","0.5","BP","9","0.6642111641550714","0.5064469914040115","1.0"
"Saccharomyces cerevisiae","150","0.4","0.5","BP","8","0.43424811867344754","0.49426934097421205","0.6324555320336759"
"Saccharomyces cerevisiae","150","0.4","0.5","BP","7","0.7521398046336105","0.6855300859598854","0.8500474370064828"
"Saccharomyces cerevisiae","150","0.4","0.5","BP","3","0.7406560798180412","0.7392550143266475","0.8500474370064828"
