"organism","populationSize","mutationProbability","crossoverProbability","runningDataset","fold","GMean","selectionRate","Best GMean AGMO"
"Drosophila melanogaster","0","0.0","0.0","BPCC","0","0.8451542547285166","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPCC","1","0.7774288420142415","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPCC","2","0.4447495899966607","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPCC","3","0.8119979429411502","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPCC","4","0.7844645405527362","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPCC","5","0.47871355387816905","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPCC","6","0.6454972243679028","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPCC","7","0.6454972243679028","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPCC","8","0.4879500364742666","1.0","0.0"
"Drosophila melanogaster","0","0.0","0.0","BPCC","9","0.5773502691896257","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPCC","0","0.5916079783099616","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPCC","1","0.5916079783099616","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPCC","2","0.5477225575051662","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPCC","3","0.5477225575051662","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPCC","4","0.8944271909999159","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPCC","5","0.37267799624996495","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPCC","6","0.7071067811865476","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPCC","7","0.6454972243679028","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPCC","8","0.6454972243679028","1.0","0.0"
"Mus musculus","0","0.0","0.0","BPCC","9","0.816496580927726","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPCC","0","0.6610444659545108","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPCC","1","0.6802903191508083","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPCC","2","0.6246596169303675","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPCC","3","0.638945405748483","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPCC","4","0.6017216678143155","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPCC","5","0.5396815335320155","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPCC","6","0.7664453168004357","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPCC","7","0.6948083337796511","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPCC","8","0.6588727498482623","1.0","0.0"
"Caenorhabditis elegans","0","0.0","0.0","BPCC","9","0.5211062503347385","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPCC","0","0.728991475552747","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPCC","1","0.43424811867344754","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPCC","2","0.6141195788629908","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPCC","3","0.43424811867344754","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPCC","4","0.6047431568147635","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPCC","5","0.4407785320154718","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPCC","6","0.43424811867344754","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPCC","7","0.6324555320336759","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPCC","8","0.0","1.0","0.0"
"Saccharomyces cerevisiae","0","0.0","0.0","BPCC","9","0.3834824944236852","1.0","0.0"
